fdate,order_cnt
2016-01-01,2180
2016-01-02,1543
2016-01-03,2986
2016-01-04,3215
2016-01-05,3071
2016-01-06,3690
2016-01-07,3715
2016-01-08,3599
2016-01-09,2631
2016-01-10,3335
2016-01-11,3830
2016-01-12,3801
2016-01-13,3908
2016-01-14,3661
2016-01-15,3925
2016-01-16,3123
2016-01-17,3399
2016-01-18,3832
2016-01-19,3689
2016-01-20,3917
2016-01-21,3689
2016-01-22,3619
2016-01-23,3044
2016-01-24,3251
2016-01-25,3589
2016-01-26,3446
2016-01-27,3616
2016-01-28,3726
2016-01-29,3604
2016-01-30,2861
2016-01-31,2991
2016-02-01,2977
2016-02-02,2804
2016-02-03,2908
2016-02-04,2319
2016-02-05,2212
2016-02-06,1861
2016-02-07,1416
2016-02-08,1094
2016-02-09,1047
2016-02-10,1194
2016-02-11,1294
2016-02-12,1562
2016-02-13,1711
2016-02-14,1886
2016-02-15,2052
2016-02-16,2166
2016-02-17,2739
2016-02-18,2705
2016-02-19,2839
2016-02-20,2100
2016-02-21,2787
2016-02-22,2935
2016-02-23,3800
2016-02-24,3963
2016-02-25,3691
2016-02-26,4050
2016-02-27,2857
2016-02-28,3472
2016-02-29,3688
2016-03-01,3471
2016-03-02,3892
2016-03-03,3692
2016-03-04,4066
2016-03-05,2594
2016-03-06,3257
2016-03-07,3795
2016-03-08,3721
2016-03-09,4147
2016-03-10,3875
2016-03-11,4160
2016-03-12,2969
2016-03-13,3388
2016-03-14,3841
2016-03-15,3854
2016-03-16,4105
2016-03-17,4030
2016-03-18,4275
2016-03-19,2938
2016-03-20,3593
2016-03-21,4126
2016-03-22,3936
2016-03-23,4084
2016-03-24,3871
2016-03-25,3977
2016-03-26,2854
2016-03-27,3655
2016-03-28,4331
2016-03-29,4193
2016-03-30,4128
2016-03-31,3898
2016-04-01,4020
2016-04-02,2764
2016-04-03,1942
2016-04-04,3528
2016-04-05,4107
2016-04-06,4317
2016-04-07,3917
2016-04-08,4092
2016-04-09,2957
2016-04-10,3520
2016-04-11,4136
2016-04-12,4159
2016-04-13,4268
2016-04-14,4459
2016-04-15,4292
2016-04-16,3318
2016-04-17,3846
2016-04-18,4526
2016-04-19,4158
2016-04-20,4721
2016-04-21,4265
2016-04-22,4081
2016-04-23,3369
2016-04-24,3854
2016-04-25,4126
2016-04-26,4130
2016-04-27,4497
2016-04-28,4179
2016-04-29,4851
2016-04-30,3739
2016-05-01,2288
2016-05-02,3646
2016-05-03,4070
2016-05-04,4156
2016-05-05,3845
2016-05-06,3966
2016-05-07,3118
2016-05-08,3493
2016-05-09,4397
2016-05-10,4218
2016-05-11,4336
2016-05-12,4409
2016-05-13,4465
2016-05-14,3096
2016-05-15,3843
2016-05-16,4258
2016-05-17,4182
2016-05-18,4429
2016-05-19,4376
2016-05-20,4488
2016-05-21,3352
2016-05-22,3686
2016-05-23,4098
2016-05-24,4140
2016-05-25,4331
2016-05-26,4072
2016-05-27,4257
2016-05-28,3327
2016-05-29,3739
2016-05-30,4008
2016-05-31,4154
2016-06-01,4004
2016-06-02,3866
2016-06-03,3805
2016-06-04,3106
2016-06-05,3589
2016-06-06,4152
2016-06-07,3997
2016-06-08,4651
2016-06-09,3210
2016-06-10,2427
2016-06-11,3197
2016-06-12,3877
2016-06-13,4263
2016-06-14,4123
2016-06-15,4349
2016-06-16,4200
2016-06-17,4432
2016-06-18,3323
2016-06-19,3660
2016-06-20,3867
2016-06-21,3854
2016-06-22,3884
2016-06-23,4119
2016-06-24,4427
2016-06-25,3246
2016-06-26,3147
2016-06-27,3327
2016-06-28,3269
2016-06-29,3478
2016-06-30,3759
2016-07-01,3591
2016-07-02,3178
2016-07-03,3023
2016-07-04,3387
2016-07-05,3069
2016-07-06,3700
2016-07-07,3572
2016-07-08,3762
2016-07-09,2850
2016-07-10,2833
2016-07-11,3057
2016-07-12,3109
2016-07-13,3478
2016-07-14,3185
2016-07-15,3430
2016-07-16,2601
2016-07-17,2760
2016-07-18,3443
2016-07-19,3181
2016-07-20,3601
2016-07-21,3317
2016-07-22,3735
2016-07-23,2775
2016-07-24,3023
2016-07-25,3304
2016-07-26,3460
2016-07-27,3604
2016-07-28,3458
2016-07-29,3843
2016-07-30,3422
2016-07-31,3697
2016-08-01,3612
2016-08-02,3373
2016-08-03,3418
2016-08-04,3263
2016-08-05,3520
2016-08-06,2673
2016-08-07,3077
2016-08-08,3412
2016-08-09,3463
2016-08-10,3915
2016-08-11,3614
2016-08-12,3577
2016-08-13,2792
2016-08-14,3165
2016-08-15,3598
2016-08-16,3473
2016-08-17,3721
2016-08-18,3616
2016-08-19,3974
2016-08-20,3095
2016-08-21,3394
2016-08-22,3736
2016-08-23,3779
2016-08-24,4138
2016-08-25,4196
2016-08-26,4143
2016-08-27,3267
2016-08-28,3555
2016-08-29,3817
2016-08-30,3892
2016-08-31,4195
2016-09-01,3718
2016-09-02,3954
2016-09-03,2891
2016-09-04,3451
2016-09-05,3720
2016-09-06,3824
2016-09-07,3988
2016-09-08,4062
2016-09-09,4189
2016-09-10,3309
2016-09-11,3804
2016-09-12,3970
2016-09-13,3566
2016-09-14,3981
2016-09-15,2587
