order_date,order_cnt
2018-01-01,59
2018-01-02,114
2018-01-03,123
2018-01-04,121
2018-01-05,104
2018-01-06,107
2018-01-07,93
2018-01-08,123
2018-01-09,134
2018-01-10,135
2018-01-11,136
2018-01-12,119
2018-01-13,87
2018-01-14,66
2018-01-15,125
2018-01-16,129
2018-01-17,113
2018-01-18,122
2018-01-19,103
2018-01-20,77
2018-01-21,75
2018-01-22,87
2018-01-23,113
2018-01-24,111
2018-01-25,103
2018-01-26,101
2018-01-27,84
2018-01-28,87
2018-01-29,87
2018-01-30,104
2018-01-31,111
2018-02-01,119
2018-02-02,105
2018-02-03,87
2018-02-04,64
2018-02-05,94
2018-02-06,104
2018-02-07,105
2018-02-08,102
2018-02-09,120
2018-02-10,94
2018-02-11,95
2018-02-12,86
2018-02-13,112
2018-02-14,74
2018-02-15,54
2018-02-16,53
2018-02-17,56
2018-02-18,52
2018-02-19,48
2018-02-20,60
2018-02-21,55
2018-02-22,106
2018-02-23,99
2018-02-24,128
2018-02-25,65
2018-02-26,110
2018-02-27,153
2018-02-28,149
2018-03-01,122
2018-03-02,147
2018-03-03,120
2018-03-04,108
2018-03-05,122
2018-03-06,139
2018-03-07,129
2018-03-08,134
2018-03-09,113
2018-03-10,103
2018-03-11,90
2018-03-12,133
2018-03-13,156
2018-03-14,171
2018-03-15,164
2018-03-16,101
2018-03-17,106
2018-03-18,82
2018-03-19,121
2018-03-20,148
2018-03-21,130
2018-03-22,179
2018-03-23,151
2018-03-24,117
2018-03-25,90
2018-03-26,131
2018-03-27,135
2018-03-28,127
2018-03-29,128
2018-03-30,130
2018-03-31,85
2018-04-01,89
2018-04-02,133
2018-04-03,150
2018-04-04,136
2018-04-05,112
2018-04-06,138
2018-04-07,86
2018-04-08,129
2018-04-09,136
2018-04-10,150
2018-04-11,159
2018-04-12,179
2018-04-13,149
2018-04-14,139
2018-04-15,115
2018-04-16,197
2018-04-17,181
2018-04-18,234
2018-04-19,163
2018-04-20,162
2018-04-21,103
2018-04-22,97
2018-04-23,155
2018-04-24,138
2018-04-25,161
2018-04-26,163
2018-04-27,189
2018-04-28,151
2018-04-29,111
2018-04-30,101
2018-05-01,129
2018-05-02,167
2018-05-03,166
2018-05-04,140
2018-05-05,128
2018-05-06,108
2018-05-07,127
2018-05-08,133
2018-05-09,123
2018-05-10,167
2018-05-11,144
2018-05-12,104
2018-05-13,84
2018-05-14,133
