fdate,order_cnt
2017-01-01,87
2017-01-02,104
2017-01-03,128
2017-01-04,115
2017-01-05,114
2017-01-06,130
2017-01-07,132
2017-01-08,147
2017-01-09,97
2017-01-10,79
2017-01-11,87
2017-01-12,105
2017-01-13,138
2017-01-14,111
2017-01-15,145
2017-01-16,144
2017-01-17,128
2017-01-18,179
2017-01-19,176
2017-01-20,208
2017-01-21,200
2017-01-22,193
2017-01-23,207
2017-01-24,241
2017-01-25,202
2017-01-26,148
2017-01-27,153
2017-01-28,191
2017-01-29,152
2017-01-30,191
2017-01-31,162
2017-02-01,186
2017-02-02,157
2017-02-03,189
2017-02-04,169
2017-02-05,125
2017-02-06,133
2017-02-07,59
2017-02-08,105
2017-02-09,67
2017-02-10,104
2017-02-11,106
2017-02-12,141
2017-02-13,75
2017-02-14,82
2017-02-15,87
2017-02-16,98
2017-02-17,118
2017-02-18,147
2017-02-19,98
2017-02-20,83
2017-02-21,81
2017-02-22,82
2017-02-23,60
2017-02-24,70
2017-02-25,128
2017-02-26,96
2017-02-27,91
2017-02-28,109
2017-03-01,91
2017-03-02,98
2017-03-03,126
2017-03-04,108
2017-03-05,127
2017-03-06,85
2017-03-07,68
2017-03-08,104
2017-03-09,82
2017-03-10,144
2017-03-11,102
2017-03-12,108
2017-03-13,73
2017-03-14,64
2017-03-15,121
2017-03-16,85
2017-03-17,141
2017-03-18,100
2017-03-19,116
2017-03-20,114
2017-03-21,65
2017-03-22,101
2017-03-23,96
2017-03-24,149
2017-03-25,116
2017-03-26,107
2017-03-27,89
2017-03-28,79
2017-03-29,109
2017-03-30,108
2017-03-31,140
2017-04-01,145
2017-04-02,109
2017-04-03,104
2017-04-04,40
2017-04-05,70
2017-04-06,82
2017-04-07,99
2017-04-08,109
2017-04-09,85
2017-04-10,118
2017-04-11,82
2017-04-12,85
2017-04-13,78
2017-04-14,106
2017-04-15,104
2017-04-16,115
2017-04-17,88
2017-04-18,85
2017-04-19,74
2017-04-20,121
2017-04-21,133
2017-04-22,107
2017-04-23,111
2017-04-24,120
2017-04-25,155
2017-04-26,94
2017-04-27,144
2017-04-28,123
2017-04-29,101
2017-04-30,129
2017-05-01,79
2017-05-02,69
2017-05-03,82
2017-05-04,87
2017-05-05,115
2017-05-06,123
2017-05-07,93
2017-05-08,119
2017-05-09,113
2017-05-10,123
2017-05-11,102
2017-05-12,97
2017-05-13,132
2017-05-14,95
2017-05-15,62
2017-05-16,66
2017-05-17,89
2017-05-18,82
2017-05-19,122
2017-05-20,142
2017-05-21,103
2017-05-22,106
2017-05-23,83
2017-05-24,83
2017-05-25,106
2017-05-26,154
2017-05-27,145
2017-05-28,131
2017-05-29,85
2017-05-30,63
2017-05-31,83
2017-06-01,80
2017-06-02,90
2017-06-03,132
2017-06-04,97
2017-06-05,99
2017-06-06,86
2017-06-07,82
2017-06-08,94
2017-06-09,107
2017-06-10,149
2017-06-11,134
2017-06-12,102
2017-06-13,113
2017-06-14,159
2017-06-15,192
2017-06-16,187
2017-06-17,138
2017-06-18,143
2017-06-19,126
2017-06-20,132
2017-06-21,140
2017-06-22,177
2017-06-23,203
2017-06-24,230
2017-06-25,173
2017-06-26,148
2017-06-27,219
2017-06-28,226
2017-06-29,204
2017-06-30,162
2017-07-01,170
2017-07-02,107
2017-07-03,93
2017-07-04,116
2017-07-05,153
2017-07-06,130
2017-07-07,129
2017-07-08,162
2017-07-09,116
2017-07-10,138
2017-07-11,108
2017-07-12,156
2017-07-13,127
2017-07-14,130
2017-07-15,130
2017-07-16,82
2017-07-17,119
2017-07-18,90
2017-07-19,67
2017-07-20,125
2017-07-21,117
2017-07-22,132
2017-07-23,144
2017-07-24,117
2017-07-25,128
2017-07-26,150
2017-07-27,133
2017-07-28,134
2017-07-29,144
2017-07-30,118
2017-07-31,126
2017-08-01,150
2017-08-02,156
2017-08-03,162
2017-08-04,151
2017-08-05,175
2017-08-06,202
2017-08-07,181
2017-08-08,174
2017-08-09,155
2017-08-10,149
2017-08-11,154
2017-08-12,172
2017-08-13,163
2017-08-14,187
2017-08-15,180
2017-08-16,158
2017-08-17,165
2017-08-18,141
2017-08-19,151
2017-08-20,195
2017-08-21,158
2017-08-22,134
2017-08-23,146
2017-08-24,215
2017-08-25,159
2017-08-26,159
2017-08-27,168
2017-08-28,154
2017-08-29,182
2017-08-30,168
2017-08-31,139
2017-09-01,140
2017-09-02,143
2017-09-03,136
2017-09-04,136
2017-09-05,127
2017-09-06,90
2017-09-07,110
2017-09-08,168
2017-09-09,152
2017-09-10,161
2017-09-11,156
2017-09-12,113
2017-09-13,103
2017-09-14,120
2017-09-15,142
2017-09-16,162
2017-09-17,198
2017-09-18,153
2017-09-19,190
2017-09-20,167
2017-09-21,134
2017-09-22,116
2017-09-23,149
2017-09-24,114
2017-09-25,147
2017-09-26,162
2017-09-27,180
2017-09-28,191
2017-09-29,217
2017-09-30,174
2017-10-01,208
2017-10-02,131
2017-10-03,147
2017-10-04,172
2017-10-05,151
2017-10-06,86
2017-10-07,80
2017-10-08,79
2017-10-09,89
2017-10-10,90
2017-10-11,46
2017-10-12,70
2017-10-13,67
2017-10-14,100
2017-10-15,96
2017-10-16,60
2017-10-17,45
2017-10-18,61
2017-10-19,43
2017-10-20,94
2017-10-21,90
2017-10-22,93
2017-10-23,51
2017-10-24,56
2017-10-25,79
2017-10-26,84
2017-10-27,114
2017-10-28,115
2017-10-29,100
2017-10-30,129
2017-10-31,81
2017-11-01,97
2017-11-02,58
2017-11-03,90
2017-11-04,92
2017-11-05,94
2017-11-06,65
2017-11-07,63
2017-11-08,75
2017-11-09,51
2017-11-10,105
2017-11-11,98
2017-11-12,103
2017-11-13,85
2017-11-14,58
2017-11-15,74
2017-11-16,76
2017-11-17,117
2017-11-18,85
2017-11-19,88
2017-11-20,88
2017-11-21,56
2017-11-22,79
2017-11-23,8
2017-11-24,96
2017-11-25,86
2017-11-26,86
2017-11-27,87
2017-11-28,67
2017-11-29,59
2017-11-30,56
2017-12-01,80
2017-12-02,80
2017-12-03,70
2017-12-04,48
2017-12-05,57
2017-12-06,57
2017-12-07,41
2017-12-08,70
2017-12-09,90
2017-12-10,104
2017-12-11,56
2017-12-12,58
2017-12-13,80
2017-12-14,78
2017-12-15,125
2017-12-16,155
2017-12-17,148
2017-12-18,85
2017-12-19,119
2017-12-20,183
2017-12-21,181
2017-12-22,221
2017-12-23,164
2017-12-24,86
2017-12-25,36
2017-12-26,60
2017-12-27,116
2017-12-28,119
2017-12-29,103
2017-12-30,113
2017-12-31,131
