searchdate,order_cnt
2017-01-01,11042
2017-01-02,12139
2017-01-03,20612
2017-01-04,19586
2017-01-05,18864
2017-01-06,17595
2017-01-07,13685
2017-01-08,12489
2017-01-09,17250
2017-01-10,18091
2017-01-11,17033
2017-01-12,45026
2017-01-13,16754
2017-01-14,12635
2017-01-15,11667
2017-01-16,16028
2017-01-17,16035
2017-01-18,15864
2017-01-19,15194
2017-01-20,14433
2017-01-21,10766
2017-01-22,13448
2017-01-23,13101
2017-01-24,14090
2017-01-25,12628
2017-01-26,10375
2017-01-27,6685
2017-01-28,7118
2017-01-29,8028
2017-01-30,8515
2017-01-31,8600
2017-02-01,9901
2017-02-02,10489
2017-02-03,15678
2017-02-04,16044
2017-02-05,12443
2017-02-06,17931
2017-02-07,19487
2017-02-08,17342
2017-02-09,16444
2017-02-10,16500
2017-02-11,11021
2017-02-12,11503
2017-02-13,17908
2017-02-14,16957
2017-02-15,17318
2017-02-16,17927
2017-02-17,18431
2017-02-18,12570
2017-02-19,12597
2017-02-20,17563
2017-02-21,17589
2017-02-22,17821
2017-02-23,16782
2017-02-24,15070
2017-02-25,11458
2017-02-26,11189
2017-02-27,15924
2017-02-28,17567
2017-03-01,18034
2017-03-02,17226
2017-03-03,17203
2017-03-04,12528
2017-03-05,12217
2017-03-06,19301
2017-03-07,18626
2017-03-08,16974
2017-03-09,18461
2017-03-10,16018
2017-03-11,11695
2017-03-12,12317
2017-03-13,18518
2017-03-14,18598
2017-03-15,18081
2017-03-16,17272
2017-03-17,17240
2017-03-18,13002
2017-03-19,13089
2017-03-20,19658
2017-03-21,19326
2017-03-22,19612
2017-03-23,18624
2017-03-24,17603
2017-03-25,11746
2017-03-26,11345
2017-03-27,17875
2017-03-28,17771
2017-03-29,17796
2017-03-30,17053
2017-03-31,24707
2017-04-01,15415
2017-04-02,10154
2017-04-03,10523
2017-04-04,12795
2017-04-05,21305
2017-04-06,19552
2017-04-07,17748
2017-04-08,13126
2017-04-09,13007
2017-04-10,20080
2017-04-11,22291
2017-04-12,21200
2017-04-13,20159
2017-04-14,18978
2017-04-15,13521
2017-04-16,13171
2017-04-17,19871
2017-04-18,19712
2017-04-19,18444
2017-04-20,19147
2017-04-21,13889
2017-04-22,12917
2017-04-23,12765
2017-04-24,20746
2017-04-25,19905
2017-04-26,18879
2017-04-27,17953
2017-04-28,16985
2017-04-29,12447
2017-04-30,11631
2017-05-01,12525
2017-05-02,22130
2017-05-03,23598
2017-05-04,20681
2017-05-05,17388
2017-05-06,12178
2017-05-07,11904
2017-05-08,19537
2017-05-09,19456
2017-05-10,19202
2017-05-11,17712
2017-05-12,16963
2017-05-13,12565
2017-05-14,10998
2017-05-15,18781
2017-05-16,19139
2017-05-17,18093
2017-05-18,19760
2017-05-19,17237
2017-05-20,11361
2017-05-21,11567
2017-05-22,17942
2017-05-23,19454
2017-05-24,18530
2017-05-25,18553
2017-05-26,17580
2017-05-27,16016
2017-05-28,11530
2017-05-29,11642
2017-05-30,12075
2017-05-31,19143
2017-06-01,18340
2017-06-02,18317
2017-06-03,13413
2017-06-04,13173
2017-06-05,18678
2017-06-06,19417
2017-06-07,17220
2017-06-08,18658
2017-06-09,17647
2017-06-10,13232
2017-06-11,13424
2017-06-12,20018
2017-06-13,20020
2017-06-14,18145
2017-06-15,18864
2017-06-16,16608
2017-06-17,13288
2017-06-18,11016
2017-06-19,16968
2017-06-20,18335
2017-06-21,21277
2017-06-22,16482
2017-06-23,14645
2017-06-24,12344
2017-06-25,11525
2017-06-26,17234
2017-06-27,16113
2017-06-28,17853
2017-06-29,16192
2017-06-30,16788
2017-07-01,12096
2017-07-02,11514
2017-07-03,18178
2017-07-04,16643
2017-07-05,16238
2017-07-06,15133
2017-07-07,15465
2017-07-08,12121
2017-07-09,10971
2017-07-10,16585
2017-07-11,17254
2017-07-12,19166
2017-07-13,17640
2017-07-14,15468
