fdate,order_date,airline,class,subclass,prc
2017-06-01,2017-02-14,AA,C,D,14982.0
2017-06-01,2017-05-11,AA,C,I,16958.0
2017-06-01,2017-04-05,AA,Y,L,3304.0
2017-06-01,2017-05-28,AA,Y,L,3835.0
2017-06-01,2017-02-28,AA,Y,N,4992.0
2017-06-01,2017-05-25,AA,Y,N,2900.0
2017-06-01,2016-12-27,AA,Y,O,4615.0
2017-06-01,2017-03-16,AA,Y,O,3883.0
2017-06-01,2017-04-11,AA,Y,O,4052.0
2017-06-01,2017-04-19,AA,Y,O,4017.0
2017-06-01,2017-05-01,AA,Y,O,2704.0
2017-06-01,2017-05-05,AA,Y,O,4295.0
2017-06-01,2017-05-10,AA,Y,O,4361.0
2017-06-01,2017-05-12,AA,Y,O,2554.0
2017-06-01,2017-05-14,AA,Y,O,0.0
2017-06-01,2017-05-15,AA,Y,O,1685.5
2017-06-01,2017-05-16,AA,Y,O,3606.0
2017-06-01,2017-05-19,AA,Y,O,4358.5
2017-06-01,2017-05-21,AA,Y,O,3228.0
2017-06-01,2017-05-23,AA,Y,O,3015.0
2017-06-01,2017-05-24,AA,Y,O,2959.0
2017-06-01,2017-05-26,AA,Y,O,3974.5
2017-06-01,2017-05-29,AA,Y,O,2476.0
2017-06-01,2017-04-05,AA,Y,S,5113.0
2017-06-01,2017-04-05,AA,Y,V,4962.0
2017-06-01,2017-03-11,DL,C,Z,28818.0
2017-06-01,2017-05-09,DL,C,Z,15393.0
2017-06-01,2017-05-19,DL,C,Z,16114.0
2017-06-01,2017-02-08,DL,Y,V,4041.0
2017-06-01,2017-02-09,DL,Y,V,5075.0
2017-06-01,2017-02-25,DL,Y,V,5409.0
2017-06-01,2017-03-02,DL,Y,V,3582.0
2017-06-01,2017-03-21,DL,Y,V,4242.0
2017-06-01,2017-04-25,DL,Y,V,4091.0
2017-06-01,2017-04-28,DL,Y,V,4095.0
2017-06-01,2017-05-01,DL,Y,V,4097.0
2017-06-01,2017-05-18,DL,Y,V,4740.0
2017-06-01,2017-03-05,DL,Y,X,4566.0
2017-06-01,2017-03-31,DL,Y,X,4566.0
2017-06-01,2017-04-12,DL,Y,X,7272.0
2017-06-01,2017-05-07,DL,Y,X,3634.0
2017-06-01,2017-05-18,DL,Y,X,3722.0
2017-06-01,2017-05-27,DL,Y,X,4157.0
2017-06-01,2017-05-02,MU,C,D,27451.0
2017-06-01,2017-05-12,MU,C,D,20734.0
2017-06-01,2017-05-22,MU,C,D,20767.0
2017-06-01,2017-05-24,MU,C,D,20970.0
2017-06-01,2017-05-25,MU,C,D,21059.0
2017-06-01,2017-03-04,MU,Y,Q,3660.0
2017-06-01,2017-05-12,MU,Y,S,4485.0
2017-06-01,2017-05-17,MU,Y,S,4485.0
2017-06-01,2017-05-26,MU,Y,S,4257.0
2017-06-01,2017-05-30,MU,Y,S,4256.0
2017-06-01,2017-05-31,MU,Y,S,5468.0
2017-06-01,2017-02-09,MU,Y,T,3847.0
2017-06-01,2017-04-08,MU,Y,T,3865.0
2017-06-01,2017-05-12,MU,Y,T,870.0
2017-06-01,2017-05-20,MU,Y,T,5886.0
2017-06-01,2017-04-27,MU,Y,V,5079.0
2017-06-01,2017-04-29,MU,Y,V,5081.0
2017-06-01,2017-05-07,MU,Y,V,3819.0
2017-06-01,2017-05-10,MU,Y,V,4229.0
2017-06-01,2017-05-12,MU,Y,V,3659.0
2017-06-01,2017-05-21,MU,Y,V,4534.0
2017-06-01,2017-05-26,MU,Y,V,4373.0
2017-06-01,2017-05-30,MU,Y,V,5928.0
2017-06-01,2017-05-31,MU,Y,V,4716.0
2017-06-01,2017-03-17,UA,C,P,19751.0
2017-06-01,2017-05-27,UA,C,P,17072.0
2017-06-01,2017-03-10,UA,Y,G,4865.0
2017-06-01,2017-03-16,UA,Y,G,3913.0
2017-06-01,2017-05-20,UA,Y,G,5882.0
2017-06-01,2016-12-15,UA,Y,K,5665.0
2017-06-01,2017-03-17,UA,Y,K,4919.0
2017-06-01,2017-03-18,UA,Y,K,4920.0
2017-06-01,2017-03-20,UA,Y,K,4919.0
2017-06-01,2017-04-06,UA,Y,K,4707.0
2017-06-01,2017-04-07,UA,Y,K,4587.0
2017-06-01,2017-05-25,UA,Y,K,5213.0
2017-06-01,2017-04-05,UA,Y,S,4001.0
2017-06-01,2017-05-19,UA,Y,S,4247.0
2017-06-02,2017-05-23,AA,C,I,17949.0
2017-06-02,2017-05-31,AA,C,I,8102.0
2017-06-02,2017-05-25,AA,Y,K,4830.0
2017-06-02,2017-03-31,AA,Y,L,3599.0
2017-06-02,2017-04-13,AA,Y,O,4983.0
2017-06-02,2017-04-27,AA,Y,O,4025.0
2017-06-02,2017-05-03,AA,Y,O,4171.0
2017-06-02,2017-05-05,AA,Y,O,5183.5
2017-06-02,2017-05-06,AA,Y,O,4079.0
2017-06-02,2017-05-09,AA,Y,O,3762.0
2017-06-02,2017-05-12,AA,Y,O,3677.0
2017-06-02,2017-05-13,AA,Y,O,4009.0
2017-06-02,2017-05-15,AA,Y,O,3930.0
2017-06-02,2017-05-18,AA,Y,O,6061.0
2017-06-02,2017-05-21,AA,Y,O,3958.0
2017-06-02,2017-05-22,AA,Y,O,3046.0
2017-06-02,2017-05-23,AA,Y,O,3507.0
2017-06-02,2017-05-24,AA,Y,O,3360.0
2017-06-02,2017-05-26,AA,Y,O,6356.0
2017-06-02,2017-05-27,AA,Y,O,7146.0
2017-06-02,2017-05-28,AA,Y,O,3762.5
2017-06-02,2017-05-31,AA,Y,O,3384.0
2017-06-02,2017-06-01,AA,Y,O,3292.0
2017-06-02,2017-06-02,AA,Y,O,4839.0
2017-06-02,2017-05-12,AA,Y,Q,5966.0
2017-06-02,2017-05-15,AA,Y,Q,6130.0
2017-06-02,2017-05-27,AA,Y,S,8354.0
2017-06-02,2017-05-22,DL,C,Z,19192.0
2017-06-02,2016-08-26,DL,Y,V,3797.0
2017-06-02,2017-03-10,DL,Y,V,3577.0
2017-06-02,2017-04-20,DL,Y,V,4083.0
2017-06-02,2017-04-21,DL,Y,V,4086.0
2017-06-02,2017-04-26,DL,Y,V,4094.0
2017-06-02,2017-04-28,DL,Y,V,4452.0
2017-06-02,2017-05-02,DL,Y,V,3603.0
2017-06-02,2017-05-13,DL,Y,V,4729.0
2017-06-02,2017-05-22,DL,Y,V,3969.0
2017-06-02,2017-02-25,DL,Y,X,4782.0
2017-06-02,2017-03-10,DL,Y,X,4784.0
2017-06-02,2017-03-16,DL,Y,X,4986.0
2017-06-02,2017-03-20,DL,Y,X,4833.0
2017-06-02,2017-03-28,DL,Y,X,4686.0
2017-06-02,2017-04-02,DL,Y,X,4910.0
2017-06-02,2017-05-05,DL,Y,X,3938.0
2017-06-02,2017-05-12,DL,Y,X,4700.0
2017-06-02,2017-05-14,DL,Y,X,3932.0
2017-06-02,2017-05-15,DL,Y,X,3932.0
2017-06-02,2017-06-02,DL,Y,X,5085.0
2017-06-02,2017-04-18,MU,C,D,38958.0
2017-06-02,2017-05-07,MU,C,D,20611.0
2017-06-02,2017-05-24,MU,C,D,20807.0
2017-06-02,2017-04-24,MU,Y,S,972.0
2017-06-02,2017-05-18,MU,Y,S,4518.0
2017-06-02,2017-05-26,MU,Y,S,4501.0
2017-06-02,2017-05-05,MU,Y,T,6837.0
2017-06-02,2017-04-06,MU,Y,V,6425.0
2017-06-02,2017-04-11,MU,Y,V,7180.0
2017-06-02,2017-04-14,MU,Y,V,4848.0
2017-06-02,2017-04-24,MU,Y,V,4259.0
2017-06-02,2017-05-03,MU,Y,V,7643.0
2017-06-02,2017-05-04,MU,Y,V,5031.0
2017-06-02,2017-05-06,MU,Y,V,3819.0
2017-06-02,2017-05-10,MU,Y,V,8738.0
2017-06-02,2017-05-18,MU,Y,V,5079.0
2017-06-02,2017-05-27,MU,Y,V,6009.0
2017-06-02,2017-05-29,MU,Y,V,6069.0
2017-06-02,2017-06-01,MU,Y,V,4518.0
2017-06-02,2017-04-19,UA,C,P,19328.0
2017-06-02,2017-05-10,UA,C,P,37778.0
2017-06-02,2017-03-14,UA,Y,G,4204.0
2017-06-02,2017-04-11,UA,Y,G,4380.0
2017-06-02,2017-05-08,UA,Y,G,4350.0
2017-06-02,2017-05-11,UA,Y,G,4317.0
2017-06-02,2017-05-31,UA,Y,G,4496.0
2017-06-02,2016-12-25,UA,Y,K,5386.0
2017-06-02,2017-03-25,UA,Y,K,4701.0
2017-06-02,2017-04-07,UA,Y,K,5009.0
2017-06-02,2017-04-11,UA,Y,K,5122.0
2017-06-02,2017-04-19,UA,Y,K,4662.0
2017-06-02,2017-05-11,UA,Y,K,8070.0
2017-06-03,2017-05-18,AA,C,D,12497.0
2017-06-03,2017-05-31,AA,C,I,6782.0
2017-06-03,2017-03-28,AA,Y,L,6543.0
2017-06-03,2017-04-11,AA,Y,L,3688.0
2017-06-03,2017-06-03,AA,Y,L,5645.0
2017-06-03,2017-04-08,AA,Y,O,5010.0
2017-06-03,2017-04-19,AA,Y,O,4074.0
2017-06-03,2017-04-20,AA,Y,O,4665.0
2017-06-03,2017-04-29,AA,Y,O,4984.0
2017-06-03,2017-05-10,AA,Y,O,5928.0
2017-06-03,2017-05-11,AA,Y,O,3698.0
2017-06-03,2017-05-12,AA,Y,O,5640.5
2017-06-03,2017-05-14,AA,Y,O,3669.0
2017-06-03,2017-05-15,AA,Y,O,4636.5
2017-06-03,2017-05-16,AA,Y,O,7162.0
2017-06-03,2017-05-17,AA,Y,O,2858.0
2017-06-03,2017-05-19,AA,Y,O,5646.0
2017-06-03,2017-05-21,AA,Y,O,3345.0
2017-06-03,2017-05-23,AA,Y,O,3445.0
2017-06-03,2017-05-24,AA,Y,O,4120.0
2017-06-03,2017-05-25,AA,Y,O,3986.0
2017-06-03,2017-05-29,AA,Y,O,2839.0
2017-06-03,2017-05-30,AA,Y,O,4439.0
2017-06-03,2017-06-01,AA,Y,O,3445.0
2017-06-03,2017-06-02,AA,Y,O,3434.0
2017-06-03,2017-06-03,AA,Y,O,3523.0
2017-06-03,2017-03-28,AA,Y,Q,7624.0
2017-06-03,2017-05-24,AA,Y,Q,7081.0
2017-06-03,2017-05-26,AA,Y,Q,4838.0
2017-06-03,2017-05-25,AA,Y,S,9427.0
2017-06-03,2017-05-13,DL,C,Z,17006.0
2017-06-03,2017-05-14,DL,C,Z,17378.0
2017-06-03,2017-05-19,DL,C,Z,16903.0
2017-06-03,2017-05-23,DL,C,Z,15657.0
2017-06-03,2017-04-11,DL,Y,T,8157.0
2017-06-03,2017-05-17,DL,Y,T,4988.0
2017-06-03,2017-04-13,DL,Y,U,5400.0
2017-06-03,2017-01-26,DL,Y,V,4454.0
2017-06-03,2017-01-27,DL,Y,V,3837.0
