fdate,airline,class,subclass,prc
2017-09-01,AA,C,D,24151.0
2017-09-01,AA,C,I,10688.0
2017-09-01,AA,C,R,34603.0
2017-09-01,AA,Y,L,3973.0
2017-09-01,AA,Y,M,5684.0
2017-09-01,AA,Y,N,5564.0
2017-09-01,AA,Y,O,4192.0
2017-09-01,AA,Y,Q,4482.5
2017-09-01,AA,Y,S,2375.0
2017-09-01,DL,C,Z,6590.0
2017-09-01,DL,Y,L,10549.0
2017-09-01,DL,Y,T,8461.0
2017-09-01,DL,Y,U,5409.5
2017-09-01,DL,Y,V,3822.0
2017-09-01,DL,Y,X,3678.0
2017-09-01,MU,C,I,22830.0
2017-09-01,MU,Y,N,7975.0
2017-09-01,MU,Y,Q,3081.0
2017-09-01,MU,Y,R,4990.0
2017-09-01,MU,Y,S,5663.0
2017-09-01,MU,Y,T,5544.0
2017-09-01,MU,Y,V,5859.0
2017-09-01,MU,Y,Z,6653.0
2017-09-01,UA,C,Z,20023.0
2017-09-01,UA,Y,G,3745.0
2017-09-01,UA,Y,K,4880.0
2017-09-01,UA,Y,L,8012.0
2017-09-01,UA,Y,T,7572.0
2017-09-02,AA,C,D,17009.5
2017-09-02,AA,C,I,13564.0
2017-09-02,AA,Y,L,4186.0
2017-09-02,AA,Y,N,8072.0
2017-09-02,AA,Y,O,3544.0
2017-09-02,AA,Y,Q,3627.0
2017-09-02,AA,Y,S,2367.0
2017-09-02,DL,C,Z,17308.5
2017-09-02,DL,Y,L,8160.0
2017-09-02,DL,Y,T,7756.5
2017-09-02,DL,Y,U,4805.0
2017-09-02,DL,Y,V,4880.0
2017-09-02,DL,Y,X,2958.0
2017-09-02,MU,C,D,31066.0
2017-09-02,MU,C,I,14633.0
2017-09-02,MU,Y,N,7137.5
2017-09-02,MU,Y,Q,4092.0
2017-09-02,MU,Y,R,5921.5
2017-09-02,MU,Y,S,6301.0
2017-09-02,MU,Y,T,4593.0
2017-09-02,MU,Y,V,6361.0
2017-09-02,MU,Y,Z,6076.0
2017-09-02,UA,C,P,16885.0
2017-09-02,UA,Y,G,4094.0
2017-09-02,UA,Y,K,5573.0
2017-09-02,UA,Y,L,7031.0
2017-09-03,AA,C,D,16349.0
2017-09-03,AA,C,I,13564.0
2017-09-03,AA,Y,H,1660.0
2017-09-03,AA,Y,L,5114.0
2017-09-03,AA,Y,N,6610.0
2017-09-03,AA,Y,O,3778.5
2017-09-03,AA,Y,Q,3709.0
2017-09-03,AA,Y,S,2368.0
2017-09-03,AA,Y,V,3546.0
2017-09-03,DL,C,Z,15371.0
2017-09-03,DL,Y,T,9888.0
2017-09-03,DL,Y,U,5502.0
2017-09-03,DL,Y,V,3722.0
2017-09-03,DL,Y,X,2525.0
2017-09-03,MU,C,D,20337.0
2017-09-03,MU,C,I,21460.5
2017-09-03,MU,Y,N,5478.0
2017-09-03,MU,Y,R,5929.0
2017-09-03,MU,Y,S,6072.5
2017-09-03,MU,Y,T,4320.0
2017-09-03,MU,Y,V,4550.0
2017-09-03,MU,Y,Z,8533.0
2017-09-03,UA,C,P,16328.0
2017-09-03,UA,Y,G,3559.5
2017-09-03,UA,Y,K,5930.0
2017-09-03,UA,Y,T,8001.0
2017-09-04,AA,C,D,14177.5
2017-09-04,AA,C,I,16101.5
2017-09-04,AA,Y,L,5636.5
2017-09-04,AA,Y,N,4038.0
2017-09-04,AA,Y,O,3636.0
2017-09-04,AA,Y,Q,3653.0
2017-09-04,AA,Y,S,2367.0
2017-09-04,DL,C,Z,15371.0
2017-09-04,DL,Y,U,5056.0
2017-09-04,DL,Y,V,4495.0
2017-09-04,DL,Y,X,4647.0
2017-09-04,MU,C,D,25972.5
2017-09-04,MU,C,I,20306.5
2017-09-04,MU,Y,N,6902.0
2017-09-04,MU,Y,Q,3115.0
2017-09-04,MU,Y,R,5093.5
2017-09-04,MU,Y,S,5290.5
2017-09-04,MU,Y,T,4085.0
2017-09-04,MU,Y,V,5891.0
2017-09-04,MU,Y,Z,5818.5
2017-09-04,UA,C,P,16428.0
2017-09-04,UA,Y,G,3951.5
2017-09-04,UA,Y,K,5367.5
2017-09-04,UA,Y,S,8971.0
2017-09-05,AA,C,D,3720.5
2017-09-05,AA,C,I,14330.0
2017-09-05,AA,Y,N,3766.5
2017-09-05,AA,Y,O,3582.5
2017-09-05,AA,Y,Q,3986.5
2017-09-05,AA,Y,S,2367.0
2017-09-05,DL,C,Z,16820.0
2017-09-05,DL,Y,T,7015.0
2017-09-05,DL,Y,U,6910.5
2017-09-05,DL,Y,V,3723.0
2017-09-05,DL,Y,X,3320.0
2017-09-05,MU,C,I,16916.5
2017-09-05,MU,Y,N,6894.0
2017-09-05,MU,Y,R,3712.5
2017-09-05,MU,Y,S,4493.5
2017-09-05,MU,Y,T,4086.0
2017-09-05,MU,Y,V,5257.0
2017-09-05,MU,Y,Z,6716.0
2017-09-05,UA,Y,G,2991.0
2017-09-05,UA,Y,K,6025.0
2017-09-05,UA,Y,L,3450.0
2017-09-05,UA,Y,S,6513.5
2017-09-06,AA,C,D,13039.0
2017-09-06,AA,C,I,11264.5
2017-09-06,AA,Y,O,3578.0
2017-09-06,AA,Y,S,2367.0
2017-09-06,DL,C,I,18616.0
2017-09-06,DL,C,Z,18489.0
2017-09-06,DL,Y,H,19131.0
