fdate,airline,class,subclass,prc
2017-02-01,AA,C,D,14838.0
2017-02-01,AA,C,I,12282.0
2017-02-01,AA,Y,G,6357.0
2017-02-01,AA,Y,H,5302.0
2017-02-01,AA,Y,L,5804.0
2017-02-01,AA,Y,M,5102.0
2017-02-01,AA,Y,N,5216.0
2017-02-01,AA,Y,Q,3903.0
2017-02-01,AA,Y,S,3985.0
2017-02-01,AA,Y,V,6736.0
2017-02-01,DL,C,I,13116.5
2017-02-01,DL,C,Z,13803.0
2017-02-01,DL,Y,K,5939.0
2017-02-01,DL,Y,L,6276.0
2017-02-01,DL,Y,T,4530.0
2017-02-01,DL,Y,U,5976.0
2017-02-01,DL,Y,V,3807.0
2017-02-01,DL,Y,X,3453.0
2017-02-01,MU,C,D,16209.5
2017-02-01,MU,Y,K,14245.0
2017-02-01,MU,Y,L,7634.5
2017-02-01,MU,Y,N,8489.0
2017-02-01,MU,Y,R,6692.0
2017-02-01,MU,Y,S,5524.0
2017-02-01,MU,Y,T,3967.0
2017-02-01,MU,Y,V,4151.5
2017-02-01,MU,Y,Z,7450.0
2017-02-01,UA,C,P,10408.5
2017-02-01,UA,C,Z,2843.0
2017-02-01,UA,Y,G,4209.0
2017-02-01,UA,Y,L,5083.0
2017-02-01,UA,Y,Q,6818.0
2017-02-01,UA,Y,T,5941.0
2017-02-01,UA,Y,V,6620.0
2017-02-01,UA,Y,W,8006.0
2017-02-02,AA,C,D,17357.0
2017-02-02,AA,C,I,9953.5
2017-02-02,AA,Y,K,5911.0
2017-02-02,AA,Y,L,4832.5
2017-02-02,AA,Y,M,5008.0
2017-02-02,AA,Y,N,4055.0
2017-02-02,AA,Y,O,3494.0
2017-02-02,AA,Y,Q,4362.0
2017-02-02,AA,Y,S,3247.5
2017-02-02,AA,Y,V,4332.0
2017-02-02,DL,C,Z,9629.0
2017-02-02,DL,Y,K,7142.0
2017-02-02,DL,Y,L,4825.0
2017-02-02,DL,Y,T,5583.0
2017-02-02,DL,Y,U,6826.5
2017-02-02,DL,Y,V,3746.5
2017-02-02,DL,Y,X,1978.5
2017-02-02,MU,C,D,18027.0
2017-02-02,MU,Y,L,7941.0
2017-02-02,MU,Y,N,5018.0
2017-02-02,MU,Y,R,5330.0
2017-02-02,MU,Y,S,4684.0
2017-02-02,MU,Y,T,3979.0
2017-02-02,MU,Y,y,100.0
2017-02-02,UA,C,P,16523.0
2017-02-02,UA,Y,G,3991.5
2017-02-02,UA,Y,K,5001.5
2017-02-02,UA,Y,L,6038.0
2017-02-02,UA,Y,S,1661.0
2017-02-02,UA,Y,T,3436.5
2017-02-02,UA,Y,W,6437.0
2017-02-03,AA,C,I,9964.0
2017-02-03,AA,Y,M,5422.0
2017-02-03,AA,Y,N,3242.0
2017-02-03,AA,Y,O,3595.5
2017-02-03,AA,Y,Q,4269.0
2017-02-03,AA,Y,S,3212.5
2017-02-03,AA,Y,V,4168.0
2017-02-03,AA,Y,y,540.0
2017-02-03,DL,C,Z,16551.0
2017-02-03,DL,Y,T,5413.0
2017-02-03,DL,Y,U,4280.0
2017-02-03,DL,Y,V,3510.0
2017-02-03,DL,Y,X,3818.0
2017-02-03,MU,C,D,18044.0
2017-02-03,MU,C,I,23130.0
2017-02-03,MU,Y,N,4852.0
2017-02-03,MU,Y,R,7136.0
2017-02-03,MU,Y,S,5043.0
2017-02-03,MU,Y,T,5972.0
2017-02-03,MU,Y,V,3881.0
2017-02-03,UA,C,P,14230.0
2017-02-03,UA,Y,G,3706.0
2017-02-03,UA,Y,L,5558.0
2017-02-04,AA,C,D,2150.0
2017-02-04,AA,C,I,16912.0
2017-02-04,AA,F,F,20000.0
2017-02-04,AA,Y,O,3536.0
2017-02-04,AA,Y,Q,5284.0
2017-02-04,AA,Y,S,3583.0
2017-02-04,AA,Y,V,4273.0
2017-02-04,DL,C,Z,9546.5
2017-02-04,DL,Y,L,15335.0
2017-02-04,DL,Y,T,4857.0
2017-02-04,DL,Y,V,3722.5
2017-02-04,DL,Y,X,3931.0
2017-02-04,MU,C,D,17282.0
2017-02-04,MU,Y,R,5057.0
2017-02-04,MU,Y,S,3886.0
2017-02-04,MU,Y,T,3985.0
2017-02-04,MU,Y,V,3733.5
2017-02-04,MU,Y,Z,5268.0
2017-02-04,UA,C,P,11396.5
2017-02-04,UA,Y,G,3688.5
2017-02-04,UA,Y,K,5678.0
2017-02-04,UA,Y,L,5039.0
2017-02-05,AA,C,I,17080.5
2017-02-05,AA,Y,N,8413.0
2017-02-05,AA,Y,O,2268.0
2017-02-05,AA,Y,Q,4766.0
2017-02-05,AA,Y,S,3184.0
2017-02-05,AA,Y,Y,550.0
2017-02-05,DL,C,Z,15887.0
2017-02-05,DL,Y,T,7284.0
2017-02-05,DL,Y,U,6376.0
2017-02-05,DL,Y,V,3650.5
2017-02-05,DL,Y,X,4085.0
2017-02-05,MU,C,D,20034.0
2017-02-05,MU,F,P,118473.0
2017-02-05,MU,Y,Q,4878.0
2017-02-05,MU,Y,R,6319.0
2017-02-05,MU,Y,S,4544.0
