fdate,order_date,airline,class,subclass,prc
2017-02-01,2017-01-11,AA,C,D,5330.0
2017-02-01,2017-01-27,AA,C,D,24346.0
2017-02-01,2016-09-07,AA,C,I,14790.0
2017-02-01,2016-12-07,AA,C,I,11116.0
2017-02-01,2016-12-13,AA,C,I,9960.0
2017-02-01,2016-12-15,AA,C,I,9943.0
2017-02-01,2017-01-28,AA,C,I,18186.0
2017-02-01,2017-01-06,AA,Y,G,6357.0
2017-02-01,2017-01-14,AA,Y,H,5203.0
2017-02-01,2017-01-15,AA,Y,H,5949.0
2017-02-01,2017-01-16,AA,Y,H,7695.0
2017-02-01,2016-11-21,AA,Y,L,4203.0
2017-02-01,2016-12-07,AA,Y,L,5934.0
2017-02-01,2016-12-10,AA,Y,L,5804.0
2017-02-01,2016-12-04,AA,Y,M,4563.0
2017-02-01,2016-12-05,AA,Y,M,4805.0
2017-02-01,2016-12-15,AA,Y,M,5399.0
2017-02-01,2017-01-19,AA,Y,M,5826.0
2017-02-01,2017-01-12,AA,Y,N,5216.0
2017-02-01,2016-09-13,AA,Y,Q,3663.5
2017-02-01,2016-09-14,AA,Y,Q,3903.0
2017-02-01,2016-09-18,AA,Y,Q,4108.0
2017-02-01,2016-09-20,AA,Y,Q,4131.0
2017-02-01,2017-01-12,AA,Y,Q,5160.0
2017-02-01,2016-08-07,AA,Y,S,4069.0
2017-02-01,2016-08-11,AA,Y,S,3986.0
2017-02-01,2016-08-12,AA,Y,S,3986.0
2017-02-01,2016-08-15,AA,Y,S,3815.5
2017-02-01,2016-08-17,AA,Y,S,3986.0
2017-02-01,2016-08-18,AA,Y,S,3984.0
2017-02-01,2016-08-23,AA,Y,S,3815.0
2017-02-01,2017-01-12,AA,Y,S,4657.0
2017-02-01,2016-11-04,AA,Y,V,6736.0
2017-02-01,2016-11-05,DL,C,I,6117.0
2017-02-01,2016-12-09,DL,C,I,20116.0
2017-02-01,2016-07-15,DL,C,Z,16811.0
2017-02-01,2016-07-21,DL,C,Z,16783.0
2017-02-01,2016-09-10,DL,C,Z,11701.0
2017-02-01,2016-10-19,DL,C,Z,14752.0
2017-02-01,2016-10-31,DL,C,Z,14755.0
2017-02-01,2016-11-09,DL,C,Z,8659.0
2017-02-01,2016-11-22,DL,C,Z,12854.0
2017-02-01,2017-01-10,DL,C,Z,17675.0
2017-02-01,2017-01-12,DL,C,Z,10743.0
2017-02-01,2017-01-11,DL,Y,K,5939.0
2017-02-01,2017-01-03,DL,Y,L,6276.0
2017-02-01,2016-11-01,DL,Y,T,2532.0
2017-02-01,2016-11-21,DL,Y,T,5844.0
2017-02-01,2016-12-09,DL,Y,T,5138.5
2017-02-01,2016-12-17,DL,Y,T,2980.0
2017-02-01,2016-12-18,DL,Y,T,7232.0
2017-02-01,2017-01-31,DL,Y,T,6076.0
2017-02-01,2017-01-03,DL,Y,U,6358.0
2017-02-01,2017-01-04,DL,Y,U,4815.5
2017-02-01,2017-01-05,DL,Y,U,5099.5
2017-02-01,2017-01-27,DL,Y,U,6798.0
2017-02-01,2017-01-28,DL,Y,U,6139.0
2017-02-01,2017-02-01,DL,Y,U,4984.0
2017-02-01,2016-09-03,DL,Y,V,3621.0
2017-02-01,2016-09-20,DL,Y,V,3807.0
2017-02-01,2016-12-16,DL,Y,V,4920.0
2017-02-01,2017-01-08,DL,Y,V,2739.5
2017-02-01,2017-01-31,DL,Y,V,5151.0
2017-02-01,2016-11-13,DL,Y,X,3771.0
2017-02-01,2016-11-17,DL,Y,X,2164.0
2017-02-01,2016-11-18,DL,Y,X,2050.0
