fdate,airline,class,subclass,prc
2017-04-01,AA,C,I,8932.0
2017-04-01,AA,Y,K,4403.0
2017-04-01,AA,Y,L,9467.0
2017-04-01,AA,Y,M,6241.0
2017-04-01,AA,Y,N,3264.0
2017-04-01,AA,Y,O,3676.5
2017-04-01,AA,Y,Q,4312.0
2017-04-01,AA,Y,S,6636.0
2017-04-01,AA,Y,V,4632.5
2017-04-01,DL,C,D,40687.0
2017-04-01,DL,Y,H,7038.0
2017-04-01,DL,Y,L,3986.0
2017-04-01,DL,Y,T,5296.0
2017-04-01,DL,Y,U,5287.5
2017-04-01,DL,Y,V,3581.0
2017-04-01,DL,Y,X,4345.0
2017-04-01,MU,C,D,19668.0
2017-04-01,MU,C,I,14804.0
2017-04-01,MU,Y,L,6507.0
2017-04-01,MU,Y,N,6761.0
2017-04-01,MU,Y,R,4708.0
2017-04-01,MU,Y,S,3788.0
2017-04-01,MU,Y,T,4058.0
2017-04-01,MU,Y,V,3822.0
2017-04-01,MU,Y,Z,3543.0
2017-04-01,UA,Y,G,3858.0
2017-04-01,UA,Y,K,4327.0
2017-04-01,UA,Y,L,3728.0
2017-04-01,UA,Y,S,4403.0
2017-04-01,UA,Y,T,3880.0
2017-04-02,AA,C,I,14960.5
2017-04-02,AA,C,R,16097.0
2017-04-02,AA,Y,M,4670.0
2017-04-02,AA,Y,N,3992.0
2017-04-02,AA,Y,O,3840.0
2017-04-02,AA,Y,Q,4299.0
2017-04-02,AA,Y,S,3932.0
2017-04-02,AA,Y,V,3515.0
2017-04-02,DL,C,Z,15711.0
2017-04-02,DL,Y,K,8341.5
2017-04-02,DL,Y,T,5210.0
2017-04-02,DL,Y,U,5527.0
2017-04-02,DL,Y,V,3675.0
2017-04-02,DL,Y,X,4016.0
2017-04-02,DL,Y,Y,2884.0
2017-04-02,MU,C,D,19725.0
2017-04-02,MU,C,I,15627.0
2017-04-02,MU,Y,K,10668.0
2017-04-02,MU,Y,L,6511.0
2017-04-02,MU,Y,N,5662.0
2017-04-02,MU,Y,R,4952.0
2017-04-02,MU,Y,S,3762.5
2017-04-02,MU,Y,T,4977.0
2017-04-02,MU,Y,V,3868.0
2017-04-02,MU,Y,Z,5377.5
2017-04-02,UA,C,P,16860.5
2017-04-02,UA,C,Z,24418.0
2017-04-02,UA,Y,G,3922.5
2017-04-02,UA,Y,H,8493.0
2017-04-02,UA,Y,L,3688.0
2017-04-02,UA,Y,W,4870.0
2017-04-03,AA,C,I,12793.0
2017-04-03,AA,Y,N,6993.0
2017-04-03,AA,Y,O,3623.0
2017-04-03,AA,Y,S,3107.0
2017-04-03,AA,Y,V,4204.0
2017-04-03,DL,C,Z,15987.0
2017-04-03,DL,Y,Q,4263.0
2017-04-03,DL,Y,V,3692.0
2017-04-03,DL,Y,X,4781.0
2017-04-03,MU,C,D,19952.0
2017-04-03,MU,C,I,15114.0
2017-04-03,MU,Y,L,7071.5
2017-04-03,MU,Y,N,6660.0
2017-04-03,MU,Y,Q,3249.5
2017-04-03,MU,Y,S,4641.0
2017-04-03,MU,Y,T,3998.0
2017-04-03,MU,Y,V,3951.0
2017-04-03,MU,Y,Z,8578.0
2017-04-03,UA,C,P,16554.0
2017-04-03,UA,Y,G,3747.0
2017-04-03,UA,Y,K,4177.0
2017-04-04,AA,C,I,15893.0
2017-04-04,AA,C,R,16130.0
2017-04-04,AA,Y,H,7375.0
2017-04-04,AA,Y,O,3635.0
2017-04-04,AA,Y,S,3115.0
2017-04-04,MU,C,D,21191.0
2017-04-04,MU,C,I,13701.0
2017-04-04,MU,Y,S,3785.0
2017-04-04,MU,Y,T,5595.0
2017-04-04,MU,Y,V,3849.0
2017-04-04,UA,C,P,16887.5
2017-04-04,UA,Y,G,3753.0
2017-04-04,UA,Y,H,15905.0
2017-04-04,UA,Y,K,5535.0
2017-04-04,UA,Y,L,2482.5
2017-04-04,UA,Y,T,7715.0
2017-04-05,AA,Y,O,3623.0
2017-04-05,AA,Y,S,3107.0
2017-04-05,DL,C,Z,11545.5
2017-04-05,DL,Y,V,3466.0
2017-04-05,DL,Y,X,2192.0
2017-04-05,MU,C,D,15831.0
2017-04-05,MU,C,I,13771.0
2017-04-05,MU,Y,Q,890.0
2017-04-05,MU,Y,S,3676.0
2017-04-05,MU,Y,T,3832.0
2017-04-05,MU,Y,V,3922.5
2017-04-05,MU,Y,Y,500.0
2017-04-05,UA,C,P,16676.0
2017-04-05,UA,Y,G,3963.0
2017-04-05,UA,Y,L,3195.5
2017-04-05,UA,Y,T,3888.0
2017-04-06,AA,C,D,27029.0
2017-04-06,AA,C,I,12792.0
2017-04-06,AA,Y,O,3576.0
2017-04-06,AA,Y,S,3047.0
2017-04-06,AA,Y,V,4010.0
2017-04-06,DL,C,Z,15593.0
2017-04-06,DL,Y,L,5245.0
2017-04-06,DL,Y,V,3794.0
2017-04-06,MU,C,D,18922.5
