fdate,order_date,airline,class,subclass,prc
2017-10-01,2017-02-26,AA,C,D,18052.0
2017-10-01,2017-06-02,AA,C,D,14099.0
2017-10-01,2017-09-14,AA,C,R,31737.0
2017-10-01,2017-09-27,AA,Y,G,6466.0
2017-10-01,2017-09-29,AA,Y,G,6360.0
2017-10-01,2017-04-15,AA,Y,K,4577.0
2017-10-01,2017-05-12,AA,Y,K,4598.0
2017-10-01,2017-07-14,AA,Y,K,7942.0
2017-10-01,2017-05-10,AA,Y,L,6614.0
2017-10-01,2017-05-23,AA,Y,L,6881.0
2017-10-01,2017-05-25,AA,Y,L,7367.0
2017-10-01,2017-06-09,AA,Y,L,5603.0
2017-10-01,2017-06-10,AA,Y,L,5470.0
2017-10-01,2017-08-15,AA,Y,M,4496.0
2017-10-01,2017-07-24,AA,Y,N,7355.0
2017-10-01,2017-08-04,AA,Y,N,4543.0
2017-10-01,2017-02-23,AA,Y,O,5327.0
2017-10-01,2017-02-24,AA,Y,O,5222.0
2017-10-01,2017-02-28,AA,Y,O,4975.5
2017-10-01,2017-03-05,AA,Y,O,8378.0
2017-10-01,2017-03-08,AA,Y,O,5242.0
2017-10-01,2017-03-09,AA,Y,O,5587.5
2017-10-01,2017-03-10,AA,Y,O,5306.0
2017-10-01,2017-03-11,AA,Y,O,4984.0
2017-10-01,2017-03-13,AA,Y,O,4978.5
2017-10-01,2017-03-16,AA,Y,O,5220.0
2017-10-01,2017-03-18,AA,Y,O,5924.0
2017-10-01,2017-03-23,AA,Y,O,5306.0
2017-10-01,2017-03-25,AA,Y,O,5450.0
2017-10-01,2017-03-29,AA,Y,O,5750.0
2017-10-01,2017-03-30,AA,Y,O,5095.5
2017-10-01,2017-03-31,AA,Y,O,5137.0
2017-10-01,2017-04-04,AA,Y,O,5304.0
2017-10-01,2017-04-06,AA,Y,O,5525.0
2017-10-01,2017-04-09,AA,Y,O,5869.0
2017-10-01,2017-04-12,AA,Y,O,5359.5
2017-10-01,2017-04-13,AA,Y,O,4649.0
2017-10-01,2017-04-14,AA,Y,O,3678.0
2017-10-01,2017-04-14,AA,Y,S,4775.0
2017-10-01,2017-04-15,AA,Y,S,6239.0
2017-10-01,2017-04-17,AA,Y,S,4575.5
2017-10-01,2017-04-18,AA,Y,S,7745.0
2017-10-01,2017-09-16,DL,C,D,25191.0
2017-10-01,2017-09-27,DL,C,D,22859.0
2017-10-01,2017-08-26,DL,C,I,3520.0
2017-10-01,2017-09-15,DL,C,I,28314.0
2017-10-01,2017-09-21,DL,C,I,20522.0
2017-10-01,2017-07-07,DL,C,Z,24255.0
2017-10-01,2017-09-18,DL,Y,H,7060.0
2017-10-01,2017-09-22,DL,Y,H,7113.0
2017-10-01,2017-09-28,DL,Y,H,10677.0
2017-10-01,2017-08-11,DL,Y,K,5895.0
2017-10-01,2017-09-02,DL,Y,K,8596.0
2017-10-01,2017-09-03,DL,Y,K,11716.0
2017-10-01,2017-09-08,DL,Y,K,8463.0
2017-10-01,2017-09-12,DL,Y,K,7515.0
2017-10-01,2017-08-31,DL,Y,L,7068.0
2017-10-01,2017-09-01,DL,Y,L,6464.0
2017-10-01,2017-09-22,DL,Y,M,17248.0
2017-10-01,2017-09-02,DL,Y,Q,9334.0
2017-10-01,2017-09-15,DL,Y,Q,5622.0
2017-10-01,2017-01-24,DL,Y,T,6721.0
2017-10-01,2017-04-26,DL,Y,T,5438.0
2017-10-01,2017-05-07,DL,Y,T,7907.0
2017-10-01,2017-06-17,DL,Y,T,6391.0
2017-10-01,2017-07-03,DL,Y,T,6430.0
2017-10-01,2017-07-13,DL,Y,T,6690.0
2017-10-01,2017-08-05,DL,Y,T,6520.0
2017-10-01,2017-08-07,DL,Y,T,8101.0
2017-10-01,2017-08-25,DL,Y,T,6234.0
2017-10-01,2017-08-28,DL,Y,T,11919.0
2017-10-01,2017-08-31,DL,Y,T,8651.0
2017-10-01,2017-08-10,DL,Y,U,4537.0
2017-10-01,2017-08-13,DL,Y,U,5971.0
2017-10-01,2017-08-14,DL,Y,U,9172.0
2017-10-01,2017-08-31,DL,Y,U,4410.5
2017-10-01,2017-09-01,DL,Y,U,5728.0
2017-10-01,2017-08-10,DL,Y,V,7183.0
2017-10-01,2017-08-21,DL,Y,V,6026.0
2017-10-01,2017-08-22,DL,Y,V,3650.0
2017-10-01,2017-08-26,DL,Y,V,7769.0
2017-10-01,2017-08-28,DL,Y,V,6098.0
2017-10-01,2017-06-09,DL,Y,X,6027.0
2017-10-01,2017-06-10,DL,Y,X,6072.0
2017-10-01,2017-09-11,MU,C,C,45351.0
2017-10-01,2017-08-28,MU,C,D,21563.0
2017-10-01,2017-09-07,MU,C,D,29205.0
2017-10-01,2017-09-27,MU,C,D,35720.0
2017-10-01,2017-08-12,MU,C,I,19952.0
2017-10-01,2017-08-13,MU,C,I,17274.0
2017-10-01,2017-09-21,MU,C,J,62225.0
2017-10-01,2017-09-21,MU,F,P,76755.0
2017-10-01,2017-09-29,MU,Y,E,14873.0
