take_off_time,user_category,user_cnt
06:40,1,126
06:40,2,46
06:40,3,17
06:40,4,58
06:40,5,7
06:55,1,138
06:55,2,75
06:55,3,18
06:55,4,100
06:55,5,3
07:00,1,1109
07:00,2,748
07:00,3,106
07:00,4,852
07:00,5,6
07:45,1,135
07:45,2,79
07:45,3,16
07:45,4,107
07:45,5,1
07:50,1,185
07:50,2,123
07:50,3,14
07:50,4,129
07:50,5,3
07:55,1,612
07:55,2,343
07:55,3,59
07:55,4,392
07:55,5,11
08:00,1,856
08:00,2,604
08:00,3,73
08:00,4,610
08:00,5,6
08:05,1,308
08:05,2,109
08:05,3,48
08:05,4,170
08:05,5,11
08:15,1,124
08:15,2,51
08:15,3,14
08:15,4,85
08:15,5,3
08:20,1,577
08:20,2,289
08:20,3,62
08:20,4,330
08:20,5,6
08:30,1,602
08:30,2,420
08:30,3,46
08:30,4,411
08:30,5,2
08:35,1,24
08:35,2,5
08:35,3,2
08:35,4,7
08:50,1,55
08:50,2,36
08:50,3,3
08:50,4,54
08:55,1,428
08:55,2,281
08:55,3,30
08:55,4,276
08:55,5,4
09:00,1,1141
09:00,2,735
09:00,3,111
09:00,4,818
09:00,5,4
09:20,1,19
09:20,2,4
09:20,3,1
09:20,4,6
09:30,1,477
09:30,2,296
09:30,3,44
09:30,4,299
09:30,5,2
10:00,1,872
10:00,2,530
10:00,3,85
10:00,4,572
10:00,5,8
10:15,1,322
10:15,2,203
10:15,3,33
10:15,4,207
10:15,5,2
10:45,1,239
10:45,2,127
10:45,3,28
10:45,4,182
10:45,5,3
10:55,1,619
10:55,2,393
10:55,3,57
10:55,4,396
10:55,5,2
11:00,1,924
11:00,2,564
11:00,3,82
11:00,4,603
11:00,5,5
11:15,1,758
11:15,2,449
11:15,3,70
11:15,4,571
11:15,5,2
11:30,1,1
11:40,1,133
11:40,2,55
11:40,3,15
11:40,4,90
11:40,5,7
11:45,1,760
11:45,2,418
11:45,3,76
11:45,4,517
11:45,5,3
11:50,1,248
11:50,2,116
11:50,3,31
11:50,4,132
11:50,5,9
11:55,1,992
11:55,2,584
11:55,3,96
11:55,4,657
11:55,5,10
12:00,1,889
12:00,2,515
12:00,3,99
12:00,4,622
12:00,5,3
12:10,1,1
12:10,3,1
12:10,4,2
12:10,5,1
12:15,1,695
12:15,2,367
12:15,3,67
12:15,4,504
12:15,5,3
12:30,1,213
12:30,2,112
12:30,3,20
12:30,4,134
12:30,5,1
12:35,1,237
12:35,2,134
12:35,3,28
12:35,4,148
12:35,5,2
12:45,1,39
12:45,2,19
12:45,3,2
12:45,4,19
12:50,1,161
12:50,2,96
12:50,3,14
12:50,4,116
12:50,5,2
12:55,1,306
12:55,2,218
12:55,3,20
12:55,4,219
12:55,5,1
13:00,1,956
13:00,2,603
13:00,3,86
13:00,4,659
13:00,5,6
13:10,1,441
13:10,2,245
13:10,3,47
13:10,4,283
13:10,5,1
13:15,1,2
13:15,2,2
13:15,3,1
13:15,4,3
13:15,5,1
13:20,1,1
13:30,1,541
13:30,2,291
13:30,3,43
13:30,4,340
13:30,5,3
13:35,1,168
13:35,2,107
13:35,3,10
13:35,4,104
13:35,5,3
13:40,1,37
13:40,2,17
13:40,3,2
13:40,4,16
13:40,5,3
13:50,1,69
13:50,2,44
13:50,3,3
13:50,4,41
13:55,1,70
13:55,2,62
13:55,3,9
13:55,4,56
14:00,1,829
14:00,2,623
14:00,3,81
14:00,4,632
14:00,5,3
14:10,1,1
14:25,1,2
14:25,2,1
14:25,4,2
14:30,1,718
14:30,2,461
14:30,3,74
14:30,4,499
14:30,5,3
14:50,1,58
14:50,2,37
14:50,3,4
14:50,4,42
14:50,5,1
14:55,1,616
14:55,2,388
14:55,3,60
14:55,4,404
14:55,5,3
15:00,1,816
15:00,2,578
15:00,3,69
15:00,4,564
15:00,5,4
15:10,1,62
15:10,2,58
15:10,3,4
15:10,4,52
15:10,5,1
15:30,1,67
15:30,2,44
15:30,3,8
15:30,4,54
15:30,5,1
15:55,1,8
15:55,2,7
15:55,3,1
15:55,4,8
16:00,1,843
16:00,2,609
16:00,3,64
16:00,4,611
16:00,5,2
16:10,1,6
16:10,2,5
16:10,4,5
16:15,1,174
16:15,2,106
16:15,3,14
16:15,4,119
16:15,5,2
16:40,1,335
16:40,2,201
16:40,3,20
16:40,4,206
16:40,5,1
16:50,1,66
16:50,2,52
16:50,3,10
16:50,4,54
16:55,1,380
16:55,2,259
16:55,3,32
16:55,4,239
16:55,5,3
17:00,1,866
17:00,2,627
17:00,3,75
17:00,4,654
17:00,5,3
17:30,1,530
17:30,2,337
17:30,3,49
17:30,4,348
17:30,5,3
17:40,1,1
17:40,2,1
17:40,4,1
17:50,1,85
17:50,2,68
17:50,3,7
17:50,4,64
17:55,1,362
17:55,2,268
17:55,3,31
17:55,4,243
17:55,5,2
18:00,1,731
18:00,2,509
18:00,3,67
18:00,4,513
18:00,5,2
18:30,1,9
18:30,2,6
18:30,3,1
18:30,4,5
18:35,1,147
18:35,2,68
18:35,3,20
18:35,4,80
18:35,5,7
18:40,1,619
18:40,2,289
18:40,3,62
18:40,4,372
18:40,5,10
18:45,1,157
18:45,2,80
18:45,3,18
18:45,4,108
18:45,5,6
18:50,1,90
18:50,2,55
18:50,3,7
18:50,4,63
18:50,5,1
18:55,1,368
18:55,2,223
18:55,3,30
18:55,4,233
18:55,5,3
19:00,1,733
19:00,2,496
19:00,3,70
19:00,4,545
19:00,5,2
19:10,1,587
19:10,2,340
19:10,3,56
19:10,4,387
19:10,5,2
19:15,1,171
19:15,2,107
19:15,3,15
19:15,4,124
19:15,5,2
19:20,1,645
19:20,2,274
19:20,3,64
19:20,4,343
19:20,5,11
19:30,1,9
19:30,2,4
19:30,4,5
19:50,1,63
19:50,2,41
19:50,3,9
19:50,4,43
19:55,1,375
19:55,2,252
19:55,3,34
19:55,4,242
19:55,5,2
20:00,1,775
20:00,2,531
20:00,3,70
20:00,4,554
20:00,5,4
20:05,1,13
20:05,2,7
20:05,3,1
20:05,4,7
20:20,1,16
20:20,2,12
20:20,3,2
20:20,4,13
20:30,1,164
20:30,2,83
20:30,3,12
20:30,4,105
20:30,5,1
20:35,1,126
20:35,2,50
20:35,3,11
20:35,4,64
20:35,5,5
20:40,1,6
20:40,2,3
20:40,4,2
20:45,1,980
20:45,2,654
20:45,3,82
20:45,4,699
20:45,5,3
20:50,1,88
20:50,2,72
20:50,3,9
20:50,4,75
20:50,5,1
20:55,1,1296
20:55,2,775
20:55,3,110
20:55,4,833
20:55,5,5
21:00,1,780
21:00,2,487
21:00,3,69
21:00,4,543
21:00,5,4
21:10,1,423
21:10,2,290
21:10,3,26
21:10,4,322
21:10,5,2
21:15,1,488
21:15,2,247
21:15,3,53
21:15,4,306
21:15,5,7
21:20,1,551
21:20,2,266
21:20,3,54
21:20,4,331
21:20,5,4
21:25,1,3
21:25,2,2
21:25,4,1
21:30,1,333
21:30,2,206
21:30,3,16
21:30,4,206
21:30,5,2
21:45,1,133
21:45,2,65
21:45,3,13
21:45,4,99
21:45,5,5
21:50,1,239
21:50,2,78
21:50,3,25
21:50,4,129
21:50,5,7
21:55,1,721
21:55,2,420
21:55,3,73
21:55,4,483
21:55,5,6
22:00,1,187
22:00,2,98
22:00,3,21
22:00,4,106
22:00,5,3
22:05,1,506
22:05,2,237
