take_off_time,user_cnt
06:40,126
06:55,138
07:00,1109
07:45,135
07:50,185
07:55,612
08:00,856
08:05,308
08:15,124
08:20,577
08:30,602
08:35,24
08:50,55
08:55,428
09:00,1141
09:20,19
09:30,477
10:00,872
10:15,322
10:45,239
10:55,619
11:00,924
11:15,758
11:30,1
11:40,133
11:45,760
11:50,248
11:55,992
12:00,889
12:10,1
12:15,695
12:30,213
12:35,237
12:45,39
12:50,161
12:55,306
13:00,956
13:10,441
13:15,2
13:20,1
13:30,541
13:35,168
13:40,37
13:50,69
13:55,70
14:00,829
14:10,1
14:25,2
14:30,718
14:50,58
14:55,616
15:00,816
15:10,62
15:30,67
15:55,8
16:00,843
16:10,6
16:15,174
16:40,335
16:50,66
16:55,380
17:00,866
17:30,530
17:40,1
17:50,85
17:55,362
18:00,731
18:30,9
18:35,147
18:40,619
18:45,157
18:50,90
18:55,368
19:00,733
19:10,587
19:15,171
19:20,645
19:30,9
19:50,63
19:55,375
20:00,775
20:05,13
20:20,16
20:30,164
20:35,126
20:40,6
20:45,980
20:50,88
20:55,1296
21:00,780
21:10,423
21:15,488
21:20,551
21:25,3
21:30,333
21:45,133
21:50,239
21:55,721
22:00,187
22:05,506
22:10,751
22:15,15
22:30,457
22:40,2
22:50,7
23:00,36
23:25,13
23:30,4
23:50,5
23:55,4
