take_off_time,user_category,user_cnt
06:40,1,149
06:40,2,77
06:40,3,11
06:40,4,94
06:40,5,7
06:55,1,140
06:55,2,101
06:55,3,16
06:55,4,130
06:55,5,2
07:00,1,743
07:00,2,559
07:00,3,50
07:00,4,562
07:00,5,6
07:45,1,182
07:45,2,122
07:45,3,28
07:45,4,153
07:50,1,202
07:50,2,162
07:50,3,25
07:50,4,142
07:50,5,2
07:55,1,758
07:55,2,487
07:55,3,76
07:55,4,542
07:55,5,9
08:00,1,534
08:00,2,441
08:00,3,34
08:00,4,384
08:00,5,2
08:05,1,360
08:05,2,164
08:05,3,35
08:05,4,204
08:05,5,10
08:15,1,106
08:15,2,67
08:15,3,9
08:15,4,78
08:15,5,1
08:20,1,509
08:20,2,266
08:20,3,46
08:20,4,290
08:20,5,5
08:30,1,383
08:30,2,302
08:30,3,20
08:30,4,266
08:30,5,3
08:35,1,20
08:35,2,5
08:35,3,3
08:35,4,10
08:50,1,134
08:50,2,92
08:50,3,12
08:50,4,97
08:55,1,609
08:55,2,427
08:55,3,61
08:55,4,428
08:55,5,5
09:00,1,854
09:00,2,629
09:00,3,67
09:00,4,604
09:00,5,4
09:20,1,22
09:20,2,5
09:20,3,1
09:20,4,4
09:20,5,1
09:30,1,348
09:30,2,245
09:30,3,19
09:30,4,214
09:30,5,3
10:00,1,690
10:00,2,450
10:00,3,60
10:00,4,466
10:00,5,7
10:15,1,312
10:15,2,197
10:15,3,30
10:15,4,214
10:15,5,1
10:20,1,10
10:20,2,7
10:20,3,1
10:20,4,9
10:30,1,1
10:30,2,1
10:30,4,1
10:45,1,68
10:45,2,36
10:45,3,10
10:45,4,51
10:45,5,2
10:55,1,927
10:55,2,567
10:55,3,81
10:55,4,620
10:55,5,3
11:00,1,747
11:00,2,525
11:00,3,71
11:00,4,524
11:00,5,4
11:15,1,702
11:15,2,411
11:15,3,69
11:15,4,491
11:15,5,2
11:30,1,1
11:30,2,1
11:30,4,1
11:30,5,1
11:40,1,122
11:40,2,42
11:40,3,12
11:40,4,68
11:40,5,5
11:45,1,780
11:45,2,434
11:45,3,78
11:45,4,539
11:45,5,4
11:50,1,302
11:50,2,181
11:50,3,30
11:50,4,211
11:50,5,7
11:55,1,1219
11:55,2,646
11:55,3,121
11:55,4,816
11:55,5,9
12:00,1,551
