take_off_time,user_cnt
06:40,94
06:55,130
07:00,562
07:45,153
07:50,142
07:55,542
08:00,384
08:05,204
08:15,78
08:20,290
08:30,266
08:35,10
08:50,97
08:55,428
09:00,604
09:20,4
09:30,214
10:00,466
10:15,214
10:20,9
10:30,1
10:45,51
10:55,620
11:00,524
11:15,491
11:30,1
11:40,68
11:45,539
11:50,211
11:55,816
12:00,390
12:10,144
12:15,431
12:20,2
12:30,126
12:35,153
12:40,4
12:45,40
12:50,170
12:55,465
13:00,410
13:10,255
13:20,2
13:30,200
13:35,44
13:40,7
13:45,4
13:50,82
13:55,362
14:00,417
14:25,1
14:30,303
14:35,1
14:50,93
14:55,568
15:00,419
15:10,42
15:20,13
15:25,10
15:30,31
15:45,8
16:00,453
16:15,188
16:40,283
16:45,3
16:50,109
16:55,442
17:00,436
17:30,250
17:40,7
17:50,91
17:55,444
18:00,325
18:10,3
18:15,2
18:25,7
18:35,70
18:40,248
18:45,74
18:50,87
18:55,692
19:00,427
19:10,477
19:15,165
19:20,174
19:50,87
19:55,334
20:00,363
20:05,1
20:30,102
20:35,40
20:40,124
20:45,630
20:50,59
20:55,883
21:00,526
21:10,322
21:15,351
21:20,239
21:30,159
21:45,73
21:50,86
21:55,431
22:00,80
22:10,139
22:30,239
22:55,1
23:15,2
23:30,15
