take_off_time,user_cnt
06:40,77
06:55,97
07:00,60
07:45,90
07:50,156
07:55,431
08:00,781
08:05,148
08:15,28
08:20,291
08:30,289
08:35,5
08:50,66
08:55,269
09:00,772
09:10,1
09:20,10
09:30,245
10:00,492
10:10,3
10:15,213
10:45,46
10:55,391
11:00,524
11:10,2
11:15,495
11:30,2
11:40,59
11:45,400
11:50,150
11:55,621
12:00,584
12:10,1
12:15,440
12:25,28
12:30,88
12:35,99
12:45,14
12:50,116
12:55,250
13:00,683
13:10,250
13:20,1
13:30,282
13:35,103
13:40,8
13:50,20
13:55,123
14:00,522
14:10,1
14:30,387
14:50,46
14:55,491
15:00,493
15:10,55
15:30,57
16:00,458
16:15,174
16:40,229
16:50,39
16:55,274
17:00,530
17:15,3
17:30,174
17:50,40
17:55,213
18:00,350
18:15,2
18:30,2
18:35,64
18:40,201
18:45,38
18:50,40
18:55,573
19:00,444
19:15,141
19:20,163
19:30,5
19:45,67
19:50,35
19:55,197
20:00,1
20:10,3
20:20,5
20:30,108
20:35,33
20:40,2
20:45,534
20:50,52
20:55,920
21:00,449
21:05,6
21:10,253
21:15,167
21:20,222
21:30,128
21:40,15
21:45,61
21:50,75
21:55,263
22:00,78
22:05,1
22:10,124
22:30,225
22:40,1
23:40,4
