take_off_time,user_category,user_cnt
06:40,1,115
06:40,2,44
06:40,3,15
06:40,4,62
06:40,5,9
06:55,1,123
06:55,2,49
06:55,3,17
06:55,4,84
06:55,5,3
07:00,1,88
07:00,2,38
07:00,3,8
07:00,4,60
07:00,5,3
07:45,1,64
07:45,2,34
07:45,3,7
07:45,4,47
07:50,1,170
07:50,2,101
07:50,3,11
07:50,4,102
07:50,5,2
07:55,1,676
07:55,2,358
07:55,3,64
07:55,4,442
07:55,5,9
08:05,1,340
08:05,2,113
08:05,3,44
08:05,4,161
08:05,5,11
08:15,1,107
08:15,2,53
08:15,3,10
08:15,4,77
08:15,5,2
08:20,1,552
08:20,2,256
08:20,3,64
08:20,4,332
08:20,5,7
08:30,1,639
08:30,2,395
08:30,3,75
08:30,4,444
08:30,5,4
08:35,1,17
08:35,2,3
08:35,4,5
08:50,1,91
08:50,2,61
08:50,3,8
08:50,4,65
08:55,1,396
08:55,2,239
08:55,3,44
08:55,4,257
08:55,5,2
09:00,1,1081
09:00,2,591
09:00,3,118
09:00,4,732
09:00,5,7
09:20,1,40
09:20,2,6
09:20,3,5
09:20,4,11
09:30,1,369
09:30,2,172
09:30,3,33
09:30,4,206
09:30,5,4
09:50,1,1
09:50,2,2
09:50,4,3
10:00,1,820
10:00,2,445
10:00,3,96
10:00,4,534
10:00,5,4
10:15,1,323
10:15,2,181
10:15,3,36
10:15,4,218
10:15,5,2
10:45,1,262
10:45,2,127
10:45,3,36
10:45,4,183
10:45,5,3
10:55,1,666
10:55,2,389
10:55,3,101
10:55,4,455
10:55,5,4
11:00,1,769
11:00,2,405
11:00,3,78
11:00,4,489
11:00,5,3
11:15,1,817
11:15,2,400
11:15,3,89
11:15,4,545
11:15,5,4
11:30,2,1
11:30,5,1
11:40,1,127
11:40,2,44
11:40,3,18
11:40,4,64
11:40,5,6
11:45,1,757
11:45,2,378
11:45,3,81
11:45,4,481
11:45,5,3
11:50,1,207
11:50,2,100
11:50,3,23
11:50,4,127
11:50,5,9
11:55,1,1183
11:55,2,613
11:55,3,133
11:55,4,788
11:55,5,8
12:00,1,801
12:00,2,465
12:00,3,82
12:00,4,556
12:00,5,4
12:15,1,716
12:15,2,365
12:15,3,93
12:15,4,506
12:15,5,4
12:20,1,1
12:20,3,1
12:30,1,137
12:30,2,63
12:30,3,10
12:30,4,92
12:30,5,2
12:35,1,170
12:35,2,73
12:35,3,13
12:35,4,105
12:35,5,2
12:45,1,58
12:45,2,30
12:45,3,8
12:45,4,41
12:45,5,1
12:50,1,166
12:50,2,101
12:50,3,19
12:50,4,114
12:50,5,1
12:55,1,540
12:55,2,299
12:55,3,58
12:55,4,320
12:55,5,3
13:00,1,833
13:00,2,482
13:00,3,85
