take_off_time,user_cnt
06:40,115
06:55,123
07:00,88
07:45,64
07:50,170
07:55,676
08:05,340
08:15,107
08:20,552
08:30,639
08:35,17
08:50,91
08:55,396
09:00,1081
09:20,40
09:30,369
09:50,1
10:00,820
10:15,323
10:45,262
10:55,666
11:00,769
11:15,817
11:40,127
11:45,757
11:50,207
11:55,1183
12:00,801
12:15,716
12:20,1
12:30,137
12:35,170
12:45,58
12:50,166
12:55,540
13:00,833
13:10,338
13:20,9
13:30,453
13:35,143
13:40,17
13:50,92
13:55,51
14:00,674
14:20,3
14:30,634
14:50,146
14:55,790
15:00,698
15:10,75
15:30,77
16:00,718
16:15,318
16:20,1
16:40,406
16:50,112
16:55,600
17:00,662
17:30,510
17:45,3
17:50,138
17:55,499
18:00,532
18:20,7
18:35,149
18:40,572
18:45,170
18:50,119
18:55,590
19:00,569
19:05,175
19:10,181
19:15,261
19:20,538
19:30,16
19:40,2
19:45,1
19:50,123
19:55,486
20:00,622
20:10,15
20:15,1
20:20,13
20:30,141
20:35,120
20:40,8
20:45,953
20:50,92
20:55,1381
21:00,792
21:05,46
21:10,503
21:15,613
21:20,466
21:30,294
21:40,13
21:45,158
21:50,135
21:55,830
22:00,166
22:05,499
22:10,630
22:25,4
22:30,448
23:55,2
