take_off_time,user_cnt
06:40,99
06:45,1
06:55,120
07:00,777
07:45,110
07:50,155
07:55,514
08:00,528
08:05,216
08:15,53
08:20,331
08:30,371
08:35,2
08:45,2
08:50,67
08:55,373
09:00,743
09:20,4
09:30,262
10:00,544
10:15,251
10:20,4
10:45,178
10:55,467
11:00,532
11:15,537
11:30,14
11:40,73
11:45,485
11:50,198
11:55,803
12:00,495
12:15,535
12:25,23
12:30,107
12:35,120
12:45,21
12:50,153
12:55,383
13:00,661
13:10,288
13:30,293
13:35,93
13:40,6
13:50,48
13:55,235
14:00,491
14:30,423
14:50,70
14:55,425
15:00,593
15:10,48
15:20,1
15:30,47
15:40,4
16:00,552
16:15,180
16:40,199
16:50,51
16:55,298
17:00,610
17:30,289
17:40,2
17:50,56
17:55,294
18:00,443
18:35,97
18:40,343
18:45,85
18:50,63
18:55,648
19:00,486
19:05,7
19:10,417
19:15,134
19:20,282
19:25,7
19:30,1
19:40,10
19:50,54
19:55,297
20:00,2
20:30,105
20:35,44
20:40,1
20:45,711
20:50,71
20:55,1225
21:00,740
21:05,9
21:10,352
21:15,318
21:20,348
21:30,187
21:45,78
21:50,107
21:55,527
22:00,99
22:10,179
22:15,2
22:30,301
23:00,3
23:05,22
23:50,5
