take_off_time,user_cnt
06:40,101
06:55,127
07:00,631
07:45,138
07:50,158
07:55,495
08:00,477
08:05,202
08:15,78
08:20,383
08:30,345
08:35,1
08:50,96
08:55,450
09:00,667
09:20,5
09:30,258
10:00,485
10:15,221
10:25,4
10:45,214
10:55,561
11:00,517
11:15,499
11:40,65
11:45,547
11:50,218
11:55,793
12:00,496
12:15,449
12:25,16
12:30,96
12:35,130
12:45,37
12:50,181
12:55,444
13:00,554
13:10,250
13:15,7
13:20,5
13:30,321
13:35,100
13:40,4
13:50,82
13:55,92
14:00,454
14:20,4
14:25,1
14:30,387
14:50,79
14:55,502
15:00,525
15:10,35
15:30,39
15:55,1
16:00,554
16:15,184
16:40,246
16:50,80
16:55,391
17:00,540
17:30,245
17:50,93
17:55,357
18:00,412
18:35,83
18:40,312
18:45,85
18:50,69
18:55,492
19:00,426
19:10,424
19:15,122
19:20,250
19:30,5
19:35,88
19:45,209
19:50,63
19:55,277
20:00,11
20:30,116
20:35,29
20:40,3
20:45,674
20:50,88
20:55,1117
21:00,719
21:05,11
21:10,384
21:15,304
21:20,280
21:30,144
21:45,79
21:50,86
21:55,533
22:00,110
22:10,138
22:20,2
22:30,258
23:00,3
23:40,7
