take_off_time,user_category,user_cnt
06:40,1,169
06:40,2,68
06:40,3,16
06:40,4,100
06:40,5,10
06:55,1,174
06:55,2,112
06:55,3,20
06:55,4,122
06:55,5,3
07:00,1,929
07:00,2,755
07:00,3,77
07:00,4,739
07:00,5,5
07:45,1,186
07:45,2,116
07:45,3,17
07:45,4,136
07:50,1,196
07:50,2,144
07:50,3,8
07:50,4,145
07:50,5,1
07:55,1,789
07:55,2,530
07:55,3,84
07:55,4,561
07:55,5,7
08:00,1,654
08:00,2,520
08:00,3,36
08:00,4,478
08:00,5,5
08:05,1,377
08:05,2,180
08:05,3,46
08:05,4,237
08:05,5,10
08:15,1,121
08:15,2,72
08:15,3,16
08:15,4,97
08:15,5,2
08:20,1,482
08:20,2,299
08:20,3,55
08:20,4,299
08:20,5,6
08:30,1,506
08:30,2,420
08:30,3,33
08:30,4,363
08:30,5,3
08:35,1,10
08:35,2,2
08:35,3,1
08:35,4,2
08:50,1,116
08:50,2,91
08:50,3,14
08:50,4,103
08:55,1,534
08:55,2,398
08:55,3,32
08:55,4,371
08:55,5,3
09:00,1,1011
09:00,2,763
09:00,3,79
09:00,4,686
09:00,5,5
09:10,2,3
09:10,4,3
09:15,1,1
09:15,3,1
09:20,1,22
09:20,2,6
09:20,3,4
09:20,4,9
09:30,1,401
09:30,2,310
09:30,3,29
09:30,4,282
09:30,5,1
09:50,1,12
09:50,2,9
09:50,4,12
10:00,1,760
10:00,2,519
10:00,3,64
10:00,4,524
10:00,5,6
10:15,1,300
10:15,2,221
10:15,3,26
10:15,4,207
10:15,5,2
10:45,1,246
10:45,2,163
10:45,3,20
10:45,4,203
10:45,5,3
10:50,1,7
10:50,2,4
10:50,3,1
10:50,4,3
10:55,1,806
10:55,2,560
10:55,3,88
10:55,4,545
10:55,5,3
11:00,1,755
11:00,2,585
11:00,3,61
11:00,4,552
11:00,5,2
11:15,1,787
11:15,2,539
11:15,3,57
11:15,4,559
11:15,5,4
11:30,1,1
11:40,1,114
11:40,2,67
11:40,3,16
11:40,4,93
11:40,5,6
11:45,1,697
11:45,2,395
11:45,3,52
11:45,4,454
11:45,5,5
11:50,1,342
11:50,2,211
11:50,3,32
11:50,4,235
11:50,5,8
11:55,1,1290
11:55,2,783
11:55,3,144
11:55,4,911
11:55,5,8
12:00,1,665
12:00,2,469
12:00,3,47
12:00,4,474
12:00,5,2
12:10,4,1
12:10,5,1
12:15,1,612
12:15,2,357
12:15,3,64
12:15,4,467
12:15,5,3
12:20,1,18
12:20,2,11
12:20,3,1
12:20,4,16
12:30,1,128
12:30,2,58
12:30,3,10
12:30,4,82
12:30,5,1
12:35,1,222
12:35,2,136
12:35,3,10
12:35,4,139
12:35,5,2
12:45,1,21
12:45,2,19
12:45,3,3
12:45,4,22
12:45,5,2
12:50,1,196
12:50,2,132
12:50,3,18
12:50,4,155
12:50,5,3
12:55,1,623
12:55,2,366
12:55,3,69
12:55,4,412
12:55,5,2
13:00,1,753
13:00,2,521
13:00,3,65
13:00,4,553
13:00,5,3
13:10,1,365
13:10,2,250
13:10,3,51
13:10,4,270
13:10,5,3
13:20,1,3
13:20,4,1
13:30,1,416
13:30,2,237
13:30,3,44
13:30,4,285
13:30,5,2
13:35,1,130
13:35,2,85
13:35,3,14
13:35,4,83
13:35,5,2
13:40,1,14
13:40,2,6
13:40,3,2
13:40,4,10
13:40,5,1
13:50,1,86
13:50,2,65
13:50,3,13
13:50,4,73
13:50,5,1
13:55,1,381
13:55,2,278
13:55,3,31
13:55,4,290
13:55,5,2
14:00,1,640
14:00,2,475
14:00,3,65
14:00,4,503
14:00,5,4
14:10,1,5
14:10,2,4
14:10,3,1
14:10,4,4
14:25,1,2
14:25,2,1
14:25,4,1
14:30,1,566
14:30,2,360
14:30,3,55
14:30,4,397
14:30,5,4
14:50,1,94
14:50,2,59
14:50,3,12
14:50,4,65
14:50,5,1
14:55,1,682
14:55,2,496
14:55,3,62
14:55,4,505
14:55,5,2
15:00,1,641
15:00,2,473
15:00,3,57
15:00,4,487
15:00,5,2
15:10,1,51
15:10,2,38
15:10,3,7
15:10,4,44
15:10,5,2
15:25,1,7
15:25,2,4
15:25,4,4
15:30,1,62
15:30,2,42
15:30,3,11
15:30,4,40
16:00,1,697
16:00,2,536
16:00,3,60
16:00,4,522
16:00,5,3
16:15,1,246
16:15,2,179
16:15,3,25
16:15,4,183
16:15,5,1
16:25,1,5
16:25,2,3
16:25,3,1
16:25,4,4
16:30,1,4
16:30,2,2
16:30,3,1
16:30,4,3
16:40,1,359
16:40,2,217
16:40,3,38
16:40,4,252
16:40,5,2
16:50,1,71
16:50,2,52
16:50,3,5
16:50,4,55
16:55,1,433
16:55,2,328
16:55,3,53
16:55,4,347
16:55,5,2
17:00,1,758
17:00,2,584
17:00,3,64
17:00,4,569
17:00,5,4
17:30,1,499
17:30,2,329
