take_off_time,user_cnt
06:40,16
06:55,20
07:00,77
07:45,17
07:50,8
07:55,84
08:00,36
08:05,46
08:15,16
08:20,55
08:30,33
08:35,1
08:50,14
08:55,32
09:00,79
09:15,1
09:20,4
09:30,29
10:00,64
10:15,26
10:45,20
10:50,1
10:55,88
11:00,61
11:15,57
11:40,16
11:45,52
11:50,32
11:55,144
12:00,47
12:15,64
12:20,1
12:30,10
12:35,10
12:45,3
12:50,18
12:55,69
13:00,65
13:10,51
13:30,44
13:35,14
13:40,2
13:50,13
13:55,31
14:00,65
14:10,1
14:30,55
14:50,12
14:55,62
15:00,57
15:10,7
15:30,11
16:00,60
16:15,25
16:25,1
16:30,1
16:40,38
16:50,5
16:55,53
17:00,64
17:30,57
17:50,7
17:55,34
18:00,48
18:30,4
18:35,14
18:40,53
18:45,19
18:50,7
18:55,37
19:00,58
19:05,19
19:10,94
19:15,18
19:20,85
19:50,6
19:55,26
20:00,62
20:30,15
20:35,8
20:45,85
20:50,14
20:55,155
21:00,65
21:10,55
21:15,63
21:20,62
21:30,28
21:45,16
21:50,13
21:55,109
22:00,9
22:05,60
22:10,71
22:30,40
