take_off_time,user_cnt
06:40,13
06:45,1
06:55,4
07:00,11
07:45,2
07:50,4
07:55,14
08:00,12
08:05,16
08:15,4
08:20,14
08:30,5
08:35,2
08:50,1
08:55,7
09:00,10
09:20,1
09:30,4
10:00,13
10:15,2
10:45,4
10:55,9
11:00,8
11:15,5
11:30,2
11:40,11
11:45,7
11:50,13
11:55,14
12:00,8
12:10,4
12:15,8
12:25,7
12:30,3
12:35,3
12:40,1
12:45,4
12:50,8
12:55,5
13:00,8
13:10,8
13:15,1
13:20,2
13:30,5
13:35,7
13:40,3
13:45,1
13:50,2
13:55,2
14:00,7
14:25,1
14:30,8
14:50,4
14:55,7
15:00,6
15:10,4
15:20,1
15:30,4
16:00,3
16:15,4
16:40,3
16:50,1
16:55,5
17:00,10
17:30,6
17:50,2
17:55,2
18:00,5
18:35,11
18:40,14
18:45,10
18:50,2
18:55,8
19:00,5
19:05,3
19:10,3
19:15,4
19:20,17
19:30,1
19:35,2
19:45,2
19:50,2
19:55,6
20:00,5
20:10,1
20:20,1
20:30,5
20:35,10
20:40,3
20:45,10
20:50,3
20:55,9
21:00,7
21:05,4
21:10,7
21:15,11
21:20,11
21:30,5
21:40,2
21:45,11
21:50,14
21:55,15
22:00,9
22:05,5
22:10,6
22:30,6
22:50,1
22:55,1
23:00,1
23:05,1
23:25,2
23:30,2
23:40,1
23:50,1
23:55,1
