fdate,airline,class,subclass,prc
2017-12-01,AA,C,D,13564.0
2017-12-01,AA,Y,N,4860.0
2017-12-01,AA,Y,O,3687.0
2017-12-01,AA,Y,Q,3128.0
2017-12-01,AA,Y,V,4835.0
2017-12-01,DL,C,I,33770.0
2017-12-01,DL,C,Z,11525.0
2017-12-01,DL,Y,T,4415.0
2017-12-01,DL,Y,U,3955.0
2017-12-01,DL,Y,V,3619.0
2017-12-01,DL,Y,X,2343.0
2017-12-01,MU,C,I,16764.5
2017-12-01,MU,Y,S,3949.0
2017-12-01,MU,Y,T,3037.0
2017-12-01,MU,Y,V,5129.0
2017-12-01,UA,C,P,15535.0
2017-12-01,UA,Y,G,3623.0
2017-12-01,UA,Y,W,9432.0
2017-12-02,AA,C,D,11555.0
2017-12-02,AA,Y,N,4132.0
2017-12-02,AA,Y,O,3837.5
2017-12-02,AA,Y,Q,2705.0
2017-12-02,DL,C,I,18792.0
2017-12-02,DL,C,Z,13049.0
2017-12-02,DL,Y,L,9406.0
2017-12-02,DL,Y,V,3661.0
2017-12-02,DL,Y,X,2224.0
2017-12-02,MU,C,I,19391.0
2017-12-02,MU,C,Q,29908.0
2017-12-02,MU,Y,R,9093.5
2017-12-02,MU,Y,S,3868.0
2017-12-02,MU,Y,T,3913.0
2017-12-02,UA,C,P,15636.0
2017-12-02,UA,Y,G,3699.0
2017-12-03,AA,C,D,7786.0
2017-12-03,AA,C,I,14592.0
2017-12-03,AA,Y,N,2430.0
2017-12-03,AA,Y,O,3763.0
2017-12-03,AA,Y,Q,3904.0
2017-12-03,AA,Y,S,2389.5
2017-12-03,AA,Y,V,2351.0
2017-12-03,DL,Y,T,5694.0
2017-12-03,DL,Y,U,3486.0
2017-12-03,DL,Y,V,3501.5
2017-12-03,DL,Y,X,2191.0
2017-12-03,MU,C,I,17781.0
2017-12-03,MU,C,Q,25819.5
2017-12-03,MU,Y,S,5959.0
2017-12-03,MU,Y,T,2993.5
2017-12-03,MU,Y,V,5672.0
2017-12-03,UA,C,P,11277.0
2017-12-03,UA,Y,G,3718.5
2017-12-03,UA,Y,L,6495.0
2017-12-04,AA,C,D,9780.0
2017-12-04,AA,C,I,15538.0
2017-12-04,AA,Y,M,6479.0
2017-12-04,AA,Y,N,2484.5
2017-12-04,AA,Y,O,3857.0
2017-12-04,AA,Y,Q,4961.0
2017-12-04,AA,Y,S,2413.0
2017-12-04,AA,Y,V,4653.5
2017-12-04,DL,Y,V,3639.0
2017-12-04,DL,Y,X,2232.0
2017-12-04,MU,C,I,15021.0
2017-12-04,MU,Y,S,4188.5
2017-12-04,MU,Y,T,3652.0
2017-12-04,MU,Y,V,8171.5
2017-12-04,MU,Y,Z,6180.0
2017-12-04,UA,C,P,6278.5
2017-12-04,UA,Y,G,3610.0
2017-12-05,AA,C,D,7286.0
2017-12-05,AA,C,I,14213.0
2017-12-05,AA,Y,N,4899.0
2017-12-05,AA,Y,O,3785.0
2017-12-05,DL,C,Z,10391.0
2017-12-05,DL,S,W,7274.0
2017-12-05,DL,Y,T,2435.0
2017-12-05,DL,Y,V,3596.0
2017-12-05,DL,Y,X,2423.0
2017-12-05,MU,C,I,21230.0
2017-12-05,MU,Y,S,2775.0
2017-12-05,MU,Y,T,3850.0
2017-12-05,MU,Y,V,6707.0
2017-12-05,UA,C,P,13420.0
2017-12-05,UA,Y,G,3585.0
2017-12-05,UA,Y,L,6609.0
2017-12-06,AA,C,D,19804.0
2017-12-06,AA,Y,N,2498.0
2017-12-06,AA,Y,O,4055.0
2017-12-06,AA,Y,Q,4925.0
2017-12-06,AA,Y,S,2351.0
2017-12-06,DL,Y,T,5307.0
2017-12-06,DL,Y,U,6903.0
2017-12-06,MU,C,I,15478.0
2017-12-06,MU,Y,S,4246.0
2017-12-06,MU,Y,T,3963.0
2017-12-06,MU,Y,V,6182.0
2017-12-06,MU,Y,Z,4794.0
2017-12-06,UA,C,P,19749.0
2017-12-06,UA,Y,G,2531.0
2017-12-06,UA,Y,K,2697.0
2017-12-06,UA,Y,Q,5047.0
2017-12-07,AA,Y,N,2489.0
2017-12-07,AA,Y,O,3766.0
2017-12-07,AA,Y,Q,4664.0
2017-12-07,AA,Y,V,2351.0
2017-12-07,DL,C,Z,18583.0
2017-12-07,DL,Y,T,2866.0
2017-12-07,DL,Y,U,3572.0
2017-12-07,DL,Y,V,4476.0
2017-12-07,DL,Y,X,2165.0
2017-12-07,MU,C,I,13794.5
2017-12-07,MU,Y,S,3698.0
2017-12-07,MU,Y,T,4647.0
2017-12-07,UA,C,P,16177.0
2017-12-07,UA,Y,G,3657.0
2017-12-08,AA,Y,N,3432.0
2017-12-08,AA,Y,O,3911.0
2017-12-08,AA,Y,Q,2240.0
2017-12-08,AA,Y,S,2411.0
2017-12-08,DL,C,C,47727.0
2017-12-08,DL,C,I,14178.0
2017-12-08,DL,C,Z,16757.0
2017-12-08,DL,Y,T,3269.0
2017-12-08,DL,Y,U,5375.0
2017-12-08,DL,Y,V,3661.0
2017-12-08,DL,Y,X,2450.5
2017-12-08,MU,C,I,18596.0
2017-12-08,MU,Y,S,3923.0
2017-12-08,MU,Y,T,3853.0
2017-12-08,MU,Y,V,7797.0
2017-12-08,UA,C,D,72713.0
2017-12-08,UA,Y,G,3825.5
2017-12-08,UA,Y,K,2633.0
2017-12-09,AA,C,D,9443.0
2017-12-09,AA,Y,N,4244.0
2017-12-09,AA,Y,O,3967.0
2017-12-09,AA,Y,Q,5218.5
2017-12-09,AA,Y,S,2413.0
2017-12-09,AA,Y,V,2413.0
2017-12-09,DL,C,D,38479.0
2017-12-09,DL,C,Z,13052.0
2017-12-09,DL,Y,T,13341.0
2017-12-09,DL,Y,U,3299.0
2017-12-09,DL,Y,V,3716.0
2017-12-09,DL,Y,X,2201.0
2017-12-09,MU,C,I,17248.0
2017-12-09,MU,Y,S,4134.0
2017-12-09,MU,Y,T,8661.5
2017-12-09,MU,Y,V,9729.0
2017-12-09,MU,Y,Z,8721.0
2017-12-09,UA,C,P,11743.5
2017-12-09,UA,Y,G,3548.0
2017-12-10,AA,C,D,24195.0
2017-12-10,AA,C,I,15346.0
2017-12-10,AA,C,R,25258.5
2017-12-10,AA,Y,N,4049.0
2017-12-10,AA,Y,O,3953.0
2017-12-10,AA,Y,Q,3740.0
2017-12-10,AA,Y,S,2413.0
2017-12-10,AA,Y,V,2257.5
2017-12-10,DL,C,Z,17171.0
2017-12-10,DL,Y,T,5847.5
2017-12-10,DL,Y,U,3693.0
2017-12-10,DL,Y,V,3777.0
2017-12-10,DL,Y,X,2332.0
2017-12-10,MU,C,I,17499.0
2017-12-10,MU,Y,Q,6463.0
2017-12-10,MU,Y,R,8284.5
2017-12-10,MU,Y,S,4093.0
2017-12-10,MU,Y,T,3833.0
2017-12-10,MU,Y,V,10320.0
2017-12-10,UA,C,P,15166.0
2017-12-10,UA,Y,G,3964.0
2017-12-10,UA,Y,H,2000.0
2017-12-11,AA,C,D,24062.5
2017-12-11,AA,C,I,15104.5
2017-12-11,AA,Y,N,2665.0
2017-12-11,AA,Y,O,3666.0
2017-12-11,AA,Y,Q,4368.0
2017-12-11,DL,C,Z,11841.0
2017-12-11,DL,Y,V,4858.0
2017-12-11,DL,Y,X,2191.0
2017-12-11,MU,C,I,18762.0
2017-12-11,MU,Y,S,3589.0
2017-12-11,MU,Y,T,3407.0
2017-12-11,UA,C,P,16094.0
2017-12-11,UA,Y,G,3580.5
2017-12-12,AA,C,D,20865.0
2017-12-12,AA,C,I,11232.0
2017-12-12,AA,Y,N,4488.0
2017-12-12,AA,Y,O,3533.0
2017-12-12,AA,Y,Q,4656.0
2017-12-12,AA,Y,S,3633.5
2017-12-12,DL,C,Z,15552.0
2017-12-12,DL,Y,U,14235.0
2017-12-12,DL,Y,V,3940.5
2017-12-12,DL,Y,X,2137.0
2017-12-12,MU,C,I,25264.0
2017-12-12,MU,Y,S,3791.5
2017-12-12,MU,Y,T,3852.0
2017-12-12,MU,Y,V,5944.0
2017-12-12,UA,C,P,22855.0
2017-12-12,UA,Y,G,3618.0
2017-12-12,UA,Y,L,6056.0
2017-12-13,AA,C,I,15750.0
2017-12-13,AA,Y,N,2570.0
2017-12-13,AA,Y,O,3852.0
2017-12-13,AA,Y,Q,4543.0
2017-12-13,AA,Y,S,5008.5
2017-12-13,AA,Y,V,2413.0
2017-12-13,DL,C,Z,19658.0
2017-12-13,DL,Y,T,4330.0
2017-12-13,DL,Y,V,3853.0
2017-12-13,DL,Y,X,2211.5
2017-12-13,MU,C,I,16917.0
2017-12-13,MU,Y,S,4336.5
2017-12-13,MU,Y,T,3912.0
2017-12-13,UA,C,P,14368.5
2017-12-13,UA,Y,G,3842.5
2017-12-14,AA,C,J,19159.0
2017-12-14,AA,Y,N,2388.0
2017-12-14,AA,Y,O,3761.0
2017-12-14,AA,Y,Q,3735.0
2017-12-14,AA,Y,S,2413.0
2017-12-14,DL,Y,T,5997.0
2017-12-14,DL,Y,V,3760.0
2017-12-14,DL,Y,X,2508.0
2017-12-14,MU,C,I,17882.5
2017-12-14,MU,C,Q,24650.5
2017-12-14,MU,Y,S,4282.5
2017-12-14,MU,Y,T,4060.0
2017-12-14,MU,Y,V,5718.0
2017-12-14,UA,C,Z,32177.0
2017-12-14,UA,Y,G,3746.5
2017-12-15,AA,C,D,22219.0
2017-12-15,AA,Y,N,3308.0
2017-12-15,AA,Y,O,3672.0
2017-12-15,AA,Y,Q,6697.0
2017-12-15,AA,Y,S,5601.0
2017-12-15,AA,Y,V,4164.0
2017-12-15,DL,C,I,26794.0
2017-12-15,DL,Y,L,7165.0
2017-12-15,DL,Y,T,3756.5
2017-12-15,DL,Y,U,5562.0
2017-12-15,DL,Y,V,3778.5
2017-12-15,DL,Y,X,2422.5
2017-12-15,MU,C,D,27514.5
2017-12-15,MU,C,I,19523.0
2017-12-15,MU,C,Q,23893.0
2017-12-15,MU,Y,R,5883.0
2017-12-15,MU,Y,S,4793.5
2017-12-15,MU,Y,T,3849.0
2017-12-15,MU,Y,V,5560.0
2017-12-15,MU,Y,Z,3521.0
2017-12-15,UA,Y,G,3874.0
2017-12-15,UA,Y,K,4741.5
2017-12-15,UA,Y,L,5513.0
2017-12-16,AA,C,D,16928.0
2017-12-16,AA,C,R,30029.0
2017-12-16,AA,Y,N,2430.0
2017-12-16,AA,Y,O,4033.0
2017-12-16,AA,Y,Q,4131.0
2017-12-16,AA,Y,S,3800.5
2017-12-16,AA,Y,V,4581.0
2017-12-16,DL,C,I,25079.5
2017-12-16,DL,C,Z,14898.0
2017-12-16,DL,Y,V,3611.0
2017-12-16,DL,Y,X,2478.0
2017-12-16,MU,C,I,17028.0
2017-12-16,MU,C,Q,23089.0
2017-12-16,MU,Y,N,7885.5
2017-12-16,MU,Y,R,8915.0
2017-12-16,MU,Y,S,3828.0
2017-12-16,MU,Y,T,4073.0
2017-12-16,MU,Y,V,6309.0
2017-12-16,UA,C,P,13420.0
2017-12-16,UA,C,Z,18291.0
2017-12-16,UA,Y,G,3608.5
2017-12-16,UA,Y,K,4682.0
2017-12-16,UA,Y,L,6547.0
2017-12-17,AA,C,D,11520.0
2017-12-17,AA,C,R,31790.0
2017-12-17,AA,Y,N,2429.5
2017-12-17,AA,Y,O,3796.5
2017-12-17,AA,Y,Q,3997.0
2017-12-17,AA,Y,S,2554.0
2017-12-17,DL,C,Z,15807.0
2017-12-17,DL,Y,V,3625.0
2017-12-17,DL,Y,X,2475.0
2017-12-17,MU,C,I,19139.0
