fdate,order_date,airline,class,subclass,prc
2017-12-01,2017-11-21,AA,C,D,21218.0
2017-12-01,2017-11-28,AA,C,D,5910.0
2017-12-01,2017-10-23,AA,Y,N,5922.0
2017-12-01,2017-11-22,AA,Y,N,4860.0
2017-12-01,2017-11-24,AA,Y,N,2635.0
2017-12-01,2017-06-09,AA,Y,O,3687.0
2017-12-01,2017-06-11,AA,Y,O,3620.0
2017-12-01,2017-11-02,AA,Y,O,3517.0
2017-12-01,2017-11-11,AA,Y,O,3718.0
2017-12-01,2017-11-20,AA,Y,O,3626.0
2017-12-01,2017-11-25,AA,Y,O,3795.0
2017-12-01,2017-11-27,AA,Y,O,3795.0
2017-12-01,2017-11-28,AA,Y,O,3794.0
2017-12-01,2017-12-01,AA,Y,O,2863.0
2017-12-01,2017-11-05,AA,Y,Q,3963.0
2017-12-01,2017-11-30,AA,Y,Q,2293.0
2017-12-01,2017-08-15,AA,Y,V,4835.0
2017-12-01,2017-11-24,DL,C,I,33770.0
2017-12-01,2017-09-15,DL,C,Z,14079.0
2017-12-01,2017-11-26,DL,C,Z,21157.0
2017-12-01,2017-11-28,DL,C,Z,8434.0
2017-12-01,2017-11-30,DL,C,Z,8971.0
2017-12-01,2017-11-13,DL,Y,T,3249.0
2017-12-01,2017-11-17,DL,Y,T,5581.0
2017-12-01,2017-11-08,DL,Y,U,3955.0
2017-12-01,2017-07-21,DL,Y,V,3789.0
2017-12-01,2017-09-05,DL,Y,V,3160.5
2017-12-01,2017-09-21,DL,Y,V,3612.0
2017-12-01,2017-10-30,DL,Y,V,7457.0
2017-12-01,2017-10-31,DL,Y,V,2451.0
2017-12-01,2017-11-06,DL,Y,V,3828.0
2017-12-01,2017-11-15,DL,Y,V,3619.0
2017-12-01,2017-11-19,DL,Y,V,4119.0
2017-12-01,2017-11-20,DL,Y,V,3969.0
2017-12-01,2017-11-22,DL,Y,V,3563.0
2017-12-01,2017-11-26,DL,Y,V,3990.0
2017-12-01,2017-11-29,DL,Y,V,2326.0
2017-12-01,2017-09-05,DL,Y,X,2293.0
2017-12-01,2017-10-17,DL,Y,X,2353.0
