take_off_time,user_cnt
06:40,7
06:55,3
07:00,6
07:45,1
07:50,3
07:55,11
08:00,6
08:05,11
08:15,3
08:20,6
08:30,2
08:55,4
09:00,4
09:30,2
10:00,8
10:15,2
10:45,3
10:55,2
11:00,5
11:15,2
11:40,7
11:45,3
11:50,9
11:55,10
12:00,3
12:10,1
12:15,3
12:30,1
12:35,2
12:50,2
12:55,1
13:00,6
13:10,1
13:15,1
13:30,3
13:35,3
13:40,3
14:00,3
14:30,3
14:50,1
14:55,3
15:00,4
15:10,1
15:30,1
16:00,2
16:15,2
16:40,1
16:55,3
17:00,3
17:30,3
17:55,2
18:00,2
18:35,7
18:40,10
18:45,6
18:50,1
18:55,3
19:00,2
19:10,2
19:15,2
19:20,11
19:55,2
20:00,4
20:30,1
20:35,5
20:45,3
20:50,1
20:55,5
21:00,4
21:10,2
21:15,7
21:20,4
21:30,2
21:45,5
21:50,7
21:55,6
22:00,3
22:05,5
22:10,3
22:30,2
22:50,1
22:55,1
23:00,1
23:25,2
23:50,1
23:55,1
