take_off_time,user_cnt
06:40,11
06:55,16
07:00,50
07:45,28
07:50,25
07:55,76
08:00,34
08:05,35
08:15,9
08:20,46
08:30,20
08:35,3
08:50,12
08:55,61
09:00,67
09:20,1
09:30,19
10:00,60
10:15,30
10:20,1
10:45,10
10:55,81
11:00,71
11:15,69
11:40,12
11:45,78
11:50,30
11:55,121
12:00,59
12:10,28
12:15,67
12:30,17
12:35,24
12:40,1
12:45,9
12:50,25
12:55,78
13:00,65
13:10,37
13:20,2
13:30,34
13:35,15
13:40,2
13:45,1
13:50,16
13:55,52
14:00,55
14:25,1
14:30,48
14:35,1
14:50,22
14:55,97
15:00,53
15:10,4
15:20,3
15:25,2
15:30,2
15:45,1
16:00,58
16:15,35
16:40,46
16:45,1
16:50,10
16:55,65
17:00,44
17:30,50
17:40,2
17:50,9
17:55,56
18:00,40
18:15,1
18:25,1
18:35,15
18:40,51
18:45,10
18:50,18
18:55,101
19:00,58
19:10,73
19:15,27
19:20,45
19:50,18
19:55,44
20:00,51
20:30,18
20:35,8
20:40,22
20:45,97
20:50,11
20:55,147
21:00,81
21:10,46
21:15,55
21:20,36
21:30,25
21:45,14
21:50,22
21:55,76
22:00,18
22:10,29
22:30,38
22:55,2
23:15,1
23:30,6
