take_off_time,user_category,user_cnt
06:40,1,129
06:40,2,38
06:40,3,9
06:40,4,77
06:40,5,9
06:55,1,176
06:55,2,54
06:55,3,13
06:55,4,97
06:55,5,2
07:00,1,86
07:00,2,46
07:00,3,10
07:00,4,60
07:00,5,2
07:45,1,138
07:45,2,68
07:45,3,20
07:45,4,90
07:50,1,231
07:50,2,143
07:50,3,19
07:50,4,156
07:50,5,1
07:55,1,691
07:55,2,366
07:55,3,61
07:55,4,431
07:55,5,9
08:00,1,1162
08:00,2,680
08:00,3,128
08:00,4,781
08:00,5,4
08:05,1,304
08:05,2,108
08:05,3,34
08:05,4,148
08:05,5,10
08:15,1,57
08:15,2,16
08:15,3,5
08:15,4,28
08:15,5,3
08:20,1,488
08:20,2,265
08:20,3,53
08:20,4,291
08:20,5,5
08:30,1,524
08:30,2,249
08:30,3,62
08:30,4,289
08:30,5,3
08:35,1,22
08:35,2,5
08:35,4,5
08:35,5,1
08:50,1,81
08:50,2,56
08:50,3,11
08:50,4,66
08:50,5,1
08:55,1,436
08:55,2,273
08:55,3,44
08:55,4,269
08:55,5,3
09:00,1,1149
09:00,2,671
09:00,3,115
09:00,4,772
09:00,5,4
09:10,1,2
09:10,2,2
09:10,4,1
09:20,1,24
09:20,2,7
09:20,3,5
09:20,4,10
09:30,1,448
09:30,2,192
09:30,3,46
09:30,4,245
09:30,5,3
09:50,1,2
10:00,1,736
10:00,2,404
10:00,3,76
10:00,4,492
10:00,5,7
10:10,1,7
10:10,2,5
10:10,4,3
10:15,1,330
10:15,2,177
10:15,3,28
10:15,4,213
10:15,5,2
10:45,1,70
10:45,2,33
10:45,3,9
10:45,4,46
10:45,5,1
10:55,1,546
10:55,2,392
10:55,3,53
10:55,4,391
10:55,5,3
11:00,1,773
11:00,2,465
11:00,3,97
11:00,4,524
11:00,5,4
11:10,1,2
11:10,2,1
11:10,3,1
11:10,4,2
11:15,1,653
11:15,2,391
11:15,3,65
11:15,4,495
11:15,5,4
11:30,1,2
11:30,4,2
11:30,5,1
11:40,1,108
11:40,2,43
11:40,3,11
11:40,4,59
11:40,5,5
11:45,1,631
11:45,2,307
11:45,3,57
11:45,4,400
11:45,5,3
11:50,1,217
11:50,2,132
11:50,3,26
11:50,4,150
11:50,5,10
11:55,1,960
11:55,2,505
11:55,3,106
11:55,4,621
11:55,5,8
12:00,1,875
12:00,2,471
12:00,3,86
12:00,4,584
12:00,5,4
12:10,4,1
12:10,5,1
12:15,1,572
12:15,2,325
12:15,3,65
12:15,4,440
12:15,5,4
12:25,1,43
12:25,2,16
12:25,3,10
12:25,4,28
12:25,5,4
12:30,1,109
12:30,2,59
12:30,3,20
12:30,4,88
12:30,5,2
12:35,1,147
12:35,2,81
12:35,3,11
12:35,4,99
12:35,5,2
12:45,1,16
12:45,2,10
12:45,3,1
12:45,4,14
12:45,5,2
12:50,1,169
12:50,2,96
12:50,3,18
12:50,4,116
12:50,5,2
12:55,1,361
12:55,2,217
12:55,3,37
12:55,4,250
12:55,5,2
13:00,1,991
13:00,2,567
13:00,3,108
13:00,4,683
13:00,5,3
13:10,1,415
13:10,2,186
13:10,3,47
13:10,4,250
13:10,5,3
13:20,1,9
13:20,2,1
13:20,3,1
13:20,4,1
13:30,1,466
13:30,2,219
13:30,3,51
13:30,4,282
13:30,5,2
13:35,1,159
13:35,2,82
13:35,3,21
13:35,4,103
13:35,5,4
13:40,1,13
13:40,2,4
13:40,3,2
13:40,4,8
13:40,5,2
13:50,1,25
13:50,2,13
13:50,3,6
13:50,4,20
13:50,5,1
13:55,1,170
13:55,2,96
13:55,3,28
13:55,4,123
13:55,5,2
14:00,1,707
14:00,2,430
14:00,3,95
14:00,4,522
14:00,5,3
14:10,1,1
14:10,4,1
14:30,1,589
14:30,2,287
14:30,3,67
14:30,4,387
14:30,5,4
14:50,1,66
14:50,2,47
14:50,3,7
14:50,4,46
14:50,5,1
14:55,1,689
14:55,2,422
14:55,3,80
14:55,4,491
14:55,5,5
15:00,1,671
15:00,2,413
15:00,3,79
15:00,4,493
15:00,5,3
15:10,1,71
15:10,2,36
15:10,3,10
15:10,4,55
15:10,5,2
15:30,1,79
15:30,2,36
15:30,3,13
15:30,4,57
15:30,5,3
15:55,1,1
16:00,1,650
16:00,2,392
16:00,3,75
16:00,4,458
16:00,5,3
16:15,1,245
