take_off_time,user_cnt
06:40,9
06:55,13
07:00,10
07:45,20
07:50,19
07:55,61
08:00,128
08:05,34
08:15,5
08:20,53
08:30,62
08:50,11
08:55,44
09:00,115
09:20,5
09:30,46
10:00,76
10:15,28
10:45,9
10:55,53
11:00,97
11:10,1
11:15,65
11:40,11
11:45,57
11:50,26
11:55,106
12:00,86
12:15,65
12:25,10
12:30,20
12:35,11
12:45,1
12:50,18
12:55,37
13:00,108
13:10,47
13:20,1
13:30,51
13:35,21
13:40,2
13:50,6
13:55,28
14:00,95
14:30,67
14:50,7
14:55,80
15:00,79
15:10,10
15:30,13
16:00,75
16:15,30
16:40,43
16:50,8
16:55,41
17:00,90
17:15,2
17:30,39
17:50,14
17:55,37
18:00,48
18:30,1
18:35,17
18:40,43
18:45,11
18:50,11
18:55,103
19:00,88
19:15,25
19:20,52
19:30,1
19:45,13
19:50,7
19:55,26
20:00,1
20:20,1
20:30,15
20:35,13
20:40,1
20:45,96
20:50,9
20:55,153
21:00,93
21:05,1
21:10,52
21:15,34
21:20,50
21:30,24
21:40,3
21:45,14
21:50,17
21:55,39
22:00,12
22:10,31
22:30,45
23:40,1
