take_off_time,user_cnt
06:40,9
06:55,3
07:00,3
07:50,2
07:55,9
08:05,11
08:15,2
08:20,7
08:30,4
08:55,2
09:00,7
09:30,4
10:00,4
10:15,2
10:45,3
10:55,4
11:00,3
11:15,4
11:30,1
11:40,6
11:45,3
11:50,9
11:55,8
12:00,4
12:15,4
12:30,2
12:35,2
12:45,1
12:50,1
12:55,3
13:00,4
13:10,5
13:20,2
13:30,3
13:35,2
13:40,1
14:00,6
14:30,3
14:50,1
14:55,3
15:00,2
15:10,1
15:30,1
16:00,3
16:15,4
16:40,2
16:55,2
17:00,2
17:30,3
17:55,2
18:00,2
18:35,8
18:40,9
18:45,5
18:50,1
18:55,2
19:00,2
19:05,2
19:10,2
19:15,3
19:20,11
19:30,1
19:50,1
19:55,2
20:00,4
20:10,1
20:30,2
20:35,8
20:45,5
20:50,2
20:55,4
21:00,3
21:05,1
21:10,4
21:15,7
21:20,3
21:30,2
21:40,1
21:45,6
21:50,8
21:55,5
22:00,7
22:05,4
22:10,5
22:30,3
