take_off_time,user_category,user_cnt
06:40,1,169
06:40,2,69
06:40,3,20
06:40,4,99
06:40,5,9
06:45,4,1
06:45,5,1
06:55,1,162
06:55,2,85
06:55,3,12
06:55,4,120
06:55,5,3
07:00,1,1053
07:00,2,794
07:00,3,91
07:00,4,777
07:00,5,9
07:45,1,150
07:45,2,98
07:45,3,17
07:45,4,110
07:45,5,1
07:50,1,203
07:50,2,145
07:50,3,14
07:50,4,155
07:50,5,3
07:55,1,708
07:55,2,424
07:55,3,65
07:55,4,514
07:55,5,10
08:00,1,695
08:00,2,572
08:00,3,54
08:00,4,528
08:00,5,4
08:05,1,363
08:05,2,174
08:05,3,30
08:05,4,216
08:05,5,9
08:15,1,88
08:15,2,43
08:15,3,15
08:15,4,53
08:15,5,2
08:20,1,520
08:20,2,335
08:20,3,50
08:20,4,331
08:20,5,5
08:30,1,506
08:30,2,388
08:30,3,38
08:30,4,371
08:30,5,3
08:35,1,8
08:35,2,3
08:35,4,2
08:35,5,1
08:45,1,2
08:45,2,1
08:45,4,2
08:50,1,85
08:50,2,65
08:50,3,10
08:50,4,67
08:55,1,604
08:55,2,385
08:55,3,48
08:55,4,373
08:55,5,3
09:00,1,1050
09:00,2,750
09:00,3,73
09:00,4,743
09:00,5,4
09:20,1,12
09:20,2,3
09:20,3,3
09:20,4,4
09:30,1,375
09:30,2,263
09:30,3,40
09:30,4,262
09:30,5,2
10:00,1,764
10:00,2,514
10:00,3,61
10:00,4,544
10:00,5,9
10:15,1,361
10:15,2,227
10:15,3,19
10:15,4,251
10:15,5,2
10:20,1,9
10:20,2,5
10:20,3,1
10:20,4,4
10:45,1,253
10:45,2,121
10:45,3,25
10:45,4,178
10:45,5,3
10:55,1,746
10:55,2,472
10:55,3,59
10:55,4,467
10:55,5,2
11:00,1,812
11:00,2,553
11:00,3,49
11:00,4,532
11:00,5,3
11:15,1,685
11:15,2,428
11:15,3,76
11:15,4,537
11:15,5,3
11:30,1,16
11:30,2,12
11:30,3,1
11:30,4,14
11:40,1,115
11:40,2,46
11:40,3,12
11:40,4,73
11:40,5,7
11:45,1,701
11:45,2,381
11:45,3,67
11:45,4,485
11:45,5,4
11:50,1,299
11:50,2,175
11:50,3,24
11:50,4,198
11:50,5,8
11:55,1,1207
11:55,2,685
11:55,3,123
11:55,4,803
11:55,5,10
12:00,1,725
12:00,2,476
12:00,3,71
12:00,4,495
12:00,5,2
12:15,1,687
12:15,2,403
12:15,3,77
12:15,4,535
12:15,5,3
12:25,1,45
12:25,2,9
12:25,3,6
12:25,4,23
12:25,5,5
