take_off_time,user_cnt
06:40,9
06:45,1
06:55,3
07:00,9
07:45,1
07:50,3
07:55,10
08:00,4
08:05,9
08:15,2
08:20,5
08:30,3
08:35,1
08:55,3
09:00,4
09:30,2
10:00,9
10:15,2
10:45,3
10:55,2
11:00,3
11:15,3
11:40,7
11:45,4
11:50,8
11:55,10
12:00,2
12:15,3
12:25,5
12:30,3
12:35,2
12:45,1
12:50,3
12:55,4
13:00,2
13:10,3
13:30,2
13:35,3
13:40,2
13:55,2
14:00,3
14:30,2
14:50,1
14:55,1
15:00,4
15:10,1
15:30,1
16:00,3
16:15,2
16:40,2
16:55,1
17:00,4
17:30,1
17:55,1
18:00,2
18:35,7
18:40,11
18:45,6
18:55,6
19:00,4
19:10,3
19:15,2
19:20,11
19:50,1
19:55,2
20:30,3
20:35,6
20:45,4
20:50,1
20:55,4
21:00,3
21:05,2
21:10,3
21:15,5
21:20,6
21:30,4
21:45,6
21:50,9
21:55,6
22:00,3
22:10,2
22:30,3
23:00,1
23:05,1
