take_off_time,user_category,user_cnt
06:40,1,147
06:40,2,64
06:40,3,24
06:40,4,101
06:40,5,10
06:55,1,168
06:55,2,102
06:55,3,21
06:55,4,127
06:55,5,2
07:00,1,877
07:00,2,648
07:00,3,72
07:00,4,631
07:00,5,5
07:45,1,165
07:45,2,111
07:45,3,26
07:45,4,138
07:45,5,1
07:50,1,220
07:50,2,178
07:50,3,25
07:50,4,158
07:50,5,2
07:55,1,695
07:55,2,484
07:55,3,65
07:55,4,495
07:55,5,7
08:00,1,632
08:00,2,524
08:00,3,38
08:00,4,477
08:00,5,7
08:05,1,349
08:05,2,151
08:05,3,36
08:05,4,202
08:05,5,12
08:15,1,93
08:15,2,64
08:15,3,10
08:15,4,78
08:15,5,3
08:20,1,505
08:20,2,367
08:20,3,45
08:20,4,383
08:20,5,5
08:30,1,476
08:30,2,358
08:30,3,35
08:30,4,345
08:30,5,3
08:35,1,9
08:35,2,4
08:35,3,1
08:35,4,1
08:50,1,127
08:50,2,89
08:50,3,12
08:50,4,96
08:55,1,694
08:55,2,464
08:55,3,65
08:55,4,450
08:55,5,4
09:00,1,947
09:00,2,693
09:00,3,52
09:00,4,667
09:00,5,5
09:20,1,18
09:20,2,5
09:20,3,2
09:20,4,5
09:30,1,364
09:30,2,290
09:30,3,30
09:30,4,258
09:30,5,2
10:00,1,703
10:00,2,492
10:00,3,40
10:00,4,485
10:00,5,6
10:15,1,310
10:15,2,219
10:15,3,26
10:15,4,221
10:15,5,2
10:25,1,2
10:25,2,3
10:25,4,4
10:45,1,253
10:45,2,163
10:45,3,22
10:45,4,214
10:45,5,4
10:55,1,829
10:55,2,523
10:55,3,88
10:55,4,561
10:55,5,6
11:00,1,723
11:00,2,519
11:00,3,62
11:00,4,517
11:00,5,4
11:15,1,675
11:15,2,422
11:15,3,78
11:15,4,499
11:15,5,4
11:30,1,3
11:40,1,122
11:40,2,50
11:40,3,12
11:40,4,65
11:40,5,5
11:45,1,758
11:45,2,459
11:45,3,69
11:45,4,547
11:45,5,3
11:50,1,291
11:50,2,200
11:50,3,15
11:50,4,218
11:50,5,9
11:55,1,1174
11:55,2,644
11:55,3,130
11:55,4,793
11:55,5,7
12:00,1,638
12:00,2,440
12:00,3,60
12:00,4,496
12:00,5,4
12:15,1,613
12:15,2,307
12:15,3,69
12:15,4,449
12:15,5,3
12:25,1,28
12:25,2,9
12:25,3,3
12:25,4,16
12:25,5,3
12:30,1,144
12:30,2,56
12:30,3,13
12:30,4,96
12:30,5,1
12:35,1,177
12:35,2,115
12:35,3,16
12:35,4,130
12:35,5,1
12:45,1,40
12:45,2,34
12:45,3,6
12:45,4,37
12:45,5,4
12:50,1,248
12:50,2,156
12:50,3,27
12:50,4,181
12:50,5,4
12:55,1,666
12:55,2,384
12:55,3,76
12:55,4,444
12:55,5,3
13:00,1,734
13:00,2,526
13:00,3,71
13:00,4,554
13:00,5,4
13:10,1,354
13:10,2,211
13:10,3,37
13:10,4,250
13:10,5,2
13:15,1,5
13:15,2,4
13:15,3,2
13:15,4,7
13:15,5,1
13:20,1,7
13:20,2,3
13:20,3,1
13:20,4,5
13:30,1,464
13:30,2,295
13:30,3,42
13:30,4,321
13:30,5,3
13:35,1,151
13:35,2,73
13:35,3,27
13:35,4,100
13:35,5,4
13:40,1,10
13:40,2,3
13:40,3,2
13:40,4,4
13:40,5,1
13:50,1,101
13:50,2,68
13:50,3,12
13:50,4,82
13:55,1,117
13:55,2,83
13:55,3,12
13:55,4,92
13:55,5,1
14:00,1,625
14:00,2,451
14:00,3,65
14:00,4,454
14:00,5,3
14:20,1,1
14:20,2,4
14:20,4,4
14:25,1,4
14:25,4,1
14:30,1,559
14:30,2,343
14:30,3,60
14:30,4,387
14:30,5,6
14:50,1,99
14:50,2,70
14:50,3,11
14:50,4,79
14:50,5,1
14:55,1,687
14:55,2,486
14:55,3,68
14:55,4,502
14:55,5,3
15:00,1,673
15:00,2,519
15:00,3,70
15:00,4,525
15:00,5,2
15:10,1,54
15:10,2,42
15:10,3,3
15:10,4,35
