take_off_time,user_cnt
06:40,64
06:55,102
07:00,648
07:45,111
07:50,178
07:55,484
08:00,524
08:05,151
08:15,64
08:20,367
08:30,358
08:35,4
08:50,89
08:55,464
09:00,693
09:20,5
09:30,290
10:00,492
10:15,219
10:25,3
10:45,163
10:55,523
11:00,519
11:15,422
11:40,50
11:45,459
11:50,200
11:55,644
12:00,440
12:15,307
12:25,9
12:30,56
12:35,115
12:45,34
12:50,156
12:55,384
13:00,526
13:10,211
13:15,4
13:20,3
13:30,295
13:35,73
13:40,3
13:50,68
13:55,83
14:00,451
14:20,4
14:30,343
14:50,70
14:55,486
15:00,519
15:10,42
15:30,30
16:00,546
16:15,158
16:40,209
16:50,72
16:55,351
17:00,490
17:30,206
17:50,79
17:55,358
18:00,473
18:35,61
18:40,245
18:45,58
18:50,62
18:55,469
19:00,426
19:10,382
19:15,99
19:20,160
19:30,5
19:35,92
19:45,194
19:50,55
19:55,277
20:00,10
20:30,81
20:35,13
20:40,2
20:45,626
20:50,72
20:55,914
21:00,618
21:05,7
21:10,308
21:15,236
21:20,247
21:30,125
21:45,43
21:50,56
21:55,432
22:00,76
22:10,96
22:20,2
22:30,211
23:00,1
23:40,5
