take_off_time,user_cnt
06:40,68
06:55,112
07:00,755
07:45,116
07:50,144
07:55,530
08:00,520
08:05,180
08:15,72
08:20,299
08:30,420
08:35,2
08:50,91
08:55,398
09:00,763
09:10,3
09:20,6
09:30,310
09:50,9
10:00,519
10:15,221
10:45,163
10:50,4
10:55,560
11:00,585
11:15,539
11:40,67
11:45,395
11:50,211
11:55,783
12:00,469
12:15,357
12:20,11
12:30,58
12:35,136
12:45,19
12:50,132
12:55,366
13:00,521
13:10,250
13:30,237
13:35,85
13:40,6
13:50,65
13:55,278
14:00,475
14:10,4
14:25,1
14:30,360
14:50,59
14:55,496
15:00,473
15:10,38
15:25,4
15:30,42
16:00,536
16:15,179
16:25,3
16:30,2
16:40,217
16:50,52
16:55,328
17:00,584
17:30,329
17:50,63
17:55,303
18:00,453
18:25,2
18:30,27
18:35,74
18:40,234
18:45,60
18:50,47
18:55,290
19:00,447
19:05,72
19:10,570
19:15,110
19:20,204
19:40,1
19:50,61
19:55,297
20:00,475
20:10,2
20:30,91
20:35,37
20:40,3
20:45,623
20:50,71
20:55,812
21:00,499
21:10,306
21:15,256
21:20,184
21:30,154
21:45,44
21:50,54
21:55,493
22:00,58
22:05,217
22:10,296
22:30,228
23:20,1
