take_off_time,user_cnt
06:40,382
06:55,532
07:00,2996
07:45,575
07:50,934
07:55,2644
08:00,2885
08:05,908
08:15,351
08:20,1920
08:30,2297
08:35,27
08:45,1
08:50,466
08:55,2232
09:00,4122
09:10,5
09:20,35
09:30,1656
09:50,11
10:00,3030
10:10,5
10:15,1363
10:20,12
10:25,3
10:30,1
10:45,739
10:50,4
10:55,2999
11:00,3234
11:10,1
11:15,2719
11:30,13
11:40,343
11:45,2579
11:50,1068
11:55,4035
12:00,2873
12:10,90
12:15,2252
12:20,13
12:25,34
12:30,529
12:35,781
12:40,1
12:45,162
12:50,805
12:55,2068
13:00,3296
13:10,1422
13:15,6
13:20,5
13:30,1619
13:35,505
13:40,44
13:45,1
13:50,327
13:55,1068
14:00,3023
14:10,4
14:20,4
14:25,3
14:30,2322
14:50,424
14:55,2946
15:00,3111
15:10,301
15:20,9
15:25,13
15:30,255
15:40,2
15:45,6
15:55,7
16:00,3190
16:10,5
16:15,1016
16:25,3
16:30,2
16:40,1349
16:45,1
16:50,387
16:55,2009
17:00,3225
17:30,1661
17:40,13
17:45,1
17:50,424
17:55,1950
18:00,2610
18:15,5
18:20,4
18:25,6
18:30,34
18:35,410
18:40,1461
18:45,383
18:50,386
18:55,2823
19:00,2719
19:05,154
19:10,2048
19:15,739
19:20,1124
19:25,5
19:30,19
19:35,92
19:40,12
19:45,254
19:50,359
19:55,1804
20:00,1656
20:05,8
20:10,9
20:15,1
20:20,22
20:30,581
20:35,195
20:40,106
20:45,3610
20:50,400
20:55,4848
21:00,3144
21:05,25
21:10,1732
21:15,1605
21:20,1474
21:25,2
21:30,971
21:40,13
21:45,334
21:50,402
21:55,2489
22:00,485
22:05,647
22:10,1265
22:15,11
22:20,2
22:25,2
22:30,1411
22:40,3
22:50,2
23:00,22
23:05,13
23:15,2
23:20,1
23:25,7
23:30,9
23:40,5
23:50,8
23:55,2
