take_off_time,order_cnt
06:40,895
06:45,2
06:55,745
07:00,5715
07:45,748
07:50,994
07:55,3715
08:00,4492
08:05,1866
08:15,524
08:20,2499
08:30,3171
08:35,74
08:50,527
08:55,2910
09:00,6250
09:20,112
09:30,2307
09:50,2
10:00,4506
10:15,1525
10:30,3
10:45,1002
10:55,4025
11:00,4418
11:15,3284
11:30,4
11:40,637
11:45,3372
11:50,1183
11:55,5428
12:00,4319
12:10,5
12:15,2782
12:20,1
12:30,904
12:35,996
12:45,187
12:50,970
12:55,2601
13:00,4749
13:10,2155
13:15,9
13:20,27
13:30,2335
13:35,788
13:40,264
13:50,578
13:55,595
14:00,4607
14:10,7
14:25,11
14:30,3728
14:50,676
14:55,4744
15:00,4558
15:10,442
15:30,479
15:55,34
16:00,4978
16:10,29
16:15,1311
16:40,2394
16:50,654
16:55,3233
17:00,4922
17:30,3143
17:40,12
17:50,737
17:55,3243
18:00,5621
18:05,1
18:30,29
18:35,871
18:40,3201
18:45,819
18:50,759
18:55,3341
19:00,4812
19:10,4375
19:15,893
19:20,3670
19:30,26
19:50,645
19:55,3082
20:00,4804
20:05,37
20:20,98
20:30,929
20:35,695
20:40,50
20:45,4853
20:50,444
20:55,6780
21:00,4279
21:10,2092
21:15,2471
21:20,2503
21:25,19
21:30,1374
21:45,700
21:50,1162
21:55,3671
22:00,816
22:05,2237
22:10,3486
22:15,66
22:25,8
22:30,2141
22:40,4
22:50,18
22:55,12
23:00,150
23:25,51
23:30,14
23:50,36
23:55,23
