take_off_time,order_cnt
06:40,959
06:45,1
06:55,829
07:00,5329
07:45,1057
07:50,1490
07:55,4494
08:00,4445
08:05,2160
08:15,434
08:20,2607
08:30,3213
08:35,76
08:50,903
08:55,4129
09:00,6846
09:20,82
09:30,2524
10:00,4780
10:15,1532
10:20,25
10:30,1
10:45,296
10:55,4967
11:00,4294
11:15,3160
11:30,3
11:40,579
11:45,3401
11:50,1446
11:55,5866
12:00,3177
12:10,811
12:15,2638
12:20,12
12:30,799
12:35,1012
12:40,6
12:45,247
12:50,1182
12:55,3249
13:00,3227
13:10,1899
13:15,2
13:20,50
13:30,1817
13:35,523
13:40,50
13:45,13
13:50,593
13:55,2632
14:00,3376
14:10,3
14:25,8
14:30,2445
14:35,1
14:50,710
14:55,4829
15:00,3600
15:10,325
15:20,36
15:25,43
15:30,319
15:45,51
16:00,3933
16:10,1
16:15,1462
16:40,1986
16:45,7
16:50,738
16:55,3102
17:00,3784
17:30,2317
17:40,46
17:50,708
17:55,3224
18:00,3494
18:10,18
18:15,6
18:25,43
18:30,1
18:35,641
18:40,2270
18:45,689
18:50,665
18:55,5045
19:00,3953
19:10,4171
19:15,985
19:20,2685
19:50,624
19:55,2740
20:00,3643
20:05,5
20:30,711
20:35,582
20:40,939
20:45,4455
20:50,352
20:55,6573
21:00,3657
21:10,1905
21:15,3171
21:20,2245
21:30,1290
21:45,532
21:50,854
21:55,3403
22:00,684
22:10,1140
22:25,8
22:30,1893
22:55,6
23:10,2
23:15,12
23:30,76
