take_off_time,order_cnt
06:40,824
06:45,1
06:55,827
07:00,366
07:45,749
07:50,1166
07:55,3995
08:00,5117
08:05,1866
08:15,232
08:20,2319
08:30,2686
08:35,67
08:50,648
08:55,3096
09:00,6053
09:10,5
09:20,114
09:30,2290
09:50,6
10:00,4015
10:10,25
10:15,1548
10:45,269
10:55,3945
11:00,4119
11:10,8
11:15,2921
11:20,2
11:30,25
11:40,508
11:45,2789
11:50,1215
11:55,5081
12:00,4040
12:10,1
12:15,2462
12:20,2
12:25,326
12:30,588
12:35,673
12:40,1
12:45,115
12:50,813
12:55,2137
13:00,4437
13:10,1911
13:20,16
13:30,2219
13:35,708
13:40,96
13:50,131
13:55,1140
14:00,3597
14:10,7
14:25,8
14:30,2871
14:50,443
14:55,3853
15:00,3376
15:10,333
15:30,446
15:55,12
16:00,3454
16:15,1246
16:40,1884
16:50,364
16:55,2286
17:00,3836
17:15,15
17:30,1794
17:50,364
17:55,1875
18:00,6617
18:15,4
18:30,9
18:35,725
18:40,2210
18:45,638
18:50,386
18:55,4198
19:00,4070
19:15,869
19:20,2733
19:30,18
19:45,770
19:50,264
19:55,1913
20:00,4
20:10,19
20:20,16
20:25,1
20:30,894
20:35,298
20:40,37
20:45,3946
20:50,301
20:55,7193
21:00,3819
21:05,175
21:10,1720
21:15,1885
21:20,2291
21:30,976
21:40,46
21:45,522
21:50,820
21:55,2536
22:00,662
22:05,2
22:10,1004
22:25,1
22:30,1803
22:40,5
23:40,8
