take_off_time,order_cnt
06:40,839
06:45,4
06:55,690
07:00,470
07:45,286
07:50,785
07:55,3393
08:05,2060
08:15,456
08:20,2328
08:30,3604
08:35,83
08:50,543
08:55,2106
09:00,6222
09:20,179
09:30,2142
09:50,7
10:00,4601
10:15,1416
10:45,1103
10:55,3631
11:00,3921
11:15,3325
11:30,3
11:40,531
11:45,3214
11:50,985
11:55,5657
12:00,4020
12:15,3082
12:20,1
12:30,647
12:35,742
12:45,242
12:50,810
12:55,2742
13:00,4222
13:10,1933
13:20,41
13:30,2159
13:35,670
13:40,96
13:50,476
13:55,290
14:00,3836
14:10,5
14:20,12
14:25,16
14:30,3397
14:50,820
14:55,4589
15:00,4033
15:10,393
15:30,454
16:00,4260
16:10,1
16:15,1633
16:20,2
16:25,1
16:40,2209
16:50,637
16:55,3371
17:00,4147
17:30,2764
17:45,21
17:50,712
17:55,3023
18:00,4409
18:20,22
18:35,770
18:40,2842
18:45,766
18:50,738
18:55,3168
19:00,3863
19:05,905
19:10,1043
19:15,1121
19:20,3225
19:30,64
19:40,14
19:45,3
19:50,662
19:55,2781
20:00,3889
20:10,49
20:15,2
20:20,48
20:30,717
20:35,683
20:40,43
20:45,4463
20:50,437
20:55,6259
21:00,3556
21:05,199
21:10,2077
21:15,3080
21:20,2195
21:30,1285
21:40,47
21:45,711
21:50,794
21:55,3666
22:00,764
22:05,2284
22:10,3284
22:20,2
22:25,10
22:30,2019
23:55,12
