take_off_time,order_cnt
06:40,1052
06:45,3
06:55,841
07:00,5856
07:45,755
07:50,1079
07:55,4163
08:00,4670
08:05,2176
08:15,377
08:20,2384
08:30,3553
08:35,23
08:45,4
08:50,645
08:55,3545
09:00,7059
09:20,76
09:30,2611
10:00,4715
10:15,1684
10:20,40
10:45,1006
10:55,4367
11:00,4426
11:15,3107
11:30,81
11:40,560
11:45,3143
11:50,1502
11:55,5913
12:00,3738
12:15,2795
12:20,3
12:25,293
12:30,649
12:35,781
12:40,4
12:45,216
12:50,1020
12:55,3194
13:00,4911
13:10,2019
13:20,14
13:30,2243
13:35,751
13:40,98
13:50,503
13:55,2019
14:00,3762
14:10,10
14:25,19
14:30,3380
14:50,673
14:55,4322
15:00,4241
15:10,385
15:20,1
15:30,378
15:40,38
16:00,4313
16:15,1411
16:40,1892
16:50,617
16:55,3217
17:00,4366
17:30,2392
17:40,10
17:50,638
17:55,2954
18:00,8275
18:35,802
18:40,3030
18:45,723
18:50,663
18:55,5218
19:00,4309
19:05,21
19:10,4116
19:15,918
19:20,3279
19:25,63
19:30,1
19:40,60
19:50,686
19:55,3205
20:00,34
20:20,1
20:30,848
20:35,442
20:40,50
20:45,4851
20:50,462
20:55,8639
21:00,5000
21:05,150
21:10,1966
21:15,2349
21:20,2473
21:30,1328
21:45,559
21:50,998
21:55,3807
22:00,676
22:10,1147
22:15,8
22:25,4
22:30,2082
23:00,7
23:05,99
23:50,25
