take_off_time,order_cnt
06:40,6628
06:45,12
06:55,5575
07:00,29001
07:45,5384
07:50,7789
07:55,28368
08:00,28007
08:05,14426
08:15,3512
08:20,22697
08:30,23499
08:35,395
08:45,4
08:50,5016
08:55,25112
09:00,47188
09:10,11
09:15,1
09:20,757
09:30,17231
09:50,58
09:55,1
10:00,32455
10:10,25
10:15,10906
10:20,68
10:25,10
10:30,4
10:45,5857
10:50,22
10:55,30134
11:00,29897
11:10,8
11:15,22093
11:20,2
11:30,137
11:40,3959
11:45,22312
11:50,9420
11:55,40044
12:00,26688
12:10,823
12:15,19064
12:20,102
12:25,849
12:30,4856
12:35,5862
12:40,11
12:45,1398
12:50,7201
12:55,20782
13:00,30495
13:10,13898
13:15,31
13:20,207
13:30,14947
13:35,4901
13:40,914
13:45,13
13:50,3501
13:55,9496
14:00,26782
14:10,71
14:20,18
14:25,84
14:30,22320
14:35,1
14:50,4699
14:55,31546
15:00,27863
15:10,2567
15:20,37
15:25,74
15:30,2864
15:40,39
15:45,51
15:55,49
16:00,29710
16:10,31
16:15,10187
16:20,2
16:25,22
16:30,16
16:40,14493
16:45,7
16:50,4751
16:55,21549
17:00,29632
17:15,15
17:30,17771
17:40,72
17:45,21
17:50,4608
17:55,20655
18:00,36692
18:05,1
18:10,18
18:15,10
18:20,22
18:25,86
18:30,212
18:35,5362
18:40,19996
18:45,5173
18:50,4543
18:55,29640
19:00,29646
19:05,1735
19:10,22496
19:15,7053
19:20,21831
19:25,63
19:30,149
19:35,785
19:40,80
19:45,2451
19:50,4334
19:55,20346
20:00,16328
20:05,42
20:10,108
20:15,2
20:20,166
20:25,1
20:30,5676
20:35,3787
20:40,1192
20:45,31533
20:50,2835
20:55,51941
21:00,28804
21:05,736
21:10,13729
21:15,17832
21:20,16153
21:25,19
21:30,8703
21:40,94
21:45,4077
21:50,6329
21:55,26589
22:00,5193
22:05,6649
22:10,14399
22:15,74
22:20,24
22:25,34
22:30,14362
22:40,9
22:50,18
22:55,18
23:00,163
23:05,107
23:10,2
23:15,12
23:20,13
23:25,51
23:30,91
23:40,71
23:50,61
23:55,35
