take_off_time,order_cnt
06:40,982
06:45,1
06:55,817
07:00,5594
07:45,839
07:50,1166
07:55,4101
08:00,4610
08:05,2076
08:15,895
08:20,8139
08:30,3622
08:35,29
08:50,863
08:55,5526
09:00,7544
09:20,99
09:30,2581
10:00,4809
10:15,1609
10:20,3
10:25,10
10:45,1104
10:55,4510
11:00,4188
11:15,2993
11:30,12
11:40,571
11:45,3264
11:50,1436
11:55,5712
12:00,3668
12:15,2682
12:25,230
12:30,637
12:35,742
12:45,210
12:50,1245
12:55,3519
13:00,4792
13:10,1941
13:15,20
13:20,42
13:30,2211
13:35,744
13:40,213
13:50,592
13:55,565
14:00,3715
14:10,6
14:20,6
14:25,16
14:30,3164
14:50,698
14:55,4595
15:00,3977
15:10,328
15:30,349
15:55,3
16:00,4455
16:15,1565
16:30,3
16:40,1994
16:50,1101
16:55,3254
17:00,4185
17:30,2499
17:50,742
17:55,3672
18:00,3868
18:35,758
18:40,3692
18:45,754
18:50,694
18:55,5778
19:00,4602
19:10,3610
19:15,1348
19:20,3141
19:30,40
19:35,785
19:45,1678
19:50,805
19:55,3765
20:00,59
20:30,900
20:35,403
20:40,44
20:45,4760
20:50,450
20:55,9848
21:00,4774
21:05,212
21:10,2036
21:15,2329
21:20,2276
21:30,1180
21:45,573
21:50,779
21:55,5458
22:00,1051
22:10,1293
22:20,22
22:30,2492
23:00,6
23:30,1
23:40,63
