take_off_time,order_cnt
06:40,1077
06:55,826
07:00,5671
07:45,950
07:50,1109
07:55,4507
08:00,4673
08:05,2222
08:15,594
08:20,2422
08:30,3650
08:35,43
08:50,887
08:55,3800
09:00,7214
09:10,6
09:15,1
09:20,95
09:30,2776
09:50,43
09:55,1
10:00,5029
10:15,1592
10:45,1077
10:50,22
10:55,4689
11:00,4531
11:15,3303
11:30,9
11:40,573
11:45,3129
11:50,1653
11:55,6387
12:00,3726
12:10,6
12:15,2623
12:20,83
12:30,632
12:35,916
12:45,181
12:50,1161
12:55,3340
13:00,4157
13:10,2040
13:20,17
13:30,1963
13:35,717
13:40,97
13:50,628
13:55,2255
14:00,3889
14:10,33
14:25,6
14:30,3335
14:50,679
14:55,4614
15:00,4078
15:10,361
15:25,31
15:30,439
15:40,1
16:00,4317
16:15,1559
16:25,21
16:30,13
16:40,2134
16:50,640
16:55,3086
17:00,4392
17:30,2862
17:40,4
17:50,707
17:55,2664
18:00,4408
18:25,43
18:30,173
18:35,795
18:40,2751
18:45,784
18:50,638
18:55,2892
19:00,4037
19:05,809
19:10,5181
19:15,919
19:20,3098
19:40,6
19:50,648
19:55,2860
20:00,3895
20:10,40
20:20,3
20:30,677
20:35,684
20:40,29
20:45,4205
20:50,389
20:55,6649
21:00,3719
21:10,1933
21:15,2547
21:20,2170
21:30,1270
21:40,1
21:45,480
21:50,922
21:55,4048
22:00,540
22:05,2126
22:10,3045
22:25,3
22:30,1932
23:05,8
23:20,13
