search_date,flt_date,search_time
2017-11-01,2017-11-01,183
2017-11-01,2017-11-02,708
2017-11-01,2017-11-03,225
2017-11-01,2017-11-04,164
2017-11-01,2017-11-05,150
2017-11-01,2017-11-06,131
2017-11-01,2017-11-07,616
2017-11-01,2017-11-08,246
2017-11-01,2017-11-09,163
2017-11-01,2017-11-10,166
2017-11-01,2017-11-11,218
2017-11-01,2017-11-12,213
2017-11-01,2017-11-13,123
2017-11-01,2017-11-14,153
2017-11-01,2017-11-15,286
2017-11-01,2017-11-16,138
2017-11-01,2017-11-17,236
2017-11-01,2017-11-18,101
2017-11-01,2017-11-19,122
2017-11-01,2017-11-20,121
2017-11-01,2017-11-21,112
2017-11-01,2017-11-22,130
2017-11-01,2017-11-23,116
2017-11-01,2017-11-24,113
2017-11-01,2017-11-25,94
2017-11-01,2017-11-26,73
2017-11-01,2017-11-27,88
2017-11-01,2017-11-28,91
2017-11-01,2017-11-29,114
2017-11-01,2017-11-30,150
2017-11-01,2017-12-01,144
2017-11-01,2017-12-02,103
2017-11-01,2017-12-03,72
2017-11-01,2017-12-04,111
2017-11-01,2017-12-05,84
2017-11-01,2017-12-06,48
2017-11-01,2017-12-07,54
2017-11-01,2017-12-08,65
2017-11-01,2017-12-09,80
2017-11-01,2017-12-10,93
2017-11-01,2017-12-11,42
2017-11-01,2017-12-12,64
2017-11-01,2017-12-13,78
2017-11-01,2017-12-14,79
2017-11-01,2017-12-15,105
2017-11-01,2017-12-16,89
2017-11-01,2017-12-17,135
2017-11-01,2017-12-18,118
2017-11-01,2017-12-19,59
2017-11-01,2017-12-20,88
2017-11-01,2017-12-21,96
2017-11-01,2017-12-22,120
2017-11-01,2017-12-23,115
2017-11-01,2017-12-24,55
2017-11-01,2017-12-25,38
2017-11-01,2017-12-26,100
2017-11-01,2017-12-27,61
2017-11-01,2017-12-28,69
2017-11-01,2017-12-29,75
2017-11-01,2017-12-30,99
2017-11-01,2017-12-31,52
2017-11-01,2018-01-01,46
2017-11-01,2018-01-02,46
2017-11-01,2018-01-03,55
2017-11-01,2018-01-04,29
2017-11-01,2018-01-05,65
2017-11-01,2018-01-06,62
2017-11-01,2018-01-07,82
2017-11-01,2018-01-08,50
2017-11-01,2018-01-09,46
2017-11-01,2018-01-10,35
2017-11-01,2018-01-11,36
2017-11-01,2018-01-12,24
2017-11-01,2018-01-13,26
2017-11-01,2018-01-14,29
2017-11-01,2018-01-15,33
2017-11-01,2018-01-16,21
2017-11-01,2018-01-17,22
2017-11-01,2018-01-18,39
2017-11-01,2018-01-19,33
2017-11-01,2018-01-20,33
2017-11-01,2018-01-21,27
2017-11-01,2018-01-22,28
2017-11-01,2018-01-23,31
2017-11-01,2018-01-24,48
2017-11-01,2018-01-25,37
2017-11-01,2018-01-26,70
2017-11-01,2018-01-27,71
2017-11-01,2018-01-28,22
2017-11-01,2018-01-29,108
2017-11-01,2018-01-30,48
2017-11-01,2018-01-31,50
2017-11-01,2018-02-01,85
2017-11-01,2018-02-02,63
2017-11-01,2018-02-03,103
2017-11-01,2018-02-04,103
