search_date,flt_date,search_time
2017-10-01,2017-10-01,569
2017-10-01,2017-10-02,797
2017-10-01,2017-10-03,296
2017-10-01,2017-10-04,222
2017-10-01,2017-10-05,165
2017-10-01,2017-10-06,122
2017-10-01,2017-10-07,273
2017-10-01,2017-10-08,300
2017-10-01,2017-10-09,129
2017-10-01,2017-10-10,176
2017-10-01,2017-10-11,72
2017-10-01,2017-10-12,113
2017-10-01,2017-10-13,71
2017-10-01,2017-10-14,51
2017-10-01,2017-10-15,73
2017-10-01,2017-10-16,78
2017-10-01,2017-10-17,45
2017-10-01,2017-10-18,107
2017-10-01,2017-10-19,88
2017-10-01,2017-10-20,56
2017-10-01,2017-10-21,36
2017-10-01,2017-10-22,36
2017-10-01,2017-10-23,23
2017-10-01,2017-10-24,51
2017-10-01,2017-10-25,67
2017-10-01,2017-10-26,66
2017-10-01,2017-10-27,54
2017-10-01,2017-10-28,45
2017-10-01,2017-10-29,76
2017-10-01,2017-10-30,76
2017-10-01,2017-10-31,73
2017-10-01,2017-11-01,144
2017-10-01,2017-11-02,56
2017-10-01,2017-11-03,64
2017-10-01,2017-11-04,47
2017-10-01,2017-11-05,18
2017-10-01,2017-11-06,47
2017-10-01,2017-11-07,27
2017-10-01,2017-11-08,31
2017-10-01,2017-11-09,29
2017-10-01,2017-11-10,38
2017-10-01,2017-11-11,36
2017-10-01,2017-11-12,20
2017-10-01,2017-11-13,18
2017-10-01,2017-11-14,22
2017-10-01,2017-11-15,37
2017-10-01,2017-11-16,24
2017-10-01,2017-11-17,20
2017-10-01,2017-11-18,31
2017-10-01,2017-11-19,39
2017-10-01,2017-11-20,22
2017-10-01,2017-11-21,39
2017-10-01,2017-11-22,36
2017-10-01,2017-11-23,33
2017-10-01,2017-11-24,37
2017-10-01,2017-11-25,24
2017-10-01,2017-11-26,7
2017-10-01,2017-11-27,17
2017-10-01,2017-11-28,25
2017-10-01,2017-11-29,25
2017-10-01,2017-11-30,27
2017-10-01,2017-12-01,46
2017-10-01,2017-12-02,25
2017-10-01,2017-12-03,20
2017-10-01,2017-12-04,20
2017-10-01,2017-12-05,30
2017-10-01,2017-12-06,9
2017-10-01,2017-12-07,9
2017-10-01,2017-12-08,23
2017-10-01,2017-12-09,29
2017-10-01,2017-12-10,26
2017-10-01,2017-12-11,26
2017-10-01,2017-12-12,13
2017-10-01,2017-12-13,8
2017-10-01,2017-12-14,14
2017-10-01,2017-12-15,34
2017-10-01,2017-12-16,50
2017-10-01,2017-12-17,13
2017-10-01,2017-12-18,21
2017-10-01,2017-12-19,7
2017-10-01,2017-12-20,29
2017-10-01,2017-12-21,51
2017-10-01,2017-12-22,88
2017-10-01,2017-12-23,86
2017-10-01,2017-12-24,36
2017-10-01,2017-12-25,16
2017-10-01,2017-12-26,24
2017-10-01,2017-12-27,14
2017-10-01,2017-12-28,21
2017-10-01,2017-12-29,38
2017-10-01,2017-12-30,22
2017-10-01,2017-12-31,12
2017-10-01,2018-01-01,18
2017-10-01,2018-01-02,24
2017-10-01,2018-01-03,16
2017-10-01,2018-01-04,30
2017-10-01,2018-01-05,32
2017-10-01,2018-01-06,29
2017-10-01,2018-01-07,36
2017-10-01,2018-01-08,15
2017-10-01,2018-01-09,14
2017-10-01,2018-01-10,17
2017-10-01,2018-01-11,38
2017-10-01,2018-01-12,7
2017-10-01,2018-01-13,25
2017-10-01,2018-01-14,16
2017-10-01,2018-01-15,7
2017-10-01,2018-01-16,3
2017-10-01,2018-01-17,15
2017-10-01,2018-01-18,19
2017-10-01,2018-01-19,12
2017-10-01,2018-01-20,21
2017-10-01,2018-01-21,12
2017-10-01,2018-01-22,2
2017-10-01,2018-01-23,12
2017-10-01,2018-01-24,13
2017-10-01,2018-01-25,23
2017-10-01,2018-01-26,37
2017-10-01,2018-01-27,50
2017-10-01,2018-01-28,19
2017-10-01,2018-01-29,17
2017-10-01,2018-01-30,18
2017-10-01,2018-01-31,22
2017-10-01,2018-02-01,47
2017-10-01,2018-02-02,39
2017-10-01,2018-02-03,53
2017-10-01,2018-02-04,37
2017-10-01,2018-02-05,33
2017-10-01,2018-02-06,20
2017-10-01,2018-02-07,46
2017-10-01,2018-02-08,78
2017-10-01,2018-02-09,82
2017-10-01,2018-02-10,95
2017-10-01,2018-02-11,39
2017-10-01,2018-02-12,52
2017-10-01,2018-02-13,55
2017-10-01,2018-02-14,174
2017-10-01,2018-02-15,44
2017-10-01,2018-02-16,53
2017-10-01,2018-02-17,67
2017-10-01,2018-02-18,53
2017-10-01,2018-02-19,13
2017-10-01,2018-02-20,2
2017-10-01,2018-02-21,4
2017-10-01,2018-02-22,11
2017-10-01,2018-02-23,9
2017-10-01,2018-02-24,5
2017-10-01,2018-02-25,3
2017-10-01,2018-02-26,3
2017-10-01,2018-02-27,1
2017-10-01,2018-02-28,5
2017-10-01,2018-03-01,7
2017-10-01,2018-03-02,5
2017-10-01,2018-03-03,10
2017-10-01,2018-03-05,1
2017-10-01,2018-03-06,3
2017-10-01,2018-03-07,5
2017-10-01,2018-03-08,3
2017-10-01,2018-03-09,3
2017-10-01,2018-03-10,12
2017-10-01,2018-03-12,11
2017-10-01,2018-03-13,3
2017-10-01,2018-03-14,3
2017-10-01,2018-03-15,2
2017-10-01,2018-03-16,1
2017-10-01,2018-03-17,1
2017-10-01,2018-03-18,3
2017-10-01,2018-03-19,1
2017-10-01,2018-03-20,2
2017-10-01,2018-03-21,2
2017-10-01,2018-03-22,1
2017-10-01,2018-03-23,1
2017-10-01,2018-03-24,4
2017-10-01,2018-03-25,1
2017-10-01,2018-03-27,1
2017-10-01,2018-03-29,4
