final_pca,user_cnt
-1,1244818
0,158
1,18
2,41
3,28
4,41
5,58
6,75
7,80
8,121
9,144
10,191
11,242
12,257
13,313
14,446
15,511
16,689
17,826
18,991
19,1260
20,1742
21,2194
22,2804
23,3865
24,4818
25,6115
26,7364
27,8991
28,10518
29,12312
30,13344
31,14194
32,15533
33,16636
34,17200
35,17807
36,18817
37,19459
38,20165
39,20687
40,21104
41,21227
42,21259
43,20855
44,21233
45,21017
46,20953
47,20720
48,20033
49,20257
50,19786
51,19168
52,19166
53,18689
54,18421
55,18323
56,17813
57,17385
58,17098
59,16802
60,16266
61,15864
62,15717
63,15278
64,15189
65,14729
66,14387
67,14015
68,13642
69,13358
70,13193
71,12770
72,12663
73,11983
74,11876
75,11705
76,11214
77,11089
78,11138
79,10758
80,10470
81,10353
82,10160
83,9928
84,9873
85,10044
86,9734
87,9260
88,9371
89,8344
90,8913
91,8411
92,8252
93,6648
94,6167
95,5308
96,5024
97,6641
98,2450
99,2668
100,9651

