order_last_one_year,user_cnt
0,1176970
1,198584
2,213632
3,105001
4,108704
5,65383
6,59806
7,42415
8,38502
9,29519
10,26368
11,21617
12,19491
13,16737
14,14778
15,12926
16,11880
17,10243
18,9325
19,8307
20,7761
21,6848
22,6357
23,5829
24,5380
25,5060
26,4416
27,4106
28,3984
29,3655
30,3476
31,3180
32,2890
33,2747
34,2641
35,2367
36,2246
37,2155
38,1962
39,1921
40,1785
41,1722
42,1596
43,1482
44,1397
45,1278
46,1322
47,1162
48,1159
49,1101
50,1013
51,983
52,916
53,881
54,831
55,773
56,745
57,746
58,615
59,617
60,642
61,619
62,574
63,505
64,564
65,500
66,496
67,447
68,446
69,397
70,402
71,386
72,337
73,298
74,318
75,351
76,349
77,305
78,294
79,285
80,257
81,267
82,243
83,255
84,260
85,224
86,228
87,181
88,201
89,202
90,193
91,187
92,173
93,177
94,157
95,163
96,148
97,182
98,167
99,154
100,120
101,150
102,145
103,142
104,122
105,126
106,118
107,92
108,109
109,93
110,102
111,90
112,93
113,84
114,85
115,103
116,87
117,78
118,92
119,71
120,65
121,60
122,68
123,82
124,74
125,82
126,63
127,69
128,74
129,58
130,67
131,70
132,54
133,55
134,55
135,69
136,47
137,54
138,52
139,55
140,66
141,58
142,49
143,39
144,37
145,39
146,44
147,48
148,42
149,51
150,56
151,40
152,31
153,35
154,26
155,42
156,36
157,36
158,36
159,26
160,27
161,33
162,34
163,35
164,35
165,23
166,33
167,27
168,28
169,26
170,29
171,32
172,23
173,16
174,34
175,25
176,14
177,30
178,28
179,18
180,22
181,18
182,23
183,29
184,26
185,29
186,14
187,14
188,23
189,27
190,26
191,23
192,22
193,15
194,17
195,17
196,15
197,20
198,26
199,24
200,19
201,20
202,13
203,17
204,21
205,23
206,17
207,12
208,17
209,12
210,13
211,11
212,16
213,16
214,16
215,22
216,21
217,24
218,15
219,16
220,16
221,14
222,21
223,13
224,9
225,13
226,20
227,20
228,16
229,17
230,18
231,10
232,9
233,17
234,13
235,10
236,9
237,9
238,8
239,17
240,20
241,15
242,7
243,10
244,16
245,9
246,11
247,14
248,11
249,11
250,10
251,16
252,14
253,5
254,9
255,13
256,11
257,7
258,8
259,12
260,7
261,10
262,8
263,11
264,9
265,8
266,9
267,4
268,6
269,12
270,3
271,7
272,14
273,10
274,9
275,11
276,9
277,8
278,10
279,7
280,12
281,7
282,7
283,4
284,8
285,8
286,6
287,9
288,11
289,16
290,7
291,11
292,2
293,7
294,9
295,6
296,9
297,3
298,5
299,7
300,11
301,5
302,3
303,8
304,7
305,9
306,9
307,5
308,6
309,10
310,3
311,4
312,5
313,7
314,9
315,9
316,8
317,6
318,5
319,2
320,3
321,3
322,8
323,4
324,6
325,14
326,7
327,6
328,8
329,7
330,5
331,4
332,2
333,3
334,4
335,5
336,8
337,8
338,7
339,8
340,2
341,4
342,3
343,3
344,3
345,5
346,5
347,4
348,4
349,8
350,5
351,5
352,5
353,8
354,6
355,7
356,5
357,4
358,4
359,2
360,4
361,1
362,3
363,3
364,3
365,4
366,5
367,2
368,3
369,2
370,4
371,2
372,4
373,3
374,6
375,5
376,4
377,1
378,2
379,1
380,7
381,7
382,2
383,3
384,7
385,1
386,2
387,2
388,3
389,4
390,3
391,6
392,6
393,5
394,2
395,3
396,3
397,1
398,7
399,4
400,2
401,3
402,3
403,4
404,2
405,5
406,2
407,1
408,1
409,1
410,5
411,3
413,2
414,1
416,2
418,3
419,1
420,7
421,1
422,2
423,3
424,7
425,3
426,6
427,3
428,2
429,5
430,1
432,5
433,2
434,7
435,2
436,8
437,3
438,4
439,4
440,1
441,2
442,4
443,5
444,6
445,2
446,2
448,3
449,3
450,2
451,5
452,5
453,3
454,4
455,1
456,2
457,6
458,3
459,3
460,1
461,5
462,4
463,2
464,5
465,5
466,8
467,8
468,2
469,5
470,4
471,3
472,1
473,3
474,5
475,6
476,5
477,6
478,3
479,1
480,5
481,3
482,6
483,2
484,2
486,3
487,3
488,2
489,3
490,5
491,4
492,5
493,6
494,3
495,1
496,3
497,3
498,1
499,1
500,3
501,2
502,3
503,3
504,5
505,2
506,1
507,5
508,3
509,1
510,5
512,1
513,3
514,3
515,1
516,2
517,1
518,1
519,1
522,2
523,2
524,1
525,2
527,4
528,1
529,1
530,3
531,1
532,2
533,2
534,2
535,1
536,1
537,1
539,1
540,1
541,4
542,1
543,1
546,1
547,1
548,1
549,2
550,1
552,3
554,2
555,1
557,2
561,4
562,2
563,2
564,1
565,2
566,2
567,2
568,3
569,1
571,2
572,1
573,2
574,2
575,2
576,1
579,1
580,1
581,3
584,1
585,2
586,3
587,1
588,1
590,2
592,1
593,2
595,1
597,1
598,2
599,1
601,1
602,2
603,2
606,3
607,3
608,1
610,2
612,2
613,2
614,3
615,1
616,3
617,1
619,1
620,2
621,1
622,2
623,3
626,1
630,2
631,2
632,1
633,1
635,1
636,2
638,1
640,2
642,5
643,3
650,2
651,3
652,2
656,1
657,1
660,2
661,2
662,1
663,1
664,1
665,1
666,2
667,4
671,1
672,1
673,5
675,2
678,1
679,2
680,1
681,2
682,3
684,1
685,1
687,1
692,2
693,1
695,1
697,3
698,1
699,2
700,1
701,1
702,2
703,1
704,2
705,1
709,2
710,3
711,1
714,1
715,2
717,2
718,1
719,1
720,1
721,3
722,2
723,2
725,1
726,2
732,1
733,3
736,1
737,1
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,2
750,2
753,1
757,1
759,2
763,1
764,2
765,1
767,1
768,2
772,2
774,3
779,1
780,2
781,1
782,1
783,1
785,1
789,4
790,1
793,2
794,2
795,1
796,1
799,3
801,1
809,1
810,1
811,1
812,3
815,1
817,2
821,1
823,1
824,1
827,1
828,1
829,1
830,2
832,1
835,2
839,1
842,1
843,2
847,2
848,1
849,1
850,1
851,1
852,1
857,1
861,1
863,1
867,1
868,2
873,1
875,1
877,1
882,1
884,1
888,1
892,1
894,1
895,1
898,1
899,1
902,1
904,1
907,2
909,1
910,1
912,1
917,1
919,1
920,1
922,1
926,1
930,1
931,2
932,2
934,1
937,2
940,1
941,3
947,1
948,2
952,1
954,1
957,1
958,1
961,1
968,3
969,1
970,2
971,1
975,1
977,2
978,2
984,1
989,1
991,2
992,1
993,1
994,2
999,1
1004,1
1007,1
1011,1
1012,1
1022,1
1028,2
1029,1
1035,1
1044,1
1046,1
1047,1
1048,1
1054,2
1057,1
1060,1
1061,1
1066,1
1067,1
1070,1
1074,1
1084,2
1096,1
1098,1
1099,1
1101,1
1106,1
1117,1
1119,1
1124,1
1126,1
1127,1
1132,1
1140,1
1147,1
1154,1
1158,1
1159,1
1183,1
1184,1
1185,1
1186,1
1196,1
1201,1
1204,1
1206,1
1208,1
1221,1
1229,1
1233,1
1236,1
1241,1
1242,1
1256,1
1261,1
1270,1
1271,1
1277,1
1280,1
1296,2
