Day, Diff, Value
35, -61, 5.000000
49, -128, 5.000000
67, 137, 5.000000
9, 0, 5.000000
36, -110, 5.000000
73, -24, 5.000000
66, 66, 5.000000
52, 17, 5.000000
15, 143, 5.000000
8, 87, -10.000000
23, -132, 5.000000
60, -22, 5.000000
74, -71, 5.000000
65, 11, 5.000000
3, -50, 5.000000
17, -13, 5.000000
47, -44, 5.000000
20, -2, 5.000000
61, -107, 5.000000
75, -134, 5.000000
71, 138, 5.000000
27, -138, 5.000000
13, 13, 5.000000
71, -52, 5.000000
49, -1, 5.000000
32, -115, 5.000000
85, -3, -10.000000
84, 102, -5.000000
70, 81, -5.000000
40, 4, 5.000000
42, -22, 5.000000
12, 90, -10.000000
19, -143, 5.000000
56, -27, 5.000000
86, -92, 5.000000
83, 23, -5.000000
69, 40, 5.000000
15, -37, 5.000000
29, -24, 5.000000
43, -87, 5.000000
80, -67, 5.000000
57, -102, 5.000000
87, -145, 5.000000
59, 127, 5.000000
82, 52, -5.000000
45, 64, 5.000000
1, 58, -10.000000
67, -63, 5.000000
81, -126, 5.000000
72, 113, 5.000000
58, 44, 5.000000
81, 133, 5.000000
44, 15, 5.000000
7, 149, 5.000000
54, -15, 5.000000
0, 109, -10.000000
68, -112, 5.000000
87, 24, -5.000000
11, -28, 5.000000
48, -150, 5.000000
25, -27, 5.000000
55, -94, 5.000000
63, 96, 5.000000
33, 53, 0.000000
56, 146, 5.000000
19, 6, 5.000000
5, 39, -10.000000
79, -54, 5.000000
76, 124, 5.000000
62, 59, 5.000000
50, -60, 5.000000
4, 112, -10.000000
64, -117, 5.000000
89, 104, -5.000000
75, 13, -5.000000
23, -15, 5.000000
60, -131, 5.000000
37, -46, 5.000000
51, -81, 5.000000
88, -93, 5.000000
88, 95, -5.000000
51, 85, 5.000000
37, 42, 5.000000
23, 11, 5.000000
75, -9, 5.000000
89, -108, 5.000000
64, 119, 5.000000
4, -118, 5.000000
50, 54, 5.000000
62, -53, 5.000000
76, -66, 5.000000
79, 54, -5.000000
5, -59, 5.000000
19, -6, 5.000000
56, -144, 5.000000
33, -49, 5.000000
63, -104, 5.000000
55, 94, 5.000000
25, 31, 5.000000
48, 136, 5.000000
11, 28, -10.000000
87, -32, -10.000000
68, 106, 5.000000
0, -107, 5.000000
54, 13, 5.000000
44, -13, 5.000000
81, -129, 5.000000
58, -34, 5.000000
72, -79, 5.000000
81, 114, 5.000000
67, 35, 5.000000
1, -38, 5.000000
45, -68, 5.000000
82, -58, 5.000000
59, -123, 5.000000
57, 106, 5.000000
80, 69, -5.000000
43, 75, 5.000000
29, 20, 5.000000
15, 33, -10.000000
69, -44, 5.000000
83, -19, -10.000000
86, 94, -5.000000
56, 29, 5.000000
19, 147, 5.000000
12, -96, 5.000000
42, 16, 5.000000
40, -2, 5.000000
70, -83, 5.000000
84, -92, 5.000000
85, 15, -5.000000
32, 117, 5.000000
71, 44, -5.000000
13, -17, 5.000000
27, 138, 5.000000
41, -79, 5.000000
71, -138, 5.000000
75, 134, 5.000000
61, 103, 5.000000
47, 52, 5.000000
17, 1, 5.000000
3, 50, -10.000000
65, -55, 5.000000
74, 69, -5.000000
60, 16, 5.000000
8, -85, 5.000000
15, -131, 5.000000
52, -23, 5.000000
66, -72, 5.000000
73, 20, -5.000000
36, 104, 5.000000
9, -4, 5.000000
53, -90, 5.000000
67, -133, 5.000000
49, 124, 5.000000
35, 33, 5.000000
7, 63, -10.000000
77, -2, 5.000000
78, 112, 5.000000
6, -117, 5.000000
48, 3, 5.000000
11, 137, -10.000000
20, -66, 5.000000
48, -44, 5.000000
6, 140, 5.000000
78, -73, 5.000000
77, 25, -5.000000
24, 91, 5.000000
7, -40, 5.000000
21, -23, 5.000000
49, -101, 5.000000
79, -148, 5.000000
53, 65, 5.000000
31, -144, 5.000000
39, 50, 5.000000
36, -129, 5.000000
73, -13, 5.000000
66, 127, 5.000000
2, -98, 5.000000
89, 134, 5.000000
52, 62, 5.000000
16, -63, 5.000000
60, -57, 5.000000
74, -126, 5.000000
88, -131, 5.000000
42, 135, 5.000000
65, 46, 5.000000
28, 86, 5.000000
3, -43, 5.000000
61, -144, 5.000000
41, 86, 5.000000
27, -147, 5.000000
64, 145, 5.000000
27, 7, 5.000000
71, -21, 5.000000
85, -40, -10.000000
84, 67, -5.000000
70, 106, 5.000000
14, -115, 5.000000
40, 41, 5.000000
28, -44, 5.000000
42, -9, 5.000000
56, -54, 5.000000
86, -103, 5.000000
83, 122, 5.000000
46, 114, 5.000000
69, 51, 5.000000
16, 65, -10.000000
15, -58, 5.000000
52, -132, 5.000000
80, -46, 5.000000
57, -131, 5.000000
59, 82, 5.000000
82, 81, -5.000000
45, 91, 5.000000
68, 140, 5.000000
31, 24, 5.000000
67, -28, 5.000000
81, -91, 5.000000
72, 86, -5.000000
58, 9, 5.000000
10, -72, 5.000000
44, 36, 5.000000
24, -41, 5.000000
77, -141, 5.000000
54, -22, 5.000000
68, -67, 5.000000
87, 119, 5.000000
34, 97, 5.000000
20, 60, -10.000000
11, -5, 5.000000
63, 79, 5.000000
21, -130, 5.000000
33, 40, 0.000000
79, -15, 5.000000
76, 89, -5.000000
62, 28, 5.000000
22, -89, 5.000000
36, -30, 5.000000
73, -136, 5.000000
64, -96, 5.000000
89, 19, -10.000000
75, 96, -5.000000
38, 116, 5.000000
8, 39, -10.000000
23, -20, 5.000000
47, 142, 5.000000
88, -56, 5.000000
88, 68, -5.000000
51, 120, 5.000000
17, -125, 5.000000
37, 53, 5.000000
75, -54, 5.000000
89, -65, 5.000000
64, 108, 5.000000
4, -105, 5.000000
50, 19, 5.000000
18, -46, 5.000000
32, -3, 5.000000
85, -147, 5.000000
22, 149, 5.000000
76, -101, 5.000000
79, 93, -5.000000
26, 75, 5.000000
5, -32, 5.000000
12, 42, -10.000000
19, -31, 5.000000
83, 135, 5.000000
55, 117, 5.000000
29, -104, 5.000000
25, 2, 5.000000
87, -33, -10.000000
68, 119, 5.000000
0, -118, 5.000000
54, 38, 5.000000
30, -39, 5.000000
10, 136, -10.000000
72, -106, 5.000000
87, -1, -10.000000
81, 21, -5.000000
67, 70, 5.000000
30, 94, 5.000000
1, -3, 5.000000
0, 29, -10.000000
39, 148, 5.000000
82, -29, 5.000000
87, 136, 5.000000
57, 77, 5.000000
80, 90, -5.000000
43, 110, 5.000000
25, -107, 5.000000
29, 15, 5.000000
55, -46, 5.000000
16, -149, 5.000000
83, -48, 5.000000
86, 51, -5.000000
56, 2, 5.000000
19, 118, -10.000000
12, -67, 5.000000
42, 61, 5.000000
26, -52, 5.000000
84, -127, 5.000000
62, 139, 5.000000
85, 106, -5.000000
32, 106, 5.000000
71, 75, -5.000000
18, 85, -10.000000
13, -54, 5.000000
4, 0, 5.000000
61, 66, 5.000000
47, 19, 5.000000
37, -94, 5.000000
17, 36, -10.000000
51, -33, 5.000000
28, -130, 5.000000
65, -20, 5.000000
74, 46, -5.000000
60, 13, 5.000000
23, 123, 5.000000
8, -80, 5.000000
38, -13, 5.000000
80, -132, 5.000000
50, 134, 5.000000
73, 127, 5.000000
36, 117, 5.000000
22, 32, 5.000000
9, -57, 5.000000
49, 87, 5.000000
35, 4, 5.000000
33, -65, 5.000000
63, -24, 5.000000
24, -143, 5.000000
77, -39, 5.000000
78, 21, -5.000000
25, 143, 5.000000
6, -84, 5.000000
48, 24, 5.000000
11, 108, -10.000000
20, -101, 5.000000
34, -26, 5.000000
77, 116, 5.000000
24, 64, 5.000000
7, -9, 5.000000
44, -125, 5.000000
10, 63, -10.000000
21, -44, 5.000000
49, -130, 5.000000
53, 108, 5.000000
31, -97, 5.000000
76, 131, 5.000000
39, 9, 5.000000
45, -52, 5.000000
59, -11, 5.000000
73, -42, 5.000000
66, 24, 5.000000
29, 132, 5.000000
2, -69, 5.000000
52, 91, 5.000000
15, 81, -10.000000
16, -26, 5.000000
46, -27, 5.000000
74, -145, 5.000000
65, 65, 5.000000
28, 115, 5.000000
3, -8, 5.000000
40, -114, 5.000000
51, 146, 5.000000
14, 10, 5.000000
61, -149, 5.000000
13, -129, 5.000000
41, 121, 5.000000
4, 139, 5.000000
27, -128, 5.000000
27, 58, 5.000000
41, -63, 5.000000
85, -61, 5.000000
84, 40, -5.000000
70, 15, 5.000000
17, 145, 5.000000
14, -74, 5.000000
40, 78, 5.000000
3, 66, -10.000000
28, -15, 5.000000
65, -135, 5.000000
86, -142, 5.000000
83, 97, -5.000000
46, 87, 5.000000
38, -146, 5.000000
69, 94, -5.000000
16, 102, -10.000000
15, -19, 5.000000
52, -103, 5.000000
2, 9, 5.000000
80, -9, 5.000000
59, 73, 5.000000
82, 106, -5.000000
45, 118, 5.000000
39, -75, 5.000000
31, 39, 0.000000
53, -42, 5.000000
81, -72, 5.000000
72, 59, 5.000000
58, 114, 5.000000
21, 110, -10.000000
10, -123, 5.000000
44, 65, 5.000000
7, 79, -10.000000
24, -4, 5.000000
87, 82, -5.000000
34, 90, 5.000000
34, -131, 5.000000
20, 25, 5.000000
11, -34, 5.000000
48, -92, 5.000000
43, 136, 5.000000
6, 28, -10.000000
63, 42, 5.000000
33, 3, 5.000000
35, -74, 5.000000
49, -21, 5.000000
76, 54, -5.000000
62, 97, 5.000000
9, 123, -10.000000
22, -104, 5.000000
36, -49, 5.000000
89, 54, 5.000000
75, 71, -5.000000
38, 73, 5.000000
46, -144, 5.000000
8, 12, 5.000000
23, -53, 5.000000
60, -73, 5.000000
88, -19, -10.000000
88, 105, -5.000000
51, 31, 5.000000
17, -90, 5.000000
37, 16, 5.000000
47, -93, 5.000000
8, -150, 5.000000
61, -32, 5.000000
89, -94, 5.000000
64, 1, 5.000000
4, -68, 5.000000
50, 108, 5.000000
13, 120, -10.000000
18, -17, 5.000000
32, -46, 5.000000
22, 142, 5.000000
79, 120, 5.000000
26, 116, 5.000000
5, -117, 5.000000
42, -121, 5.000000
12, 7, 5.000000
19, -60, 5.000000
56, -70, 5.000000
55, 16, 5.000000
29, -77, 5.000000
25, 37, 5.000000
43, -36, 5.000000
20, -131, 5.000000
57, -19, 5.000000
68, 28, 5.000000
0, -81, 5.000000
54, 91, 5.000000
1, 77, -10.000000
30, -30, 5.000000
10, 149, 5.000000
81, 40, -5.000000
67, 109, 5.000000
30, 99, 5.000000
1, -112, 5.000000
54, -102, 5.000000
0, 50, -10.000000
68, -51, 5.000000
45, -142, 5.000000
82, -4, -10.000000
57, 48, 5.000000
80, 127, 5.000000
43, 5, 5.000000
25, -72, 5.000000
29, 42, 0.000000
55, -55, 5.000000
86, 20, -5.000000
56, 103, 5.000000
19, 93, -10.000000
12, -102, 5.000000
42, 70, 5.000000
5, 82, -10.000000
26, -23, 5.000000
85, 85, -5.000000
32, 79, 5.000000
71, 102, 5.000000
18, 110, -10.000000
13, -91, 5.000000
50, -79, 5.000000
4, 45, -10.000000
64, -48, 5.000000
41, -129, 5.000000
61, 61, 5.000000
84, 130, 5.000000
47, 126, 5.000000
37, -115, 5.000000
17, 63, -10.000000
51, -62, 5.000000
74, 11, 5.000000
37, 133, 5.000000
60, 106, 5.000000
23, 86, 5.000000
8, -107, 5.000000
38, -44, 5.000000
73, 66, 5.000000
36, 82, 5.000000
59, 147, 5.000000
22, 5, 5.000000
9, -86, 5.000000
62, -68, 5.000000
76, -21, 5.000000
53, -148, 5.000000
5, -144, 5.000000
49, 42, 5.000000
72, 149, 5.000000
35, 107, 5.000000
33, -110, 5.000000
63, -9, 5.000000
78, 62, -5.000000
6, -63, 5.000000
48, 125, 5.000000
11, 67, -10.000000
20, -128, 5.000000
34, -61, 5.000000
78, -131, 5.000000
77, 79, -5.000000
24, 101, 5.000000
7, -110, 5.000000
44, -104, 5.000000
63, 140, 5.000000
10, 24, -10.000000
21, -65, 5.000000
58, -85, 5.000000
72, -26, 5.000000
1, -147, 5.000000
53, 23, 5.000000
0, 141, 5.000000
31, -70, 5.000000
39, 100, 5.000000
45, -25, 5.000000
82, -141, 5.000000
59, -24, 5.000000
66, 53, 5.000000
2, -44, 5.000000
52, 64, 5.000000
15, 124, -10.000000
16, -5, 5.000000
69, -113, 5.000000
46, -50, 5.000000
26, -132, 5.000000
65, 100, 5.000000
28, 104, 5.000000
3, -97, 5.000000
40, -109, 5.000000
14, 47, -10.000000
70, -42, 5.000000
84, -15, -10.000000
41, 28, 5.000000
4, 144, 5.000000
27, -89, 5.000000
27, 81, 5.000000
41, -28, 5.000000
84, 21, -5.000000
70, 32, -5.000000
14, -37, 5.000000
40, 83, 5.000000
3, 105, -10.000000
28, -18, 5.000000
65, -100, 5.000000
26, 138, 5.000000
83, 68, -5.000000
46, 56, 5.000000
69, 121, 5.000000
16, 123, -10.000000
15, -120, 5.000000
52, -122, 5.000000
2, 34, -10.000000
66, -59, 5.000000
59, 44, 5.000000
82, 135, 5.000000
45, 17, 5.000000
39, -112, 5.000000
31, 66, 0.000000
53, -15, 5.000000
72, 0, 5.000000
58, 95, 5.000000
21, 73, -10.000000
10, -18, 5.000000
63, -136, 5.000000
44, 94, 5.000000
7, 106, -10.000000
24, -31, 5.000000
77, -87, 5.000000
78, 133, 5.000000
87, 73, -5.000000
34, 55, 0.000000
20, 6, 5.000000
11, -75, 5.000000
48, -71, 5.000000
6, 49, -10.000000
78, -56, 5.000000
63, 49, 5.000000
33, 102, 5.000000
35, -99, 5.000000
12, -132, 5.000000
49, -50, 5.000000
5, 136, 5.000000
76, 19, -5.000000
62, 74, 5.000000
9, 94, -10.000000
22, -3, 5.000000
36, -44, 5.000000
73, -90, 5.000000
18, 148, 5.000000
66, 136, 5.000000
75, 90, -5.000000
38, 34, 5.000000
8, 17, 5.000000
23, -90, 5.000000
60, -84, 5.000000
51, 2, 5.000000
17, -71, 5.000000
37, 123, 5.000000
47, -114, 5.000000
61, -37, 5.000000
41, 137, 5.000000
64, 38, 5.000000
4, -39, 5.000000
50, 73, 5.000000
13, 83, -10.000000
18, -120, 5.000000
71, -106, 5.000000
32, -73, 5.000000
85, -77, 5.000000
79, 103, -5.000000
26, 17, 5.000000
5, -106, 5.000000
42, -96, 5.000000
12, 28, -10.000000
19, -85, 5.000000
56, -97, 5.000000
33, -136, 5.000000
86, -30, -10.000000
55, 15, 5.000000
29, -82, 5.000000
25, 72, 5.000000
43, -13, 5.000000
80, -121, 5.000000
57, -48, 5.000000
45, 134, 5.000000
68, 57, 5.000000
0, -60, 5.000000
54, 124, 5.000000
1, 96, -10.000000
30, -121, 5.000000
67, -101, 5.000000
81, -56, 5.000000
67, 112, 5.000000
30, 4, 5.000000
1, -117, 5.000000
54, -65, 5.000000
0, 87, -10.000000
68, -22, 5.000000
57, 27, 5.000000
20, 137, 5.000000
43, 24, 5.000000
25, -93, 5.000000
29, 69, 5.000000
55, -28, 5.000000
86, 9, -10.000000
56, 76, 5.000000
19, 64, -10.000000
12, -9, 5.000000
42, 99, 5.000000
5, 125, -10.000000
26, -110, 5.000000
79, -116, 5.000000
70, -132, 5.000000
32, 36, 0.000000
71, 125, 5.000000
18, 11, 5.000000
13, -128, 5.000000
50, -118, 5.000000
4, 74, -10.000000
64, -11, 5.000000
61, 24, 5.000000
47, 101, 5.000000
37, -24, 5.000000
17, 82, -10.000000
51, -23, 5.000000
88, -99, 5.000000
88, 25, -5.000000
74, 20, -5.000000
60, 71, 5.000000
23, 77, 5.000000
8, -6, 5.000000
46, 150, 5.000000
38, -87, 5.000000
75, -79, 5.000000
89, -46, -10.000000
66, -149, 5.000000
18, -129, 5.000000
36, 63, 0.000000
22, 126, 5.000000
9, -115, 5.000000
62, -127, 5.000000
76, -64, 5.000000
49, 13, 5.000000
35, 78, 5.000000
33, -11, 5.000000
63, -46, 5.000000
78, 35, -5.000000
6, -38, 5.000000
43, -148, 5.000000
48, 82, 5.000000
11, 38, -10.000000
20, -19, 5.000000
34, -68, 5.000000
87, -86, 5.000000
30, -142, 5.000000
24, 10, 5.000000
7, -87, 5.000000
44, -75, 5.000000
10, 101, -10.000000
21, -102, 5.000000
58, -108, 5.000000
72, -53, 5.000000
53, 50, 5.000000
31, -63, 5.000000
39, 67, 5.000000
45, -126, 5.000000
82, -116, 5.000000
59, -49, 5.000000
80, 15, -5.000000
66, 46, 5.000000
2, -15, 5.000000
55, -135, 5.000000
52, 109, 5.000000
15, 27, -10.000000
16, -112, 5.000000
69, -86, 5.000000
38, 136, 5.000000
46, -77, 5.000000
83, -89, 5.000000
86, 132, 5.000000
28, 5, 5.000000
3, -94, 5.000000
40, -72, 5.000000
14, 80, -10.000000
70, -21, 5.000000
84, -34, -10.000000
41, 39, 5.000000
27, -38, 5.000000
27, 116, 5.000000
4, -141, 5.000000
41, -113, 5.000000
14, -4, 5.000000
51, -142, 5.000000
40, 120, 5.000000
3, 12, 5.000000
28, -117, 5.000000
65, -73, 5.000000
