,order_cnt,predict
2017-08-01,119,200.0
2017-08-02,122,183.0
2017-08-03,120,186.0
2017-08-04,142,223.0
2017-08-05,121,151.0
2017-08-06,90,144.0
2017-08-07,145,210.0
2017-08-08,142,203.0
2017-08-09,165,170.0
2017-08-10,122,145.0
2017-08-11,146,124.0
2017-08-12,94,122.0
2017-08-13,114,102.0
2017-08-14,115,119.0
2017-08-15,138,118.0
2017-08-16,142,114.0
2017-08-17,149,147.0
2017-08-18,119,130.0
2017-08-19,108,100.0
2017-08-20,96,77.0
2017-08-21,150,87.0
2017-08-22,173,158.0
2017-08-23,141,152.0
2017-08-24,138,142.0
2017-08-25,154,132.0
2017-08-26,112,77.0
2017-08-27,84,110.0
2017-08-28,119,115.0
2017-08-29,133,132.0
2017-08-30,127,149.0
2017-08-31,126,128.0
2017-09-01,118,138.0
2017-09-02,117,113.0
2017-09-03,75,91.0
2017-09-04,131,139.0
2017-09-05,155,125.0
2017-09-06,135,138.0
2017-09-07,128,128.0
2017-09-08,103,109.0
2017-09-09,108,83.0
2017-09-10,60,61.0
2017-09-11,107,113.0
2017-09-12,117,117.0
2017-09-13,125,102.0
2017-09-14,115,128.0
2017-09-15,112,109.0
2017-09-16,74,98.0
2017-09-17,72,96.0
2017-09-18,123,124.0
2017-09-19,126,151.0
2017-09-20,101,115.0
2017-09-21,103,106.0
2017-09-22,111,111.0
2017-09-23,54,70.0
2017-09-24,71,62.0
2017-09-25,87,119.0
2017-09-26,116,104.0
2017-09-27,124,77.0
2017-09-28,101,93.0
2017-09-29,92,121.0
2017-09-30,88,89.0
2017-10-01,71,52.0
2017-10-02,62,43.0
2017-10-03,55,36.0
2017-10-04,49,43.0
2017-10-05,54,40.0
2017-10-06,70,41.0
2017-10-07,57,54.0
2017-10-08,67,64.0
2017-10-09,102,110.0
2017-10-10,108,125.0
2017-10-11,105,111.0
2017-10-12,106,125.0
2017-10-13,109,123.0
2017-10-14,74,76.0
2017-10-15,92,75.0
2017-10-16,115,141.0
2017-10-17,107,181.0
2017-10-18,124,184.0
2017-10-19,119,122.0
2017-10-20,104,111.0
2017-10-21,79,64.0
2017-10-22,85,73.0
2017-10-23,134,99.0
2017-10-24,112,120.0
2017-10-25,126,136.0
2017-10-26,118,122.0
2017-10-27,134,127.0
2017-10-28,96,96.0
2017-10-29,59,58.0
2017-10-30,145,82.0
2017-10-31,148,79.0
