date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,²¨Ê¿¶Ù,112,933,413,6724 ,5623 ,1063 ,5623 ,112,968,419,11808 ,13325 ,11808 ,5623 
2016/1/2,²¨Ê¿¶Ù,114,1184,435,5822 ,9404 ,5640 ,8556 ,118,1312,549,23200 ,9748 ,13924 ,8556 
2016/1/5,²¨Ê¿¶Ù,106,1521,569,10514 ,5197 ,10514 ,4702 ,133,1904,612,6322 ,9999 ,6035 ,4702 
2016/1/6,²¨Ê¿¶Ù,120,1540,527,4383 ,10841 ,3589 ,9298 ,120,1824,600,8852 ,6904 ,5299 ,9298 
2016/1/7,²¨Ê¿¶Ù,152,1675,560,7195 ,15944 ,7195 ,13271 ,143,1689,564,7740 ,15638 ,5762 ,13271 
2016/1/8,²¨Ê¿¶Ù,114,1452,514,4905 ,8326 ,4736 ,6152 ,119,2056,609,9821 ,10262 ,8875 ,6152 
2016/1/9,²¨Ê¿¶Ù,114,1203,444,,9316 ,,9316 ,115,1297,432,4965 ,7920 ,4965 ,9316 
2016/1/10,²¨Ê¿¶Ù,120,1322,447,,15861 ,,13991 ,118,1371,468,13352 ,10287 ,13117 ,13991 
2016/1/11,²¨Ê¿¶Ù,105,1437,530,11954 ,5854 ,11954 ,4973 ,126,1872,582,3157 ,18264 ,3103 ,4973 
2016/1/12,²¨Ê¿¶Ù,114,1365,481,16793 ,10495 ,8604 ,6091 ,115,1706,551,18880 ,,18390 ,6091 
2016/1/13,²¨Ê¿¶Ù,105,1338,465,,6210 ,,5296 ,107,1619,536,,13710 ,,5296 
2016/1/14,²¨Ê¿¶Ù,113,1296,467,11207 ,4132 ,3548 ,4132 ,118,1399,518,6438 ,8366 ,5327 ,4132 
2016/1/15,²¨Ê¿¶Ù,114,1141,464,4033 ,14513 ,3534 ,6830 ,116,1455,532,5647 ,13032 ,4550 ,6830 
2016/1/16,²¨Ê¿¶Ù,112,911,388,7161 ,11723 ,7161 ,11723 ,114,1311,424,4752 ,16132 ,4524 ,11723 
2016/1/17,²¨Ê¿¶Ù,109,1098,404,,9712 ,,7904 ,112,1016,429,8054 ,9779 ,8054 ,7904 
2016/1/18,²¨Ê¿¶Ù,114,1345,490,2607 ,,2099 ,,114,1572,559,,9377 ,,
2016/1/19,²¨Ê¿¶Ù,110,1312,473,3619 ,7045 ,3619 ,7741 ,119,1450,496,11092 ,17001 ,4716 ,7741 
2016/1/20,²¨Ê¿¶Ù,114,1161,465,3453 ,5106 ,3453 ,4132 ,110,1748,537,4605 ,10011 ,4039 ,4132 
2016/1/21,²¨Ê¿¶Ù,111,1221,462,9885 ,,5590 ,,106,1347,486,4064 ,8398 ,4064 ,
2016/1/22,²¨Ê¿¶Ù,110,1191,504,34627 ,10082 ,19272 ,8595 ,118,1315,544,4777 ,13865 ,4048 ,8595 
2016/1/23,²¨Ê¿¶Ù,119,1311,455,29667 ,5431 ,18332 ,4098 ,107,993,474,17351 ,,17351 ,4098 
2016/1/24,²¨Ê¿¶Ù,108,1158,450,8023 ,8651 ,4488 ,5449 ,109,1008,488,6637 ,,5700 ,5449 
2016/1/25,²¨Ê¿¶Ù,111,1213,501,10644 ,4890 ,10644 ,4890 ,105,1329,588,8487 ,9217 ,6200 ,4890 
2016/1/26,²¨Ê¿¶Ù,114,1150,495,4226 ,12216 ,3586 ,7179 ,106,1185,521,,5505 ,,7179 
2016/1/27,²¨Ê¿¶Ù,110,1032,440,,3878 ,,3878 ,112,1343,529,5156 ,10622 ,4188 ,3878 
2016/1/28,²¨Ê¿¶Ù,113,1263,519,4757 ,4028 ,4046 ,4028 ,113,1133,514,10454 ,2359 ,7623 ,4028 
2016/1/29,²¨Ê¿¶Ù,106,1286,477,3300 ,3518 ,3048 ,3518 ,108,1320,520,7646 ,10990 ,5323 ,3518 
2016/1/30,²¨Ê¿¶Ù,107,1046,375,12739 ,7892 ,12476 ,3982 ,114,1149,425,2760 ,11936 ,2738 ,3982 
2016/1/31,²¨Ê¿¶Ù,106,934,409,3784 ,6008 ,3784 ,6008 ,109,1026,412,5010 ,11739 ,4479 ,6008 
