date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,Ö¥¼Ó¸ç,109,1082,526,6545 ,7674 ,5960 ,7647 ,111,1231,611,6716 ,12630 ,4657 ,7647 
2016/1/2,Ö¥¼Ó¸ç,110,1097,543,,6636 ,,5536 ,106,1218,612,5407 ,13076 ,2638 ,5536 
2016/1/5,Ö¥¼Ó¸ç,121,1568,767,7013 ,9305 ,6223 ,7819 ,115,2053,758,7055 ,7969 ,6977 ,7819 
2016/1/6,Ö¥¼Ó¸ç,128,1624,736,6096 ,11529 ,5238 ,11195 ,110,1976,768,10097 ,6112 ,8277 ,11195 
2016/1/7,Ö¥¼Ó¸ç,129,1680,708,6918 ,9049 ,6918 ,9034 ,138,1909,804,7344 ,6313 ,6992 ,9034 
2016/1/8,Ö¥¼Ó¸ç,120,1482,679,,11348 ,,9238 ,133,1923,785,7644 ,10031 ,6819 ,9238 
2016/1/9,Ö¥¼Ó¸ç,108,1078,514,7674 ,9212 ,7674 ,8699 ,120,1549,573,8695 ,6810 ,6833 ,8699 
2016/1/10,Ö¥¼Ó¸ç,107,1064,532,9669 ,4595 ,8273 ,4595 ,114,1428,601,6229 ,5505 ,4591 ,4595 
2016/1/11,Ö¥¼Ó¸ç,121,1706,675,,10051 ,,7656 ,120,1823,705,6894 ,13856 ,6142 ,7656 
2016/1/12,Ö¥¼Ó¸ç,116,1556,638,9784 ,11079 ,6275 ,8886 ,136,2098,735,3588 ,26278 ,1545 ,8886 
2016/1/13,Ö¥¼Ó¸ç,117,1482,596,,10210 ,,6836 ,133,1748,663,16984 ,6122 ,8086 ,6836 
2016/1/14,Ö¥¼Ó¸ç,105,1301,582,,5792 ,,3815 ,113,1812,618,7238 ,7610 ,6554 ,3815 
2016/1/15,Ö¥¼Ó¸ç,120,1247,572,,8398 ,,7930 ,113,1856,645,9613 ,6591 ,9613 ,7930 
2016/1/16,Ö¥¼Ó¸ç,111,1077,490,,8561 ,,8277 ,126,1292,581,3549 ,14998 ,3549 ,8277 
