date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,одмЧрд║╓╩Пе╚бЁбЁ,109,1517,847,,9888 ,,9536 ,111,1558,901,5122 ,19937 ,4402 ,9536 
2016/1/2,одмЧрд║╓╩Пе╚бЁбЁ,114,1606,901,13265 ,12988 ,13265 ,9514 ,109,1424,888,,9857 ,,9514 
2016/1/5,одмЧрд║╓╩Пе╚бЁбЁ,124,2764,1201,9370 ,12862 ,8999 ,9817 ,116,2273,982,,8761 ,,9817 
2016/1/6,одмЧрд║╓╩Пе╚бЁбЁ,117,2622,1159,4857 ,13754 ,4857 ,10077 ,116,2444,1046,,11473 ,,10077 
2016/1/7,одмЧрд║╓╩Пе╚бЁбЁ,156,2490,1073,4831 ,17785 ,4611 ,9739 ,132,2211,969,27465 ,3619 ,27465 ,9739 
2016/1/8,одмЧрд║╓╩Пе╚бЁбЁ,123,2328,1056,,11125 ,,11087 ,120,1919,935,7206 ,16082 ,7206 ,11087 
2016/1/9,одмЧрд║╓╩Пе╚бЁбЁ,121,2184,907,15145 ,21601 ,14829 ,14104 ,118,1544,831,4427 ,9530 ,4427 ,14104 
2016/1/10,одмЧрд║╓╩Пе╚бЁбЁ,119,1899,940,5626 ,11085 ,5626 ,9447 ,117,1782,868,,18765 ,,9447 
2016/1/11,одмЧрд║╓╩Пе╚бЁбЁ,108,2130,1058,,15590 ,,12267 ,117,1922,939,6090 ,21008 ,6090 ,12267 
2016/1/12,одмЧрд║╓╩Пе╚бЁбЁ,114,2247,1007,,9637 ,,8822 ,105,1926,907,4366 ,9068 ,4366 ,8822 
2016/1/13,одмЧрд║╓╩Пе╚бЁбЁ,122,2334,1018,22330 ,15485 ,22330 ,13325 ,125,1853,882,22220 ,17809 ,9423 ,13325 
2016/1/14,одмЧрд║╓╩Пе╚бЁбЁ,123,2095,982,,15764 ,,14025 ,115,1997,870,5911 ,19362 ,4768 ,14025 
2016/1/15,одмЧрд║╓╩Пе╚бЁбЁ,114,1913,889,,19254 ,,13214 ,120,1833,846,2220 ,13666 ,2220 ,13214 
2016/1/16,одмЧрд║╓╩Пе╚бЁбЁ,112,1763,831,,17684 ,,16003 ,114,1288,729,,13633 ,,16003 
2016/1/17,одмЧрд║╓╩Пе╚бЁбЁ,109,1791,858,7035 ,14646 ,7035 ,11425 ,107,1508,806,,7989 ,,11425 
2016/1/18,одмЧрд║╓╩Пе╚бЁбЁ,109,2402,1088,,14118 ,,12702 ,113,1669,873,17573 ,12971 ,17573 ,12702 
2016/1/19,одмЧрд║╓╩Пе╚бЁбЁ,127,2352,1059,,18990 ,,10766 ,107,1629,834,4418 ,6140 ,4418 ,10766 
2016/1/20,одмЧрд║╓╩Пе╚бЁбЁ,114,2371,1067,,22482 ,,16309 ,124,1887,850,4414 ,13624 ,4407 ,16309 
2016/1/21,одмЧрд║╓╩Пе╚бЁбЁ,124,1975,982,15015 ,17724 ,15015 ,10311 ,111,1645,781,4054 ,11649 ,2261 ,10311 
2016/1/22,одмЧрд║╓╩Пе╚бЁбЁ,126,1974,999,4139 ,21918 ,4139 ,15774 ,114,1659,873,19868 ,19052 ,18636 ,15774 
2016/1/23,одмЧрд║╓╩Пе╚бЁбЁ,131,1901,970,4007 ,15271 ,1729 ,14835 ,105,1510,802,8880 ,,8880 ,14835 
2016/1/24,одмЧрд║╓╩Пе╚бЁбЁ,114,1833,934,5737 ,11256 ,3634 ,10017 ,109,1474,821,,15442 ,,10017 
2016/1/25,одмЧрд║╓╩Пе╚бЁбЁ,121,2178,1069,6900 ,9117 ,7196 ,9319 ,117,1896,944,5833 ,16340 ,5833 ,9319 
2016/1/26,одмЧрд║╓╩Пе╚бЁбЁ,110,2358,1069,8761 ,12849 ,8283 ,8602 ,116,1710,908,,15154 ,,8602 
2016/1/27,одмЧрд║╓╩Пе╚бЁбЁ,124,2182,1040,6387 ,22707 ,4137 ,14530 ,107,1436,771,4420 ,11946 ,4420 ,14530 
2016/1/28,одмЧрд║╓╩Пе╚бЁбЁ,118,2175,1066,2120 ,13322 ,2120 ,9623 ,121,1648,831,2678 ,10904 ,2678 ,9623 
2016/1/29,одмЧрд║╓╩Пе╚бЁбЁ,126,2099,1091,4139 ,37879 ,4139 ,19927 ,105,1647,831,,11141 ,,19927 
2016/1/30,одмЧрд║╓╩Пе╚бЁбЁ,108,1736,961,7241 ,8585 ,7241 ,8751 ,114,1563,823,,19096 ,,8751 
2016/1/31,одмЧрд║╓╩Пе╚бЁбЁ,130,2373,1007,3685 ,16166 ,2119 ,15722 ,107,1383,800,19383 ,13040 ,19383 ,15722 
2016/2/1,одмЧрд║╓╩Пе╚бЁбЁ,147,2410,1068,9104 ,14558 ,4810 ,9548 ,114,1934,873,,13451 ,,9548 
2016/2/2,одмЧрд║╓╩Пе╚бЁбЁ,113,2225,1107,8517 ,10007 ,8517 ,10259 ,112,1572,852,4425 ,18578 ,4425 ,10259 
2016/2/3,одмЧрд║╓╩Пе╚бЁбЁ,111,2059,999,,7554 ,,7191 ,116,1525,817,,48435 ,,7191 
2016/2/4,одмЧрд║╓╩Пе╚бЁбЁ,122,2144,1058,12720 ,9386 ,12720 ,10172 ,110,1464,780,2261 ,10676 ,2261 ,10172 
