date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,醫冱穚,192,5662,2460,5581 ,11320 ,5291 ,10671 ,151,4387,2071,11026 ,15631 ,6408 ,10671 
2016/1/2,醫冱穚,213,6009,2770,8371 ,9625 ,9286 ,7759 ,136,4420,2194,13552 ,12471 ,10887 ,7759 
2016/1/5,醫冱穚,227,9655,3514,9319 ,13735 ,8164 ,10929 ,139,6403,2606,7218 ,18732 ,8272 ,10929 
2016/1/6,醫冱穚,195,9579,3425,5464 ,11931 ,4854 ,11062 ,156,7521,2755,9941 ,12015 ,8286 ,11062 
2016/1/7,醫冱穚,366,9020,3445,9670 ,11890 ,6131 ,10840 ,284,6184,2519,11018 ,14526 ,8320 ,10840 
2016/1/8,醫冱穚,256,8133,3093,10529 ,11396 ,6033 ,8592 ,159,6126,2465,7240 ,14663 ,6828 ,8592 
2016/1/9,醫冱穚,195,5955,2431,7492 ,7512 ,5492 ,6872 ,170,4703,1990,8332 ,10009 ,7684 ,6872 
2016/1/10,醫冱穚,183,5883,2516,9677 ,15520 ,8221 ,9674 ,152,5489,2053,4164 ,10963 ,2418 ,9674 
2016/1/11,醫冱穚,216,8045,3121,4366 ,11442 ,4338 ,8431 ,172,6206,2515,11072 ,15709 ,8263 ,8431 
2016/1/12,醫冱穚,234,8553,3216,9959 ,12405 ,10666 ,8990 ,147,5880,2439,6431 ,16284 ,5484 ,8990 
2016/1/13,醫冱穚,224,7882,3109,7678 ,10099 ,5784 ,7806 ,162,5997,2466,12573 ,12579 ,10872 ,7806 
2016/1/14,醫冱穚,215,7462,2926,6767 ,10877 ,7634 ,8973 ,162,5806,2274,7177 ,12282 ,6619 ,8973 
2016/1/15,醫冱穚,186,7320,2742,5865 ,10287 ,5202 ,8358 ,156,5326,2144,11998 ,9319 ,11103 ,8358 
2016/1/16,醫冱穚,168,6000,2261,5217 ,10298 ,2938 ,6827 ,146,4148,1825,9053 ,15028 ,5725 ,6827 
2016/1/17,醫冱穚,157,5731,2318,9139 ,10068 ,4957 ,7476 ,144,4159,1786,24324 ,14265 ,16277 ,7476 
2016/1/18,醫冱穚,195,7896,3076,6867 ,8528 ,6288 ,6363 ,139,5315,2255,7413 ,8230 ,7890 ,6363 
2016/1/19,醫冱穚,206,7598,3000,9367 ,11618 ,7582 ,7696 ,163,5421,2146,10446 ,10300 ,7616 ,7696 
2016/1/20,醫冱穚,193,7341,3014,6558 ,9608 ,5443 ,6420 ,168,4944,2120,5512 ,11860 ,5633 ,6420 
2016/1/21,醫冱穚,208,7064,2975,9689 ,13439 ,9434 ,10062 ,131,5064,2130,8897 ,7941 ,8897 ,10062 
2016/1/22,醫冱穚,204,7336,3171,6874 ,11163 ,5104 ,6825 ,141,5316,2278,8163 ,12795 ,5846 ,6825 
2016/1/23,醫冱穚,164,5243,2473,6010 ,8542 ,5972 ,6377 ,164,4965,2071,8872 ,12033 ,6568 ,6377 
2016/1/24,醫冱穚,154,5157,2358,4964 ,9381 ,4927 ,8061 ,145,4945,2025,5074 ,11598 ,4672 ,8061 
2016/1/25,醫冱穚,197,7017,3139,6867 ,12014 ,6637 ,8341 ,139,5175,2337,11012 ,8712 ,11012 ,8341 
2016/1/26,醫冱穚,204,6754,3040,5701 ,7037 ,5235 ,6310 ,140,5071,2201,5819 ,9760 ,2383 ,6310 
2016/1/27,醫冱穚,179,6886,3020,5687 ,10176 ,4458 ,8556 ,147,4622,2128,5680 ,8118 ,2407 ,8556 
2016/1/28,醫冱穚,197,7190,3224,9005 ,9087 ,6037 ,6833 ,152,4740,2157,8857 ,15618 ,5903 ,6833 
2016/1/29,醫冱穚,189,6607,3110,9479 ,8226 ,4365 ,6442 ,130,4134,2058,7656 ,9263 ,5676 ,6442 
2016/1/30,醫冱穚,195,5489,2539,6595 ,8348 ,5971 ,6710 ,141,3797,1833,17744 ,14202 ,12585 ,6710 
2016/1/31,醫冱穚,176,5393,2635,6905 ,7938 ,7905 ,6299 ,150,3759,1918,8197 ,10743 ,8425 ,6299 
2016/2/1,醫冱穚,188,6237,2882,5578 ,7329 ,4635 ,6173 ,137,4565,2056,9519 ,9113 ,8932 ,6173 
2016/2/2,醫冱穚,213,6387,2962,4266 ,10032 ,4684 ,8604 ,152,4476,1974,7672 ,9065 ,5743 ,8604 
2016/2/3,醫冱穚,207,6950,3155,6772 ,8475 ,5067 ,6245 ,167,4347,1942,7611 ,8624 ,5784 ,6245 
2016/2/4,醫冱穚,215,6748,3103,7780 ,7781 ,6414 ,5882 ,149,4050,1913,8825 ,9937 ,9810 ,5882 
2016/2/5,醫冱穚,194,5690,2770,5261 ,9190 ,4771 ,6117 ,137,3799,1836,9605 ,9228 ,6140 ,6117 
2016/2/6,醫冱穚,179,4679,2288,8478 ,6696 ,4478 ,5959 ,138,3109,1599,6325 ,11437 ,5960 ,5959 
2016/2/7,醫冱穚,148,2928,1565,3984 ,7638 ,2966 ,6231 ,130,1981,1075,4902 ,8078 ,2214 ,6231 
