date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,ŦԼ,121,3376,1824,8196 ,9628 ,6959 ,9027 ,147,3612,1834,6012 ,8337 ,4886 ,9027 
2016/1/2,ŦԼ,129,3808,1959,3804 ,9758 ,1540 ,6717 ,151,3755,2042,6516 ,9437 ,6821 ,6717 
2016/1/5,ŦԼ,159,7810,3702,8565 ,10505 ,6937 ,9880 ,159,5875,2349,17659 ,10259 ,11162 ,9880 
2016/1/6,ŦԼ,183,8395,3724,8516 ,11003 ,6917 ,9206 ,150,5790,2343,12640 ,11104 ,7191 ,9206 
2016/1/7,ŦԼ,230,7981,3886,6481 ,13136 ,5770 ,10163 ,210,5402,2293,5430 ,8589 ,4526 ,10163 
2016/1/8,ŦԼ,157,9175,4534,7555 ,11837 ,6398 ,9518 ,138,4828,2195,9100 ,8522 ,7687 ,9518 
2016/1/9,ŦԼ,139,9450,4817,11384 ,14450 ,9285 ,9783 ,153,4230,1853,6741 ,10062 ,5491 ,9783 
2016/1/10,ŦԼ,140,5698,2718,6342 ,11472 ,5477 ,8659 ,144,3768,1821,6956 ,12267 ,4861 ,8659 
2016/1/11,ŦԼ,138,9879,4839,6197 ,11735 ,5491 ,10686 ,170,5059,2197,12632 ,12620 ,10928 ,10686 
2016/1/12,ŦԼ,150,10769,5419,8996 ,12132 ,7940 ,9701 ,159,5203,2350,6290 ,7786 ,6541 ,9701 
2016/1/13,ŦԼ,154,10683,5244,6921 ,11009 ,6601 ,9023 ,141,5244,2138,9002 ,8927 ,6803 ,9023 
2016/1/14,ŦԼ,154,8336,4055,5829 ,17727 ,4006 ,16616 ,156,5025,2075,7234 ,10493 ,6685 ,16616 
2016/1/15,ŦԼ,134,7329,3524,6807 ,5494 ,6557 ,5575 ,141,4621,1995,8374 ,8511 ,6538 ,5575 
2016/1/16,ŦԼ,136,6340,3173,10049 ,9256 ,9662 ,8098 ,141,4232,1788,10664 ,10314 ,9908 ,8098 
2016/1/17,ŦԼ,142,13926,6930,7830 ,9125 ,5967 ,9214 ,155,3822,1777,10724 ,7796 ,8554 ,9214 
2016/1/18,ŦԼ,132,15570,7578,6169 ,10516 ,4534 ,7836 ,139,4606,2060,2625 ,8836 ,1675 ,7836 
2016/1/19,ŦԼ,148,10456,5022,7618 ,13516 ,7291 ,9682 ,148,4748,2022,7799 ,9459 ,6963 ,9682 
2016/1/20,ŦԼ,128,7379,3553,3452 ,7175 ,2529 ,7905 ,155,4587,1976,7017 ,9896 ,6459 ,7905 
2016/1/21,ŦԼ,160,11315,5346,8337 ,14959 ,9143 ,13231 ,145,4210,1878,9320 ,10840 ,10682 ,13231 
2016/1/22,ŦԼ,177,12040,5808,8926 ,10521 ,7430 ,8513 ,183,5996,2407,8685 ,9437 ,6888 ,8513 
2016/1/23,ŦԼ,149,12363,5764,6455 ,12450 ,6290 ,9732 ,150,5140,2179,9070 ,8035 ,7700 ,9732 
2016/1/24,ŦԼ,136,12220,6028,5087 ,11165 ,4059 ,11009 ,158,6085,2302,10689 ,7308 ,9384 ,11009 
2016/1/25,ŦԼ,145,15684,7790,4118 ,10721 ,3565 ,8538 ,152,5201,2391,3652 ,7857 ,2386 ,8538 
2016/1/26,ŦԼ,144,17328,8629,13795 ,10285 ,12707 ,7845 ,142,4441,2189,5691 ,11742 ,4077 ,7845 
2016/1/27,ŦԼ,165,15504,7682,6089 ,8883 ,4936 ,8424 ,137,4273,2121,8702 ,11203 ,7621 ,8424 
2016/1/28,ŦԼ,150,16929,8466,6816 ,9755 ,5288 ,8588 ,159,4016,2058,10573 ,10002 ,5753 ,8588 
2016/1/29,ŦԼ,150,16264,8507,17740 ,11386 ,14360 ,9843 ,142,4135,2100,5405 ,7600 ,3570 ,9843 
2016/1/30,ŦԼ,142,15486,8307,4571 ,13032 ,2955 ,9219 ,148,3856,1973,6909 ,12655 ,3552 ,9219 
2016/1/31,ŦԼ,135,14041,7802,5744 ,13134 ,5439 ,9187 ,133,3371,1844,4683 ,7669 ,3569 ,9187 
2016/2/1,ŦԼ,149,15093,7963,16919 ,5498 ,9027 ,5768 ,123,3951,1937,5572 ,7870 ,5811 ,5768 
2016/2/2,ŦԼ,137,10136,5364,5135 ,10971 ,5460 ,7568 ,140,4044,1914,5241 ,10517 ,5357 ,7568 
2016/2/3,ŦԼ,156,5785,2944,5037 ,9523 ,4829 ,8391 ,146,3741,1860,5327 ,9813 ,2887 ,8391 
2016/2/4,ŦԼ,152,14178,7546,6263 ,10548 ,6575 ,7593 ,151,3518,1801,6015 ,7401 ,4949 ,7593 
2016/2/5,ŦԼ,141,13262,7170,5986 ,11897 ,4937 ,8660 ,141,3356,1692,8963 ,9136 ,6415 ,8660 
2016/2/6,ŦԼ,137,12480,6931,20595 ,11124 ,7389 ,7848 ,134,3150,1566,5508 ,8636 ,4408 ,7848 
2016/2/7,ŦԼ,129,9195,5844,2614 ,17107 ,2422 ,13147 ,125,1942,1086,3850 ,7155 ,2837 ,13147 
2016/2/8,ŦԼ,110,11715,7332,3812 ,10206 ,2859 ,6624 ,125,2478,1405,4126 ,7060 ,2837 ,6624 
2016/2/9,ŦԼ,132,10600,6306,3460 ,12146 ,2550 ,8730 ,130,2698,1518,4084 ,8445 ,2828 ,8730 
2016/2/10,ŦԼ,122,10885,6507,10844 ,6286 ,10844 ,4634 ,128,3241,1727,3054 ,7610 ,2819 ,4634 
2016/2/11,ŦԼ,114,11151,6741,4050 ,4147 ,3661 ,4634 ,121,3099,1792,3593 ,8070 ,2830 ,4634 
2016/2/12,ŦԼ,123,10988,6744,8219 ,7316 ,6196 ,5373 ,125,3388,1846,4668 ,6887 ,4660 ,5373 
2016/2/13,ŦԼ,139,10643,6533,4000 ,14040 ,4104 ,8951 ,120,3627,1921,2466 ,7634 ,2785 ,8951 
2016/2/14,ŦԼ,133,12153,7212,10052 ,7937 ,6230 ,8609 ,128,4517,2191,7196 ,6104 ,6127 ,8609 
2016/2/15,ŦԼ,138,14556,8065,4426 ,12359 ,4885 ,10544 ,126,4676,2318,3847 ,7684 ,2837 ,10544 
2016/2/16,ŦԼ,156,15527,7760,10809 ,9472 ,9770 ,7852 ,163,5063,2493,5418 ,9945 ,3520 ,7852 
2016/2/17,ŦԼ,149,15611,7651,11921 ,9281 ,7120 ,8416 ,158,5071,2432,3141 ,8217 ,2798 ,8416 
2016/2/18,ŦԼ,165,15620,7535,4605 ,8965 ,3802 ,7733 ,161,4897,2371,7929 ,9195 ,6757 ,7733 
2016/2/19,ŦԼ,168,15849,7779,5433 ,10433 ,5322 ,8663 ,141,4919,2341,4416 ,9271 ,2826 ,8663 
2016/2/20,ŦԼ,143,15104,7412,5255 ,10709 ,5122 ,7960 ,145,3888,1976,6759 ,7244 ,5501 ,7960 
2016/2/21,ŦԼ,134,17465,8717,1320 ,10885 ,766 ,9505 ,130,4027,2047,3611 ,9188 ,2804 ,9505 
2016/2/22,ŦԼ,155,16549,8122,5933 ,9934 ,5033 ,8406 ,152,4645,2299,3500 ,10891 ,2818 ,8406 
2016/2/23,ŦԼ,158,9927,4659,15926 ,9510 ,8215 ,7760 ,155,5327,2426,6254 ,8657 ,2830 ,7760 
2016/2/24,ŦԼ,141,9339,4443,32473 ,7563 ,19805 ,6912 ,157,4940,2386,4387 ,9216 ,3490 ,6912 
2016/2/25,ŦԼ,165,7080,3207,9660 ,9953 ,7464 ,8049 ,150,5496,2382,3349 ,6957 ,2686 ,8049 
2016/2/26,ŦԼ,180,8599,4118,7370 ,9528 ,5502 ,7777 ,149,5397,2408,4396 ,7568 ,2699 ,7777 
2016/2/27,ŦԼ,151,11454,5521,3729 ,11111 ,3624 ,7798 ,154,4339,2092,8361 ,6865 ,6927 ,7798 
2016/2/28,ŦԼ,123,10955,5481,2736 ,4998 ,2736 ,4421 ,138,5202,2032,,6903 ,,4421 
2016/2/29,ŦԼ,156,6187,2715,6041 ,9726 ,4620 ,7396 ,168,5336,2387,4760 ,9722 ,3989 ,7396 
2016/3/1,ŦԼ,180,8406,3916,6335 ,11163 ,4620 ,8145 ,182,5802,2526,4487 ,8653 ,2793 ,8145 
2016/3/2,ŦԼ,152,11488,5513,3981 ,11402 ,2838 ,8115 ,174,5486,2417,5737 ,7499 ,2883 ,8115 
2016/3/3,ŦԼ,183,14824,7135,9923 ,15315 ,7859 ,11019 ,150,5852,2426,3889 ,8482 ,2758 ,11019 
2016/3/4,ŦԼ,154,14610,7035,4856 ,12544 ,5038 ,12161 ,184,5339,2391,4566 ,11084 ,2626 ,12161 
2016/3/5,ŦԼ,150,12628,6344,4182 ,10896 ,3866 ,9621 ,151,4722,2324,6057 ,8553 ,5554 ,9621 
