date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,其他,154,5394,2424,3185 ,8002 ,3185 ,8373 ,209,6521,2651,6217 ,16727 ,6101 ,12131 
2016/1/2,其他,154,5652,2557,,11021 ,,9187 ,178,6338,2759,7926 ,14226 ,8569 ,12849 
2016/1/5,其他,206,10199,3767,15310 ,14728 ,15310 ,8934 ,212,10259,3727,7821 ,11222 ,7181 ,8142 
2016/1/6,其他,196,10951,3696,6267 ,12262 ,6267 ,8355 ,206,12066,3903,8582 ,9761 ,6795 ,9039 
2016/1/7,其他,285,10308,3647,8418 ,10992 ,6270 ,10781 ,330,11366,3798,10646 ,11987 ,6751 ,8770 
2016/1/8,其他,207,9698,3461,10321 ,8102 ,5827 ,7160 ,229,10819,3568,8454 ,19560 ,7362 ,12844 
2016/1/9,其他,197,6850,2521,6093 ,10106 ,6158 ,9674 ,188,7646,2620,7728 ,10109 ,7250 ,7840 
2016/1/10,其他,159,6669,2699,,11203 ,,8139 ,167,7098,2646,4881 ,12716 ,4881 ,12606 
2016/1/11,其他,185,9165,3525,4509 ,12287 ,2349 ,12409 ,208,10596,3577,13748 ,13083 ,10266 ,13506 
2016/1/12,其他,202,8744,3295,13955 ,9887 ,8963 ,7628 ,215,9843,3399,9215 ,15330 ,7850 ,13388 
2016/1/13,其他,178,9001,3262,5156 ,8868 ,3489 ,8212 ,191,8902,3346,8422 ,8780 ,7552 ,7963 
2016/1/14,其他,167,8025,3087,4497 ,10641 ,3490 ,10652 ,195,8279,3103,6699 ,9966 ,6006 ,8409 
2016/1/15,其他,188,7824,2974,22439 ,13498 ,22439 ,9138 ,204,8169,2968,11421 ,16020 ,4851 ,15666 
2016/1/16,其他,156,6099,2362,,8366 ,,8185 ,178,5925,2356,4781 ,7997 ,3948 ,8067 
2016/1/17,其他,157,5604,2367,5243 ,9065 ,5243 ,8097 ,149,5854,2364,10351 ,9360 ,10029 ,7195 
2016/1/18,其他,175,7316,2998,11526 ,9128 ,3492 ,8314 ,188,8286,3060,15030 ,12826 ,12795 ,8482 
2016/1/19,其他,173,7165,2862,5994 ,8449 ,5907 ,7034 ,166,7876,2750,5367 ,9849 ,3774 ,7944 
2016/1/20,其他,158,7530,2985,2670 ,9160 ,2670 ,7920 ,187,8721,2985,8362 ,10655 ,6868 ,6913 
2016/1/21,其他,161,7425,2943,3514 ,11920 ,3514 ,11182 ,204,8551,2871,8006 ,10759 ,6952 ,11093 
2016/1/22,其他,172,7570,3204,5127 ,8955 ,3686 ,8258 ,196,8990,3282,,10006 ,,10172 
2016/1/23,其他,155,5930,2671,,14369 ,,11725 ,168,7198,3038,7909 ,7757 ,2400 ,7021 
2016/1/24,其他,135,5572,2641,,8002 ,,6758 ,168,6338,2809,2431 ,12101 ,912 ,8297 
2016/1/25,其他,154,7230,3134,9931 ,9097 ,7745 ,6936 ,181,7387,3196,8649 ,13329 ,5905 ,12261 
2016/1/26,其他,164,6621,2808,3197 ,10712 ,2044 ,12369 ,154,7373,2977,5303 ,9817 ,4002 ,8765 
2016/1/27,其他,192,7052,2918,13156 ,7706 ,13037 ,5213 ,181,7145,2885,7382 ,9028 ,5882 ,7668 
2016/1/28,其他,202,7186,2933,17099 ,6850 ,11560 ,6850 ,174,6900,2863,6417 ,7536 ,6090 ,6322 
2016/1/29,其他,157,6681,2899,5376 ,8364 ,4236 ,6186 ,175,7019,2784,8834 ,19141 ,6903 ,11057 
2016/1/30,其他,141,5595,2350,4907 ,5196 ,3244 ,4864 ,158,5931,2408,7566 ,13220 ,5706 ,9127 
2016/1/31,其他,134,5254,2271,,6286 ,,5587 ,159,5937,2332,4198 ,13054 ,3444 ,12768 
2016/2/1,其他,187,7183,2912,4236 ,9872 ,3709 ,8703 ,158,6897,2781,6570 ,7542 ,6079 ,6858 
2016/2/2,其他,165,6386,2833,6285 ,9530 ,6285 ,6251 ,168,7161,2670,7479 ,13673 ,7351 ,13424 
2016/2/3,其他,184,6729,2807,5442 ,9491 ,4185 ,6755 ,187,7086,2718,4572 ,8567 ,4153 ,6833 
2016/2/4,其他,182,6116,2675,11865 ,9490 ,11865 ,8004 ,193,6572,2560,7456 ,9617 ,4933 ,7763 
2016/2/5,其他,159,5769,2497,4710 ,10251 ,3486 ,10923 ,168,5223,2368,3271 ,9515 ,2879 ,7295 
2016/2/6,其他,159,4303,2064,5982 ,13142 ,5982 ,9413 ,180,4448,1983,6249 ,6349 ,5878 ,4852 
2016/2/7,其他,132,2391,1236,,8634 ,,7287 ,141,2463,1235,18775 ,6357 ,10900 ,6701 
2016/2/8,其他,121,3286,1636,,,,,133,3108,1602,3881 ,22448 ,3753 ,17159 
2016/2/9,其他,132,3898,1964,4299 ,7291 ,3215 ,5755 ,132,3788,1874,2877 ,7665 ,2875 ,7402 
2016/2/10,其他,141,4138,2050,,9023 ,,7734 ,134,4218,1971,5037 ,7695 ,4424 ,6446 
2016/2/11,其他,122,4562,2229,,12388 ,,12388 ,149,4715,2239,6244 ,6553 ,4806 ,7727 
2016/2/12,其他,141,4793,2238,7334 ,9704 ,7334 ,8131 ,140,4622,2133,3437 ,9348 ,3170 ,7188 
2016/2/13,其他,132,5132,2549,,8417 ,,7142 ,137,5182,2419,7537 ,8024 ,7537 ,6499 
2016/2/14,其他,163,7242,3140,,7604 ,,6256 ,149,6599,2955,3550 ,8801 ,3181 ,7178 
2016/2/15,其他,159,8688,3736,5222 ,7740 ,5222 ,7184 ,176,8099,3462,8737 ,14080 ,4012 ,10992 
2016/2/16,其他,170,8808,3832,,9509 ,,8730 ,196,8500,3654,4496 ,9004 ,3931 ,8350 
2016/2/17,其他,177,8556,3718,4891 ,6441 ,3469 ,6585 ,177,7998,3429,7879 ,7280 ,6497 ,6652 
2016/2/18,其他,178,8494,3795,8618 ,8286 ,7618 ,8286 ,185,8617,3582,5766 ,9603 ,5520 ,7425 
