date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,旧金山,117,1778,1034,1450 ,6524 ,1450 ,6103 ,120,2196,1026,9464 ,10444 ,6715 ,6103 
2016/1/2,旧金山,114,2186,1181,9801 ,11493 ,9801 ,11771 ,131,2253,1074,9431 ,10855 ,8735 ,11771 
2016/1/5,旧金山,156,3569,1396,6299 ,13088 ,6592 ,10922 ,141,3336,1234,7697 ,14245 ,6055 ,10922 
2016/1/6,旧金山,153,3808,1391,11381 ,9757 ,10032 ,9044 ,146,3084,1202,10261 ,10671 ,9954 ,9044 
2016/1/7,旧金山,188,3654,1275,5495 ,11178 ,5495 ,9404 ,204,3336,1158,14068 ,17087 ,9853 ,9404 
2016/1/8,旧金山,137,3355,1229,6235 ,13071 ,6031 ,11161 ,163,2919,1121,11777 ,12038 ,11428 ,11161 
2016/1/9,旧金山,134,2470,884,9994 ,13894 ,9614 ,8557 ,128,2264,777,8365 ,14766 ,6646 ,8557 
2016/1/10,旧金山,123,2862,995,5112 ,10736 ,4943 ,8269 ,126,2101,774,7216 ,87341 ,5614 ,8269 
2016/1/11,旧金山,145,3127,1184,16154 ,20592 ,8412 ,17998 ,148,3364,1115,5782 ,9861 ,6054 ,17998 
2016/1/12,旧金山,130,3757,1174,17718 ,8352 ,13184 ,8700 ,140,3062,1055,7518 ,13790 ,6745 ,8700 
2016/1/13,旧金山,141,3462,1154,7791 ,9517 ,6401 ,8878 ,137,2889,1011,13502 ,10422 ,10684 ,8878 
2016/1/14,旧金山,137,2942,1070,23683 ,12605 ,13202 ,9464 ,147,2714,950,12886 ,8654 ,9056 ,9464 
2016/1/15,旧金山,140,3026,1050,7052 ,11834 ,915 ,9219 ,138,2508,957,13419 ,9428 ,9602 ,9219 
2016/1/16,旧金山,111,1925,851,7957 ,12464 ,7518 ,10185 ,128,2099,773,13695 ,7613 ,11233 ,10185 
2016/1/17,旧金山,118,2039,854,,14420 ,,10020 ,127,2052,775,17078 ,8111 ,14190 ,10020 
2016/1/18,旧金山,123,2726,1085,6869 ,10557 ,4549 ,6156 ,124,2632,942,5118 ,6433 ,4792 ,6156 
2016/1/19,旧金山,133,2760,1100,9480 ,8505 ,8331 ,7996 ,149,2715,919,,9693 ,,7996 
2016/1/20,旧金山,132,2380,995,14902 ,10278 ,6072 ,8696 ,132,2734,905,6244 ,12688 ,5919 ,8696 
2016/1/21,旧金山,128,2606,1052,2889 ,17288 ,820 ,12534 ,132,2461,935,7148 ,5662 ,4721 ,12534 
2016/1/22,旧金山,142,2827,1227,9028 ,10300 ,9498 ,8105 ,155,2948,1103,6408 ,12501 ,5240 ,8105 
2016/1/23,旧金山,125,2451,1090,,10506 ,,7193 ,145,2407,955,15746 ,18332 ,14127 ,7193 
2016/1/24,旧金山,130,2384,1074,9143 ,13903 ,9143 ,11737 ,126,2160,919,,8885 ,,11737 
2016/1/25,旧金山,137,2867,1272,4210 ,7191 ,4427 ,5280 ,119,2742,1115,9453 ,6888 ,9453 ,5280 
2016/1/26,旧金山,145,2685,1222,6428 ,10903 ,5423 ,8103 ,119,2434,1038,6372 ,7470 ,5491 ,8103 
2016/1/27,旧金山,134,2695,1251,4306 ,11141 ,4306 ,10930 ,143,2370,998,11959 ,10372 ,9367 ,10930 
2016/1/28,旧金山,151,2860,1307,9583 ,9494 ,8996 ,8884 ,147,2444,1061,8868 ,12327 ,11120 ,8884 
2016/1/29,旧金山,120,2611,1249,,7703 ,,6306 ,132,2474,1061,4382 ,12903 ,4382 ,6306 
2016/1/30,旧金山,130,2360,1092,14486 ,9257 ,14486 ,8556 ,129,1835,870,7489 ,10080 ,8103 ,8556 
2016/1/31,旧金山,123,3119,976,8836 ,8765 ,8094 ,6338 ,123,1828,906,6178 ,11617 ,4939 ,6338 
2016/2/1,旧金山,128,2533,1141,4919 ,11283 ,4760 ,9910 ,125,2237,956,4923 ,10514 ,4104 ,9910 
2016/2/2,旧金山,141,2431,1062,4647 ,11387 ,4587 ,9508 ,129,2065,927,7734 ,11402 ,7212 ,9508 
2016/2/3,旧金山,140,2328,1069,6587 ,7889 ,5440 ,7342 ,145,2026,879,7386 ,15257 ,7089 ,7342 
