date,arrive,sh_order,sh_PV,sh_UV,sh_single_avg_px,sh_round_avg_px,sh_single_px_mid,sh_round_px_mid,bj_order,bj_PV,bj_UV,bj_single_avg_px,bj_round_avg_px,bj_single_px_mid,bj_round_px_mid
2016/1/1,Î÷ÑÅÍ¼,117,1095,564,3111 ,6616 ,3111 ,6632 ,115,1300,652,9269 ,6455 ,6794 ,6632 
2016/1/2,Î÷ÑÅÍ¼,108,1291,552,,9064 ,,8883 ,113,1317,689,5936 ,9129 ,5936 ,8883 
2016/1/5,Î÷ÑÅÍ¼,122,1693,732,8200 ,6545 ,7415 ,6095 ,133,2106,806,9646 ,17171 ,9241 ,6095 
2016/1/6,Î÷ÑÅÍ¼,129,1635,723,3943 ,14497 ,3943 ,9710 ,125,2146,814,11674 ,8709 ,7860 ,9710 
2016/1/7,Î÷ÑÅÍ¼,152,1614,661,7118 ,11477 ,6597 ,9727 ,131,2078,752,8159 ,8324 ,8159 ,9727 
2016/1/8,Î÷ÑÅÍ¼,118,1597,573,7511 ,11144 ,5340 ,7457 ,109,1756,724,5140 ,13514 ,4421 ,7457 
2016/1/9,Î÷ÑÅÍ¼,123,1323,505,4434 ,5623 ,4380 ,5632 ,122,1533,603,21059 ,9185 ,10962 ,5632 
2016/1/10,Î÷ÑÅÍ¼,116,1374,496,9952 ,8849 ,5605 ,7003 ,114,1667,591,4954 ,7025 ,4954 ,7003 
2016/1/11,Î÷ÑÅÍ¼,115,1603,642,4493 ,8516 ,4493 ,7385 ,126,1822,671,8196 ,7707 ,5991 ,7385 
2016/1/12,Î÷ÑÅÍ¼,128,1643,627,4466 ,9991 ,3503 ,9351 ,119,1760,664,8747 ,10412 ,7463 ,9351 
2016/1/13,Î÷ÑÅÍ¼,128,1521,600,7377 ,12382 ,5508 ,9798 ,110,1619,645,3899 ,9029 ,3899 ,9798 
2016/1/14,Î÷ÑÅÍ¼,112,1447,573,4043 ,5368 ,2890 ,4163 ,119,1516,636,6865 ,7368 ,6567 ,4163 
2016/1/15,Î÷ÑÅÍ¼,120,1363,551,17711 ,5731 ,17711 ,5180 ,112,1508,593,9356 ,6253 ,6876 ,5180 
2016/1/16,Î÷ÑÅÍ¼,114,1135,465,5485 ,7505 ,4756 ,6390 ,118,1176,513,8413 ,11529 ,8413 ,6390 
2016/1/17,Î÷ÑÅÍ¼,117,1085,465,,14087 ,,13038 ,111,1276,536,16270 ,7794 ,9273 ,13038 
2016/1/18,Î÷ÑÅÍ¼,106,1639,600,5523 ,5675 ,5523 ,3994 ,122,1491,612,8006 ,8942 ,4132 ,3994 
2016/1/19,Î÷ÑÅÍ¼,114,1286,530,4435 ,8000 ,3739 ,7887 ,116,1690,596,6942 ,8199 ,6296 ,7887 
2016/1/20,Î÷ÑÅÍ¼,112,1294,533,5907 ,8451 ,5907 ,8705 ,120,1631,641,6550 ,8660 ,7171 ,8705 
2016/1/21,Î÷ÑÅÍ¼,114,1314,568,18462 ,8675 ,10524 ,8270 ,114,1471,626,15308 ,7674 ,8924 ,8270 
2016/1/22,Î÷ÑÅÍ¼,117,1142,564,6018 ,14922 ,6018 ,7197 ,110,1627,636,5294 ,5496 ,4299 ,7197 
2016/1/23,Î÷ÑÅÍ¼,110,1072,495,5655 ,9327 ,5655 ,8772 ,113,1571,589,,12593 ,,8772 
